61.37,-139.03
50.72,-56.11
49.7,-103.8
49.9,-109.47
50.95,-107.15
56.73,-131.67
50.23,-57.58
69.61,-140.2
48.55,-123.24
50.9,-119.92
50.89,-119.88
43.85,-80.0
51.68,-120.0
51.57,-121.15
50.67,-120.17
50.63,-120.17
51.33,-120.84
51.73,-120.0
50.7,-120.38
50.82,-120.29
50.65,-120.02
50.65,-119.95
50.53,-119.8
51.7,-121.33
51.65,-121.3
50.68,-119.35
50.3,-118.82
50.8,-119.0
50.85,-118.98
50.55,-119.35
50.88,-119.48
50.88,-119.4
50.42,-121.5
50.42,-121.31
50.33,-118.53
50.75,-119.33
50.8,-119.3
50.8,-119.3
50.67,-119.3
50.23,-118.58
50.9,-119.91
50.72,-120.52
51.58,-119.78
50.93,-120.25
51.47,-121.07
51.47,-121.12
50.47,-119.75
51.24,-117.7
51.38,-116.53
51.36,-116.34
51.23,-116.57
51.23,-116.67
50.95,-116.93
52.67,-119.2
50.82,-116.26
50.75,-116.71
52.73,-119.38
52.72,-119.47
51.48,-117.15
51.5,-118.52
51.38,-116.48
51.23,-117.62
51.64,-118.49
51.23,-117.48
51.27,-117.5
51.3,-117.52
51.3,-116.98
51.63,-118.42
51.63,-118.17
52.05,-118.59
50.95,-116.98
51.28,-118.13
50.96,-118.18
51.0,-118.2
50.95,-118.17
51.2,-118.38
51.3,-117.52
50.78,-118.02
50.92,-116.4
51.35,-117.47
52.85,-119.25
52.83,-119.25
52.82,-119.25
51.7,-116.64
51.45,-116.33
51.35,-116.5
51.43,-116.33
51.4,-116.55
55.98,-123.73
56.73,-122.58
56.25,-121.03
56.08,-121.97
56.33,-120.1
55.73,-120.53
57.2,-126.95
56.23,-120.68
57.22,-121.47
57.38,-121.38
55.53,-123.65
55.23,-121.38
56.3,-121.02
56.33,-120.28
55.69,-121.63
55.7,-121.62
55.23,-121.65
55.75,-120.22
55.74,-120.18
55.78,-120.2
55.0,-121.03
55.07,-121.12
56.18,-121.57
56.0,-123.9
55.9,-123.73
56.25,-120.83
56.02,-122.2
56.24,-120.74
56.32,-120.82
55.79,-124.7
56.08,-121.92
56.03,-121.9
56.03,-121.91
56.12,-121.87
56.8,-124.9
55.55,-121.3
55.57,-121.23
55.31,-123.14
55.32,-123.08
55.33,-123.08
55.03,-123.03
55.3,-123.17
56.43,-120.78
55.54,-122.48
57.03,-122.52
55.35,-122.6
57.0,-122.37
55.72,-120.13
55.77,-120.1
56.92,-121.03
55.83,-120.17
55.92,-120.07
56.13,-120.13
56.65,-120.77
57.25,-122.72
54.28,-122.63
55.87,-120.5
56.17,-120.69
56.12,-120.63
55.13,-121.25
57.43,-125.63
55.07,-121.27
