48.5,-124.0,3.0
48.71,-123.56,3.0
48.6,-123.35,3.0
48.82,-124.05,6.0
48.37,-123.56,6.0
48.42,-124.05,3.0
48.52,-123.42,3.0
48.62,-123.42,3.0
48.85,-123.5,3.0
48.65,-123.63,3.0
48.41,-123.33,3.0
50.58,-126.93,3.0
49.62,-125.03,3.0
49.22,-123.95,3.0
49.18,-123.97,3.0
49.28,-124.18,6.0
49.3,-124.3,3.0
49.37,-124.93,3.0
50.92,-127.95,3.0
49.15,-125.9,3.0
49.38,-126.54,3.0
48.72,-125.1,3.0
49.23,-124.8,3.0
50.39,-127.46,3.0
50.53,-127.65,3.0
49.58,-123.22,3.0
49.88,-124.55,3.0
51.93,-131.02,3.0
54.02,-132.12,3.0
52.37,-126.69,3.0
55.0,-129.75,3.0
52.35,-127.68,3.0
56.05,-130.02,2.0
54.28,-130.38,3.0
55.95,-129.98,3.0
55.23,-127.6,3.0
54.65,-126.83,3.0
51.67,-123.07,3.0
50.78,-122.82,3.0
50.45,-122.93,3.0
51.67,-124.41,3.0
53.83,-126.21,3.0
53.07,-121.51,3.0
54.46,-124.29,3.0
53.27,-120.15,3.0
52.98,-122.48,3.0
54.05,-124.0,3.0
49.24,-121.76,3.0
49.17,-121.92,3.0
49.37,-122.8,3.0
49.22,-122.93,3.0
49.23,-122.37,3.0
49.13,-123.19,3.0
49.3,-123.12,3.0
49.28,-123.12,3.0
49.02,-122.78,3.0
50.7,-121.93,3.0
50.26,-121.61,2.0
49.68,-119.53,3.0
49.36,-120.08,3.0
49.37,-120.02,1.0
49.86,-119.13,3.0
49.9,-119.47,3.0
49.2,-119.82,3.0
50.38,-120.8,3.0
49.8,-119.2,3.0
50.12,-120.8,2.0
50.06,-119.45,3.0
49.18,-119.54,3.0
49.48,-119.58,6.0
49.57,-119.65,3.0
50.25,-119.27,3.0
50.22,-119.2,3.0
49.5,-119.08,1.0
49.02,-118.47,6.0
49.1,-118.68,3.0
49.68,-116.83,5.0
49.1,-116.52,3.0
49.42,-118.05,3.0
49.87,-118.07,3.0
49.91,-116.92,3.0
49.08,-117.8,3.0
49.02,-117.58,3.0
49.1,-117.75,3.0
49.3,-115.12,3.0
49.49,-115.07,3.0
50.5,-116.03,2.0
50.65,-116.02,3.0
49.02,-115.15,3.0
50.45,-119.18,3.0
50.72,-121.28,3.0
52.15,-119.28,3.0
50.67,-120.33,2.0
50.7,-119.25,3.0
50.75,-119.33,3.0
51.58,-119.78,3.0
50.47,-119.75,3.0
51.3,-116.98,3.0
51.0,-118.2,3.0
52.82,-119.25,3.0
56.23,-120.68,3.0
56.03,-121.9,6.0
59.57,-133.7,6.0
60.17,-134.7,1.0
64.05,-139.43,3.0
63.62,-135.87,3.0
62.83,-137.31,4.0
60.72,-135.05,6.0
68.22,-135.01,3.0
66.25,-128.63,3.0
67.43,-134.88,3.0
64.91,-125.57,3.0
61.87,-121.35,3.0
63.12,-77.93,3.0
66.13,-65.73,6.0
72.68,-77.98,3.0
61.3,-64.88,3.0
69.11,-105.14,3.0
52.43,-111.78,4.0
53.29,-113.86,3.0
53.88,-111.07,3.0
53.28,-110.0,3.0
53.45,-111.65,3.0
52.88,-111.7,2.0
53.88,-114.12,3.0
52.3,-112.7,3.0
53.48,-112.05,1.0
53.1,-111.78,3.0
51.7,-111.12,3.0
52.97,-113.33,3.0
51.47,-112.72,1.0
50.96,-110.01,1.0
51.58,-111.85,3.0
52.17,-113.52,3.0
50.72,-111.2,3.0
52.47,-113.75,3.0
51.78,-114.1,3.0
52.28,-113.82,3.0
51.65,-113.3,3.0
50.57,-111.9,3.0
50.55,-111.85,3.0
49.17,-113.63,3.0
51.11,-114.02,3.0
49.13,-113.24,3.0
49.0,-113.38,3.0
49.48,-111.45,3.0
49.72,-113.4,3.0
50.88,-113.05,3.0
49.37,-113.52,3.0
50.48,-114.17,3.0
49.7,-112.77,3.0
49.42,-112.87,4.0
50.02,-110.72,3.0
