Station Name,BURLINGTON PIERS (AUT),,,,,,,,,,,,,,,,,,,,,,,,,
Province,ONTARIO,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,43.3,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-79.8,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation,77.4,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Identifier,6151061,,,,,,,,,,,,,,,,,,,,,,,,,
WMO Identifier,71437,,,,,,,,,,,,,,,,,,,,,,,,,
TC Identifier,WWB,,,,,,,Mean Max Temp (°C),Mean Min Temp (°C),Mean Temp (°C),Extr Max Temp (°C),Extr Min Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),,,,,,,,,,,,
,,,,,,,,-3.164516129,-10.26774194,-6.738709677,4.3,-17.9,766.9,0,,,,,,,,,,,,
Legend,,,,,,,,1.867857143,-6.003571429,-2.075,11.1,-18.6,562.1,0,,,,,,,,,,,,
A,Accumulated,,,,,,,4.926666667,-1.764516129,1.623333333,16,-13.2,491.3,0,,,,,,,,,,,,
C,"Precipitation occurred, amount uncertain",,,,,,,11.00666667,3.576666667,7.31,26,-2.8,320.7,0,,,,,,,,,,,,
E,Estimated,,,,,,,16.68709677,8.783870968,12.75483871,26.2,4.3,168,5.4,,,,,,,,,,,,
F,Accumulated and estimated,,,,,,,20.64642857,14.45666667,17.68571429,29.5,9.3,51.3,42.5,,,,,,,,,,,,
L,Precipitation may or may not have occurred,,,,,,,22.81935484,15.60967742,19.23548387,27.7,13,9.5,47.8,,,,,,,,,,,,
M,Missing,,,,,,,24.71333333,17.83870968,21.25333333,31.3,12.7,4.8,102.4,,,,,,,,,,,,
N,Temperature missing but known to be > 0,,,,,,,20.44333333,14.53333333,17.51333333,26.6,7.2,40.5,25.9,,,,,,,,,,,,
S,More than one occurrence,,,,,,,12.50322581,6.738709677,9.651612903,18.4,1.6,258.8,0,,,,,,,,,,,,
T,Trace,,,,,,,9.503333333,4.746666667,7.146666667,18.5,1.6,325.6,0,,,,,,,,,,,,
Y,Temperature missing but known to be < 0,,,,,,,1.825806452,-3.241935484,-0.716129032,10.6,-12.4,580.2,0,,,,,,,,,,,,
[empty],No data available,,,,,,,,,,,,,,,,,,,,,,,,,
^,The value displayed is based on incomplete data,,,,,,,,,,,,,,,,,,,,,,,,,
†,Data that is not subject to review by the National Climate Archives,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2009/1/1,2009,1,1,,-2.6,,-12.4,,-7.5,,25.5,,0,,,M,,M,,M,,,,,<31,
2009/1/2,2009,1,2,,1,,-3.1,,-1.1,,19.1,,0,,,M,,M,,M,,,23,E,35,E
