Station Name,BURLINGTON PIERS (AUT),,,,,,,,,,,,,,,,,,,,,,,,,
Province,ONTARIO,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,43.3,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-79.8,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation,77.4,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Identifier,6151061,,,,,,,,,,,,,,,,,,,,,,,,,
WMO Identifier,71437,,,,,,,,,,,,,,,,,,,,,,,,,
TC Identifier,WWB,,,,,,,Mean Max Temp (°C),Mean Min Temp (°C),Mean Temp (°C),Extr Max Temp (°C),Extr Min Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),,,,,,,,,,,,
,,,,,,,,-1.912903226,-9.656666667,-5.82,7.4,-18.9,714.6,0,,,,,,,,,,,,
Legend,,,,,,,,-6.825,-15.40357143,-11.13928571,0.6,-23.4,815.9,0,,,,,,,,,,,,
A,Accumulated,,,,,,,2.541935484,-4.861290323,-1.161290323,9.3,-16.3,594,0,,,,,,,,,,,,
C,"Precipitation occurred, amount uncertain",,,,,,,11.37666667,3.11,7.27,24.7,-1.3,321.9,0,,,,,,,,,,,,
E,Estimated,,,,,,,19.76774194,9.25483871,14.53548387,28.7,4.8,123.9,16.5,,,,,,,,,,,,
F,Accumulated and estimated,,,,,,,20.22,13.51,16.88666667,27.5,7.7,61.3,27.9,,,,,,,,,,,,
L,Precipitation may or may not have occurred,,,,,,,25.66129032,18.08064516,21.9,31.9,13.2,4.4,125.3,,,,,,,,,,,,
M,Missing,,,,,,,24.13870968,17.42258065,20.79677419,31,14.2,1.8,88.5,,,,,,,,,,,,
N,Temperature missing but known to be > 0,,,,,,,23.29,16.71666667,20.03,32.3,10.3,22.6,83.5,,,,,,,,,,,,
S,More than one occurrence,,,,,,,15.35333333,8.04516129,11.76333333,22.8,1.4,188.3,1.2,,,,,,,,,,,,
T,Trace,,,,,,,11.37142857,5.116666667,8.128571429,21.7,-4.3,276.4,0,,,,,,,,,,,,
Y,Temperature missing but known to be < 0,,,,,,,7.840740741,2.683333333,5.262962963,16.2,-3.6,343.9,0,,,,,,,,,,,,
[empty],No data available,,,,,,,,,,,,,,,,,,,,,,,,,
^,The value displayed is based on incomplete data,,,,,,,,,,,,,,,,,,,,,,,,,
†,Data that is not subject to review by the National Climate Archives,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2015/1/1,2015,1,1,,0,,-6.3,,-3.2,,21.2,,0,,,M,,M,,M,,,23,,52,
2015/1/2,2015,1,2,,0,,-2.8,,-1.4,,19.4,,0,,,M,,M,,M,,,25,,33,
2015/1/3,2015,1,3,,2.2,,-2.8,,-0.3,,18.3,,0,,,M,,M,,M,,,10,,39,
2015/1/4,2015,1,4,,5.7,,-4.7,,0.5,,17.5,,0,,,M,,M,,M,,,26,,48,
2015/1/5,2015,1,5,,-4.4,,-11.8,,-8.1,,26.1,,0,,,M,,M,,M,,,23,,59,
2015/1/6,2015,1,6,,-6.9,,-11.5,,-9.2,,27.2,,0,,,M,,M,,M,,,22,,54,
2015/1/7,2015,1,7,,-7.9,,-16.4,,-12.2,,30.2,,0,,,M,,M,,M,,,30,,52,
2015/1/8,2015,1,8,,-7.2,,-13.5,,-10.4,,28.4,,0,,,M,,M,,M,,,20,,54,
2015/1/9,2015,1,9,,-5.9,,-12.6,,-9.3,,27.3,,0,,,M,,M,,M,,,26,,48,
2015/1/10,2015,1,10,,-7.8,,-13.6,,-10.7,,28.7,,0,,,M,,M,,M,,,20,,46,
2015/1/11,2015,1,11,,0.6,,-7.9,,-3.7,,21.7,,0,,,M,,M,,M,,,21,,41,
2015/1/12,2015,1,12,,0.5,,-13.9,,-6.7,,24.7,,0,,,M,,M,,M,,,34,,50,
2015/1/13,2015,1,13,,-7.5,,-18.9,,-13.2,,31.2,,0,,,M,,M,,M,,,35,,41,
2015/1/14,2015,1,14,,-4.6,,-14.8,,-9.7,,27.7,,0,,,M,,M,,M,,,,,<31,
2015/1/15,2015,1,15,,-1.7,,-12.6,,-7.2,,25.2,,0,,,M,,M,,M,,,21,,41,
2015/1/16,2015,1,16,,-2.7,E,-6.6,E,-4.7,E,22.7,E,0,E,,M,,M,,M,,,,M,,M
2015/1/17,2015,1,17,,-0.7,E,,M,,M,,M,,M,,M,,M,,M,,,,,<31,
2015/1/18,2015,1,18,,7.4,,1.2,,4.3,,13.7,,0,,,M,,M,,M,,,18,,39,
2015/1/19,2015,1,19,,1.3,,-6.9,,-2.8,,20.8,,0,,,M,,M,,M,,,25,,37,
2015/1/20,2015,1,20,,-5.2,,-9.4,,-7.3,,25.3,,0,,,M,,M,,M,,,,,<31,
2015/1/21,2015,1,21,,-1.1,,-10.3,,-5.7,,23.7,,0,,,M,,M,,M,,,3,,37,
2015/1/22,2015,1,22,,-0.5,,-5.1,,-2.8,,20.8,,0,,,M,,M,,M,,,,,<31,
2015/1/23,2015,1,23,,0,,-3.4,,-1.7,,19.7,,0,,,M,,M,,M,,,22,,41,
2015/1/24,2015,1,24,,1.6,,-4,,-1.2,,19.2,,0,,,M,,M,,M,,,31,,33,
2015/1/25,2015,1,25,,0,,-10.6,,-5.3,,23.3,,0,,,M,,M,,M,,,36,,43,
2015/1/26,2015,1,26,,-5.1,,-10.5,,-7.8,,25.8,,0,,,M,,M,,M,,,3,,57,
2015/1/27,2015,1,27,,-5.8,,-11.2,,-8.5,,26.5,,0,,,M,,M,,M,,,35,,39,
2015/1/28,2015,1,28,,-1.9,,-13.7,,-7.8,,25.8,,0,,,M,,M,,M,,,,,<31,
2015/1/29,2015,1,29,,0.7,,-6.3,,-2.8,,20.8,,0,,,M,,M,,M,,,18,,35,
2015/1/30,2015,1,30,,-0.6,,-14.1,,-7.4,,25.4,,0,,,M,,M,,M,,,33,,50,
2015/1/31,2015,1,31,,-1.8,,-14.7,,-8.3,,26.3,,0,,,M,,M,,M,,,,,<31,
2015/2/1,2015,2,1,,-1.7,,-10.9,,-6.3,,24.3,,0,,,M,,M,,M,,,5,,72,
2015/2/2,2015,2,2,,-6.5,,-13.9,,-10.2,,28.2,,0,,,M,,M,,M,,,4,,70,
2015/2/3,2015,2,3,,-4.1,,-14.5,,-9.3,,27.3,,0,,,M,,M,,M,,,21,,35,
2015/2/4,2015,2,4,,0.6,,-7.7,,-3.6,,21.6,,0,,,M,,M,,M,,,31,,35,
2015/2/5,2015,2,5,,-7.6,,-13.7,,-10.7,,28.7,,0,,,M,,M,,M,,,,,<31,
2015/2/6,2015,2,6,,-4.5,,-11.8,,-8.2,,26.2,,0,,,M,,M,,M,,,20,,41,
2015/2/7,2015,2,7,,-0.1,,-4.6,,-2.4,,20.4,,0,,,M,,M,,M,,,4,,46,
2015/2/8,2015,2,8,,-2.7,,-11.5,,-7.1,,25.1,,0,,,M,,M,,M,,,6,,52,
2015/2/9,2015,2,9,,-8.5,,-11.8,,-10.2,,28.2,,0,,,M,,M,,M,,,35,,41,
2015/2/10,2015,2,10,,-3.9,,-9.3,,-6.6,,24.6,,0,,,M,,M,,M,,,35,,32,
2015/2/11,2015,2,11,,-1.2,,-7.1,,-4.2,,22.2,,0,,,M,,M,,M,,,,,<31,
