Station Name,BURLINGTON PIERS (AUT),,,,,,,,,,,,,,,,,,,,,,,,,
Province,ONTARIO,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,43.3,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-79.8,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation,77.4,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Identifier,6151061,,,,,,,,,,,,,,,,,,,,,,,,,
WMO Identifier,71437,,,,,,,,,,,,,,,,,,,,,,,,,
TC Identifier,WWB,,,,,,,Mean Max Temp (°C),Mean Min Temp (°C),Mean Temp (°C),Extr Max Temp (°C),Extr Min Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),,,,,,,,,,,,
,,,,,,,,-3.45862069,-10.25517241,-6.879310345,13.6,-19.9,721.5,0,,,,,,,,,,,,
Legend,,,,,,,,1.307142857,-5.025925926,-1.848148148,11.3,-15.3,535.9,0,,,,,,,,,,,,
A,Accumulated,,,,,,,5.651851852,-0.637931034,2.655555556,17.6,-7.9,414.3,0,,,,,,,,,,,,
C,"Precipitation occurred, amount uncertain",,,,,,,10.41538462,3.107407407,6.796153846,23.6,-4.1,292,0.7,,,,,,,,,,,,
E,Estimated,,,,,,,16.33225806,8.480645161,12.43225806,26.5,2.1,173.5,0.9,,,,,,,,,,,,
F,Accumulated and estimated,,,,,,,21.0137931,13.82,17.4137931,30.6,9.9,47.6,30.6,,,,,,,,,,,,
L,Precipitation may or may not have occurred,,,,,,,22.95,17.40967742,20.19333333,29.7,14.6,4,69.8,,,,,,,,,,,,
M,Missing,,,,,,,22.78695652,16.42,19.53913043,28.7,12.6,6.1,41.5,,,,,,,,,,,,
N,Temperature missing but known to be > 0,,,,,,,22.89655172,15.40666667,19.25517241,28.3,9.6,18.8,55.2,,,,,,,,,,,,
S,More than one occurrence,,,,,,,13.85,8.455172414,11.27586207,25.1,5.2,196.2,1.2,,,,,,,,,,,,
T,Trace,,,,,,,9.992307692,4.259259259,7.157692308,14.7,-1.7,281.9,0,,,,,,,,,,,,
Y,Temperature missing but known to be < 0,,,,,,,2.316666667,-4.366666667,-1.02,13.1,-19,570.6,0,,,,,,,,,,,,
[empty],No data available,,,,,,,,,,,,,,,,,,,,,,,,,
^,The value displayed is based on incomplete data,,,,,,,,,,,,,,,,,,,,,,,,,
†,Data that is not subject to review by the National Climate Archives,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2004/1/1,2004,1,1,,3,,0.8,,1.9,,16.1,,0,,,M,,M,,M,,,30,E,33,E
