Station Name,BURLINGTON PIERS (AUT),,,,,,,,,,,,,,,,,,,,,,,,,
Province,ONTARIO,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,43.3,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-79.8,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation,77.4,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Identifier,6151061,,,,,,,,,,,,,,,,,,,,,,,,,
WMO Identifier,71437,,,,,,,,,,,,,,,,,,,,,,,,,
TC Identifier,WWB,,,,,,,Mean Max Temp (°C),Mean Min Temp (°C),Mean Temp (°C),Extr Max Temp (°C),Extr Min Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),,,,,,,,,,,,
,,,,,,,,-2.296774194,-8.548387097,-5.441935484,12.7,-18.3,726.7,0,,,,,,,,,,,,
Legend,,,,,,,,0.228571429,-7.428571429,-3.614285714,11.7,-15.7,605.2,0,,,,,,,,,,,,
A,Accumulated,,,,,,,3.638709677,-2.84516129,0.403225806,15.3,-9.1,545.5,0,,,,,,,,,,,,
C,"Precipitation occurred, amount uncertain",,,,,,,9.41,2.84,6.143333333,20.3,-0.1,355.7,0,,,,,,,,,,,,
E,Estimated,,,,,,,15.48387097,8.409677419,11.96774194,31.5,4.6,191.7,4.7,,,,,,,,,,,,
F,Accumulated and estimated,,,,,,,22.16666667,15.07,18.65333333,32.1,10.8,22.4,42,,,,,,,,,,,,
L,Precipitation may or may not have occurred,,,,,,,28.12903226,20.06774194,24.12580645,36,14,0,189.9,,,,,,,,,,,,
M,Missing,,,,,,,25.24516129,18.32903226,21.81935484,31.2,14.7,0,118.4,,,,,,,,,,,,
N,Temperature missing but known to be > 0,,,,,,,20.44666667,14.75333333,17.61666667,27.9,7.5,41.6,30.1,,,,,,,,,,,,
S,More than one occurrence,,,,,,,14.39677419,8.732258065,11.58709677,26.2,1.7,203.5,4.7,,,,,,,,,,,,
T,Trace,,,,,,,11.9037037,5.053571429,8.514814815,18.5,-0.6,256.1,0,,,,,,,,,,,,
Y,Temperature missing but known to be < 0,,,,,,,5.416666667,-0.5,2.47,13.7,-7.7,465.9,0,,,,,,,,,,,,
[empty],No data available,,,,,,,,,,,,,,,,,,,,,,,,,
^,The value displayed is based on incomplete data,,,,,,,,,,,,,,,,,,,,,,,,,
†,Data that is not subject to review by the National Climate Archives,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2011/1/1,2011,1,1,,12.7,,0.6,,6.7,,11.3,,0,,,M,,M,,M,,,19,,41,
2011/1/2,2011,1,2,,0.6,,-4.3,,-1.9,,19.9,,0,,,M,,M,,M,,,25,,33,
2011/1/3,2011,1,3,,0.7,,-4.7,,-2,,20,,0,,,M,,M,,M,,,,,<31,
2011/1/4,2011,1,4,,1.2,,-2.1,,-0.5,,18.5,,0,,,M,,M,,M,,,,,<31,
2011/1/5,2011,1,5,,-1.9,,-6.9,,-4.4,,22.4,,0,,,M,,M,,M,,,27,,32,
2011/1/6,2011,1,6,,-1.4,,-8,,-4.7,,22.7,,0,,,M,,M,,M,,,,,<31,
2011/1/7,2011,1,7,,-3.6,,-7,,-5.3,,23.3,,0,,,M,,M,,M,,,,,<31,
2011/1/8,2011,1,8,,-4,,-8.5,,-6.3,,24.3,,0,,,M,,M,,M,,,36,,33,
2011/1/9,2011,1,9,,-3.3,,-8.6,,-6,,24,,0,,,M,,M,,M,,,29,,35,
2011/1/10,2011,1,10,,-1.5,,-9.3,,-5.4,,23.4,,0,,,M,,M,,M,,,,,<31,
2011/1/11,2011,1,11,,-1.7,,-7.5,,-4.6,,22.6,,0,,,M,,M,,M,,,4,,63,
2011/1/12,2011,1,12,,-5.4,,-8.6,,-7,,25,,0,,,M,,M,,M,,,36,,46,
2011/1/13,2011,1,13,,-4.3,,-9.6,,-7,,25,,0,,,M,,M,,M,,,,,<31,
2011/1/14,2011,1,14,,-1.9,,-7.2,,-4.6,,22.6,,0,,,M,,M,,M,,,,,<31,
2011/1/15,2011,1,15,,-1.3,,-5.5,,-3.4,,21.4,,0,,,M,,M,,M,,,20,,37,
2011/1/16,2011,1,16,,-4.3,,-14.5,,-9.4,,27.4,,0,,,M,,M,,M,,,30,,52,
2011/1/17,2011,1,17,,-3.1,,-16.2,,-9.7,,27.7,,0,,,M,,M,,M,,,10,,35,
2011/1/18,2011,1,18,,3.7,,-3.8,,-0.1,,18.1,,0,,,M,,M,,M,,,34,,37,
2011/1/19,2011,1,19,,-0.9,,-9.7,,-5.3,,23.3,,0,,,M,,M,,M,,,33,,41,
2011/1/20,2011,1,20,,-4.9,,-10.6,,-7.8,,25.8,,0,,,M,,M,,M,,,,,<31,
2011/1/21,2011,1,21,,-6.2,,-12.2,,-9.2,,27.2,,0,,,M,,M,,M,,,29,,48,
2011/1/22,2011,1,22,,-8.6,,-13.2,,-10.9,,28.9,,0,,,M,,M,,M,,,20,,33,
2011/1/23,2011,1,23,,-10.1,,-17.1,,-13.6,,31.6,,0,,,M,,M,,M,,,32,,33,
2011/1/24,2011,1,24,,-6.2,,-18.3,,-12.3,,30.3,,0,,,M,,M,,M,,,,,<31,
2011/1/25,2011,1,25,,0,,-6.9,,-3.5,,21.5,,0,,,M,,M,,M,,,,,<31,
2011/1/26,2011,1,26,,-0.6,,-2.7,,-1.7,,19.7,,0,,,M,,M,,M,,,,,<31,
2011/1/27,2011,1,27,,0,,-3.3,,-1.7,,19.7,,0,,,M,,M,,M,,,,,<31,
2011/1/28,2011,1,28,,-1.3,,-4.5,,-2.9,,20.9,,0,,,M,,M,,M,,,,,<31,
2011/1/29,2011,1,29,,-3.2,,-6.8,,-5,,23,,0,,,M,,M,,M,,,,,<31,
