Station Name,BURLINGTON PIERS (AUT),,,,,,,,,,,,,,,,,,,,,,,,,
Province,ONTARIO,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,43.3,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-79.8,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation,77.4,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Identifier,6151061,,,,,,,,,,,,,,,,,,,,,,,,,
WMO Identifier,71437,,,,,,,,,,,,,,,,,,,,,,,,,
TC Identifier,WWB,,,,,,,Mean Max Temp (°C),Mean Min Temp (°C),Mean Temp (°C),Extr Max Temp (°C),Extr Min Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),,,,,,,,,,,,
,,,,,,,,3.474074074,-1.356666667,0.940740741,10.9,-8,460.6,0,,,,,,,,,,,,
Legend,,,,,,,,3.408333333,-3.6375,-0.116666667,13.2,-11.2,434.8,0,,,,,,,,,,,,
A,Accumulated,,,,,,,5.792857143,-1.713793103,2.153571429,18.8,-8.4,443.7,0,,,,,,,,,,,,
C,"Precipitation occurred, amount uncertain",,,,,,,10.98965517,3.879310345,7.45862069,26.3,-2.6,309,3.3,,,,,,,,,,,,
E,Estimated,,,,,,,14.65483871,6.983870968,10.8483871,27.1,2.3,227.7,6,,,,,,,,,,,,
F,Accumulated and estimated,,,,,,,22.03103448,14.67241379,18.37931034,31.8,8.4,47.5,58.5,,,,,,,,,,,,
L,Precipitation may or may not have occurred,,,,,,,28.32608696,20.052,24.32727273,33.4,15.5,0,139.2,,,,,,,,,,,,
M,Missing,,,,,,,25.88709677,18.78064516,22.3516129,33.1,14.5,0,134.9,,,,,,,,,,,,
N,Temperature missing but known to be > 0,,,,,,,24.19655172,16.59333333,20.38275862,32.4,11,13.8,82.9,,,,,,,,,,,,
S,More than one occurrence,,,,,,,13.41612903,7.383870968,10.42903226,27.1,0.4,246.3,11.6,,,,,,,,,,,,
T,Trace,,,,,,,7.24,2.073333333,4.68,17.3,-4.7,399.6,0,,,,,,,,,,,,
Y,Temperature missing but known to be < 0,,,,,,,2.456666667,-3.096774194,-0.363333333,10.1,-13.4,550.9,0,,,,,,,,,,,,
[empty],No data available,,,,,,,,,,,,,,,,,,,,,,,,,
^,The value displayed is based on incomplete data,,,,,,,,,,,,,,,,,,,,,,,,,
†,Data that is not subject to review by the National Climate Archives,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2002/1/1,2002,1,1,,-1.3,,-6.8,,-4.1,,22.1,,0,,,M,,M,,M,,,27,E,32,E
2002/1/2,2002,1,2,,-0.7,,-6.9,,-3.8,,21.8,,0,,,M,,M,,M,,,27,E,35,E
2002/1/3,2002,1,3,,0.5,,-5.3,,-2.4,,20.4,,0,,,M,,M,,M,,,,,<31,
2002/1/4,2002,1,4,,2.4,,-3.8,,-0.7,,18.7,,0,,,M,,M,,M,,,23,E,44,E
2002/1/5,2002,1,5,,3.4,,1.2,,2.3,,15.7,,0,,,M,,M,,M,,,22,E,35,E
2002/1/6,2002,1,6,,,M,1.2,E,,M,,M,,M,,M,,M,,M,,,,,<31,
2002/1/7,2002,1,7,,2.1,,-7.4,,-2.7,,20.7,,0,,,M,,M,,M,,,,,<31,
2002/1/8,2002,1,8,,2.3,,-7.4,,-2.6,,20.6,,0,,,M,,M,,M,,,23,E,48,E
2002/1/9,2002,1,9,,5.2,,2.4,,3.8,,14.2,,0,,,M,,M,,M,,,23,E,41,E
2002/1/10,2002,1,10,,5.8,,2.9,,4.4,,13.6,,0,,,M,,M,,M,,,,,<31,
2002/1/11,2002,1,11,,4.2,,2.7,,3.5,,14.5,,0,,,M,,M,,M,,,31,E,41,E
2002/1/12,2002,1,12,,5.3,,1.2,,3.3,,14.7,,0,,,M,,M,,M,,,21,E,41,E
