Station Name,BURLINGTON PIERS (AUT),,,,,,,,,,,,,,,,,,,,,,,,,
Province,ONTARIO,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,43.3,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-79.8,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation,77.4,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Identifier,6151061,,,,,,,,,,,,,,,,,,,,,,,,,
WMO Identifier,71437,,,,,,,,,,,,,,,,,,,,,,,,,
TC Identifier,WWB,,,,,,,Mean Max Temp (°C),Mean Min Temp (°C),Mean Temp (°C),Extr Max Temp (°C),Extr Min Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),,,,,,,,,,,,
,,,,,,,,-1.058064516,-6.1,-3.587096774,6.6,-17,669.2,0,,,,,,,,,,,,
Legend,,,,,,,,0.571428571,-4.589285714,-2.021428571,5.7,-10.5,560.6,0,,,,,,,,,,,,
A,Accumulated,,,,,,,7.68,1.380645161,4.503333333,17.6,-4.9,404.9,0,,,,,,,,,,,,
C,"Precipitation occurred, amount uncertain",,,,,,,13.92333333,5.423333333,9.703333333,23.6,1.9,248.9,0,,,,,,,,,,,,
E,Estimated,,,,,,,17.07307692,9.496153846,13.30384615,29.7,2.7,131.8,9.7,,,,,,,,,,,,
F,Accumulated and estimated,,,,,,,22.71923077,15.83461538,19.29230769,28.9,11.4,20.3,53.9,,,,,,,,,,,,
L,Precipitation may or may not have occurred,,,,,,,27.27586207,19.41935484,23.32068966,33.5,12.9,0.6,154.9,,,,,,,,,,,,
M,Missing,,,,,,,26.10666667,19.29032258,22.68333333,32.5,13.1,0,140.5,,,,,,,,,,,,
N,Temperature missing but known to be > 0,,,,,,,20.44666667,13.41,16.95333333,30.6,8.8,67.5,36.1,,,,,,,,,,,,
S,More than one occurrence,,,,,,,14.97741935,8.090322581,11.55806452,23.7,0.9,199.9,0.2,,,,,,,,,,,,
T,Trace,,,,,,,8.545454545,2.536363636,5.572727273,17.8,-1.1,273.4,0,,,,,,,,,,,,
Y,Temperature missing but known to be < 0,,,,,,,-0.116129032,-4.738709677,-2.438709677,11,-11.3,633.6,0,,,,,,,,,,,,
[empty],No data available,,,,,,,,,,,,,,,,,,,,,,,,,
^,The value displayed is based on incomplete data,,,,,,,,,,,,,,,,,,,,,,,,,
†,Data that is not subject to review by the National Climate Archives,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2010/1/1,2010,1,1,,1.9,,-8.2,,-3.2,,21.2,,0,,,M,,M,,M,,,30,,41,
2010/1/2,2010,1,2,,-8,,-12.3,,-10.2,,28.2,,0,,,M,,M,,M,,,30,,54,
2010/1/3,2010,1,3,,-6.6,,-12.1,,-9.4,,27.4,,0,,,M,,M,,M,,,28,,50,
2010/1/4,2010,1,4,,-5.6,,-9.5,,-7.6,,25.6,,0,,,M,,M,,M,,,,,<31,
2010/1/5,2010,1,5,,-3.4,,-8.8,,-6.1,,24.1,,0,,,M,,M,,M,,,,,<31,
2010/1/6,2010,1,6,,-2.1,,-6.1,,-4.1,,22.1,,0,,,M,,M,,M,,,29,,32,
2010/1/7,2010,1,7,,-0.9,,-5.9,,-3.4,,21.4,,0,,,M,,M,,M,,,,,<31,
2010/1/8,2010,1,8,,-3.4,E,-9.2,E,-6.3,E,24.3,E,0,E,,M,,M,,M,,,,,<31,
2010/1/9,2010,1,9,,-5.5,,-12.2,,-8.9,,26.9,,0,,,M,,M,,M,,,35,,39,
2010/1/10,2010,1,10,,-3.4,,-12.9,,-8.2,,26.2,,0,,,M,,M,,M,,,23,,39,
2010/1/11,2010,1,11,,-3.2,,-5.8,,-4.5,,22.5,,0,,,M,,M,,M,,,20,,33,
2010/1/12,2010,1,12,,-3.1,,-6.8,,-5,,23,,0,,,M,,M,,M,,,33,,35,
2010/1/13,2010,1,13,,0.1,,-5.2,,-2.6,,20.6,,0,,,M,,M,,M,,,21,,41,
2010/1/14,2010,1,14,,5.3,,-3.4,,1,,17,,0,,,M,,M,,M,,,21,,33,
2010/1/15,2010,1,15,,3.9,,1.8,,2.9,,15.1,,0,,,M,,M,,M,,,,,<31,
2010/1/16,2010,1,16,,1.9,,-0.3,,0.8,,17.2,,0,,,M,,M,,M,,,20,,33,
2010/1/17,2010,1,17,,2.8,,0.3,,1.6,,16.4,,0,,,M,,M,,M,,,,,<31,
2010/1/18,2010,1,18,,1.6,,-1.7,,-0.1,,18.1,,0,,,M,,M,,M,,,,,<31,
2010/1/19,2010,1,19,,1.9,,-1.6,,0.2,,17.8,,0,,,M,,M,,M,,,33,,32,
2010/1/20,2010,1,20,,-0.7,,-5.1,,-2.9,,20.9,,0,,,M,,M,,M,,,35,,35,
2010/1/21,2010,1,21,,1.4,,-5.6,,-2.1,,20.1,,0,,,M,,M,,M,,,5,,48,
2010/1/22,2010,1,22,,2.5,,0.2,,1.4,,16.6,,0,,,M,,M,,M,,,6,,54,
2010/1/23,2010,1,23,,2.3,,-0.5,,0.9,,17.1,,0,,,M,,M,,M,,,8,,39,
2010/1/24,2010,1,24,,4.4,,0.9,,2.7,,15.3,,0,,,M,,M,,M,,,,,<31,
2010/1/25,2010,1,25,,6.6,,1,,3.8,,14.2,,0,,,M,,M,,M,,,19,,48,
2010/1/26,2010,1,26,,1.4,,-1.1,,0.2,,17.8,,0,,,M,,M,,M,,,21,,39,
2010/1/27,2010,1,27,,-0.7,,-4.6,,-2.7,,20.7,,0,,,M,,M,,M,,,20,,44,
2010/1/28,2010,1,28,,-2.2,,-11.7,,-7,,25,,0,,,M,,M,,M,,,29,,59,
2010/1/29,2010,1,29,,-9.1,,-14.7,,-11.9,,29.9,,0,,,M,,M,,M,,,32,,39,
2010/1/30,2010,1,30,,-9,,-17,,-13,,31,,0,,,M,,M,,M,,,36,,33,
2010/1/31,2010,1,31,,-3.9,,-11,,-7.5,,25.5,,0,,,M,,M,,M,,,20,,37,
2010/2/1,2010,2,1,,-3.5,,-7,,-5.3,,23.3,,0,,,M,,M,,M,,,26,,32,
2010/2/2,2010,2,2,,-1.7,,-6.6,,-4.2,,22.2,,0,,,M,,M,,M,,,,,<31,
2010/2/3,2010,2,3,,0.8,,-5.2,,-2.2,,20.2,,0,,,M,,M,,M,,,27,,35,
2010/2/4,2010,2,4,,0.5,,-6.7,,-3.1,,21.1,,0,,,M,,M,,M,,,,,<31,
2010/2/5,2010,2,5,,0.3,,-4.5,,-2.1,,20.1,,0,,,M,,M,,M,,,5,,61,
2010/2/6,2010,2,6,,-2.5,,-10.5,,-6.5,,24.5,,0,,,M,,M,,M,,,4,,67,
2010/2/7,2010,2,7,,-1.6,,-9.9,,-5.8,,23.8,,0,,,M,,M,,M,,,33,,35,
2010/2/8,2010,2,8,,-0.5,,-8.3,,-4.4,,22.4,,0,,,M,,M,,M,,,28,,33,
2010/2/9,2010,2,9,,-0.4,,-5.7,,-3.1,,21.1,,0,,,M,,M,,M,,,8,,54,
2010/2/10,2010,2,10,,-0.2,,-6.3,,-3.3,,21.3,,0,,,M,,M,,M,,,4,,56,
2010/2/11,2010,2,11,,0.3,,-9,,-4.4,,22.4,,0,,,M,,M,,M,,,30,,32,
2010/2/12,2010,2,12,,-0.5,,-5.7,,-3.1,,21.1,,0,,,M,,M,,M,,,,,<31,
2010/2/13,2010,2,13,,-1.2,,-5.9,,-3.6,,21.6,,0,,,M,,M,,M,,,,,<31,
2010/2/14,2010,2,14,,-0.4,,-2.3,,-1.4,,19.4,,0,,,M,,M,,M,,,22,,35,
2010/2/15,2010,2,15,,-0.9,,-3.3,,-2.1,,20.1,,0,,,M,,M,,M,,,,,<31,
2010/2/16,2010,2,16,,0.4,,-3.6,,-1.6,,19.6,,0,,,M,,M,,M,,,,,<31,
2010/2/17,2010,2,17,,1.7,,-2.7,,-0.5,,18.5,,0,,,M,,M,,M,,,28,,41,
2010/2/18,2010,2,18,,1.9,,-1.7,,0.1,,17.9,,0,,,M,,M,,M,,,30,,37,
2010/2/19,2010,2,19,,3,,-2.1,,0.5,,17.5,,0,,,M,,M,,M,,,29,,43,
2010/2/20,2010,2,20,,2.7,,-3.4,,-0.4,,18.4,,0,,,M,,M,,M,,,,,<31,
2010/2/21,2010,2,21,,5.7,,-3.2,,1.3,,16.7,,0,,,M,,M,,M,,,,,<31,
2010/2/22,2010,2,22,,0.7,,-2.8,,-1.1,,19.1,,0,,,M,,M,,M,,,6,,48,
2010/2/23,2010,2,23,,1.3,,-1,,0.2,,17.8,,0,,,M,,M,,M,,,,,<31,
2010/2/24,2010,2,24,,1.3,,-2.8,,-0.8,,18.8,,0,,,M,,M,,M,,,,,<31,
2010/2/25,2010,2,25,,-1,,-6.2,,-3.6,,21.6,,0,,,M,,M,,M,,,30,,35,
2010/2/26,2010,2,26,,1.8,,-4.8,,-1.5,,19.5,,0,,,M,,M,,M,,,2,,44,
2010/2/27,2010,2,27,,3.3,,0.8,,2.1,,15.9,,0,,,M,,M,,M,,,34,,35,
2010/2/28,2010,2,28,,4.7,,1.9,,3.3,,14.7,,0,,,M,,M,,M,,,35,,35,
2010/3/1,2010,3,1,,4.3,,0,,2.2,,15.8,,0,,,M,,M,,M,,,33,,32,
