Station Name,BURLINGTON PIERS (AUT),,,,,,,,,,,,,,,,,,,,,,,,,
Province,ONTARIO,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,43.3,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-79.8,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation,77.4,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Identifier,6151061,,,,,,,,,,,,,,,,,,,,,,,,,
WMO Identifier,71437,,,,,,,,,,,,,,,,,,,,,,,,,
TC Identifier,WWB,,,,,,,Mean Max Temp (°C),Mean Min Temp (°C),Mean Temp (°C),Extr Max Temp (°C),Extr Min Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),,,,,,,,,,,,
,,,,,,,,1.134482759,-4.977419355,-2.048275862,11.6,-13.8,581.4,0,,,,,,,,,,,,
Legend,,,,,,,,2.944827586,-4.468965517,-0.768965517,15.9,-21.5,544.3,0,,,,,,,,,,,,
A,Accumulated,,,,,,,6.590322581,0.283870968,3.44516129,18.7,-9,451.2,0,,,,,,,,,,,,
C,"Precipitation occurred, amount uncertain",,,,,,,8.639285714,1.971428571,5.366666667,25.2,-6.2,341.1,0,,,,,,,,,,,,
E,Estimated,,,,,,,17.73548387,9.935483871,13.87096774,29.8,4,156.1,28.1,,,,,,,,,,,,
F,Accumulated and estimated,,,,,,,23.66071429,14.96206897,19.3,31.9,9.2,26.5,62.9,,,,,,,,,,,,
L,Precipitation may or may not have occurred,,,,,,,26.87419355,18.92258065,22.91935484,32.8,13.8,0.1,152.6,,,,,,,,,,,,
M,Missing,,,,,,,27.2,20.45333333,23.75862069,33.3,15.8,0,167,,,,,,,,,,,,
N,Temperature missing but known to be > 0,,,,,,,23.52333333,16.49333333,20.03,33,10.7,15.5,76.4,,,,,,,,,,,,
S,More than one occurrence,,,,,,,16.64193548,9.64,13.05333333,25.2,1.6,156.5,8.1,,,,,,,,,,,,
T,Trace,,,,,,,11.87,4.556666667,8.236666667,20.7,-2.1,292.9,0,,,,,,,,,,,,
Y,Temperature missing but known to be < 0,,,,,,,2.426666667,-2.546666667,-0.066666667,12.6,-11.6,542,0,,,,,,,,,,,,
[empty],No data available,,,,,,,,,,,,,,,,,,,,,,,,,
^,The value displayed is based on incomplete data,,,,,,,,,,,,,,,,,,,,,,,,,
†,Data that is not subject to review by the National Climate Archives,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2016/1/1,2016,1,1,,1.2,,-2.2,,-0.5,,18.5,,0,,,M,,M,,M,,,25,,44,
2016/1/2,2016,1,2,,2.9,,-1.7,,0.6,,17.4,,0,,,M,,M,,M,,,19,,46,
2016/1/3,2016,1,3,,2.5,,-8.9,,-3.2,,21.2,,0,,,M,,M,,M,,,30,,46,
2016/1/4,2016,1,4,,-8.6,,-13.8,,-11.2,,29.2,,0,,,M,,M,,M,,,35,,39,
2016/1/5,2016,1,5,,-1.1,,-12.7,,-6.9,,24.9,,0,,,M,,M,,M,,,18,,32,
2016/1/6,2016,1,6,,3.2,,-3.1,,0.1,,17.9,,0,,,M,,M,,M,,,,,<31,
2016/1/7,2016,1,7,,3,,-2.1,,0.5,,17.5,,0,,,M,,M,,M,,,,,<31,
2016/1/8,2016,1,8,,,M,-0.4,E,,M,,M,,M,,M,,M,,M,,,5,,35,
2016/1/9,2016,1,9,,10,,3.1,,6.6,,11.4,,0,,,M,,M,,M,,,17,,33,
2016/1/10,2016,1,10,,7.2,,-5.7,,0.8,,17.2,,0,,,M,,M,,M,,,26,,65,
2016/1/11,2016,1,11,,-5.4,,-8.8,,-7.1,,25.1,,0,,,M,,M,,M,,,24,,48,
