Station Name,BURLINGTON PIERS (AUT),,,,,,,,,,,,,,,,,,,,,,,,,
Province,ONTARIO,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,43.3,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-79.8,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation,77.4,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Identifier,6151061,,,,,,,,,,,,,,,,,,,,,,,,,
WMO Identifier,71437,,,,,,,,,,,,,,,,,,,,,,,,,
TC Identifier,WWB,,,,,,,Mean Max Temp (°C),Mean Min Temp (°C),Mean Temp (°C),Extr Max Temp (°C),Extr Min Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),,,,,,,,,,,,
,,,,,,,,4.616129032,-1.374193548,1.641935484,11.4,-10.2,507.1,0,,,,,,,,,,,,
Legend,,,,,,,,1.214814815,-4.746428571,-1.688888889,11.3,-11.9,531.6,0,,,,,,,,,,,,
A,Accumulated,,,,,,,5.493548387,-0.980645161,2.261290323,19.4,-8.9,487.9,0,,,,,,,,,,,,
C,"Precipitation occurred, amount uncertain",,,,,,,10.89,4.293333333,7.61,20.9,-1.9,311.7,0,,,,,,,,,,,,
E,Estimated,,,,,,,16.7,9.896774194,13.17333333,33.2,4.4,160,15.2,,,,,,,,,,,,
F,Accumulated and estimated,,,,,,,22.66551724,16.32666667,19.58275862,30.8,9.8,17.8,63.7,,,,,,,,,,,,
L,Precipitation may or may not have occurred,,,,,,,25.44285714,17.96428571,21.74285714,30,15,0.2,52.6,,,,,,,,,,,,
M,Missing,,,,,,,23.83793103,17.75517241,20.82413793,29.3,14.1,1.9,83.8,,,,,,,,,,,,
N,Temperature missing but known to be > 0,,,,,,,19.53333333,13.38,16.48333333,26.5,6.4,59.1,13.6,,,,,,,,,,,,
S,More than one occurrence,,,,,,,13.19354839,6.690322581,9.961290323,22.4,2.3,249.2,0,,,,,,,,,,,,
T,Trace,,,,,,,8.353333333,3.496666667,5.96,16.7,-0.5,361.2,0,,,,,,,,,,,,
Y,Temperature missing but known to be < 0,,,,,,,5.683870968,0.819354839,3.264516129,12.8,-10,456.8,0,,,,,,,,,,,,
[empty],No data available,,,,,,,,,,,,,,,,,,,,,,,,,
^,The value displayed is based on incomplete data,,,,,,,,,,,,,,,,,,,,,,,,,
†,Data that is not subject to review by the National Climate Archives,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
