Station Name,BURLINGTON PIERS (AUT),,,,,,,,,,,,,,,,,,,,,,,,,
Province,ONTARIO,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,43.3,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-79.8,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation,77.4,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Identifier,6151061,,,,,,,,,,,,,,,,,,,,,,,,,
WMO Identifier,71437,,,,,,,,,,,,,,,,,,,,,,,,,
TC Identifier,WWB,,,,,,,Mean Max Temp (°C),Mean Min Temp (°C),Mean Temp (°C),Extr Max Temp (°C),Extr Min Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),,,,,,,,,,,,
,,,,,,,,-2.740740741,-9.348275862,-5.981481481,6.5,-19.9,647.5,0,,,,,,,,,,,,
Legend,,,,,,,,-1.771428571,-8.614285714,-5.214285714,8,-17.9,650,0,,,,,,,,,,,,
A,Accumulated,,,,,,,3.663333333,-4.323333333,-0.326666667,16.7,-21.2,549.8,0,,,,,,,,,,,,
C,"Precipitation occurred, amount uncertain",,,,,,,1.42,-2.633333333,-0.24,2.3,-6.2,91.2,0,,,,,,,,,,,,
E,Estimated,,,,,,,12.94375,7.414285714,9.55,23.8,5.3,118.3,0,,,,,,,,,,,,
F,Accumulated and estimated,,,,,,,21.36896552,13.30344828,17.36206897,33.4,7.3,68.1,49.6,,,,,,,,,,,,
L,Precipitation may or may not have occurred,,,,,,,24.47419355,16.89677419,20.70967742,31,13.7,3.4,87.4,,,,,,,,,,,,
M,Missing,,,,,,,24.76428571,18.52142857,21.66428571,30.9,14.3,1.1,103.7,,,,,,,,,,,,
N,Temperature missing but known to be > 0,,,,,,,20.3962963,14.56551724,17.46666667,27.6,6.8,28.2,13.8,,,,,,,,,,,,
S,More than one occurrence,,,,,,,12.31428571,5.566666667,8.966666667,20.3,0.7,189.7,0,,,,,,,,,,,,
T,Trace,,,,,,,8.816666667,3.33,6.1,18.1,-2.2,357,0,,,,,,,,,,,,
Y,Temperature missing but known to be < 0,,,,,,,3.87,-1.196551724,1.313793103,9.5,-7.3,483.9,0,,,,,,,,,,,,
[empty],No data available,,,,,,,,,,,,,,,,,,,,,,,,,
^,The value displayed is based on incomplete data,,,,,,,,,,,,,,,,,,,,,,,,,
†,Data that is not subject to review by the National Climate Archives,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2003/1/1,2003,1,1,,0.8,,-4.8,,-2,,20,,0,,,M,,M,,M,,,5,E,54,E
2003/1/2,2003,1,2,,-2.1,,-7.7,,-4.9,,22.9,,0,,,M,,M,,M,,,9,E,67,E
2003/1/3,2003,1,3,,0.7,,-2.2,,-0.8,,18.8,,0,,,M,,M,,M,,,,,<31,
2003/1/4,2003,1,4,,0.1,,-2.9,,-1.4,,19.4,,0,,,M,,M,,M,,,,,<31,
2003/1/5,2003,1,5,,-1.4,,-2.9,,-2.2,,20.2,,0,,,M,,M,,M,,,,,<31,
2003/1/6,2003,1,6,,-0.1,,-10,,-5.1,,23.1,,0,,,M,,M,,M,,,,,<31,
2003/1/7,2003,1,7,,1.3,,-10.3,,-4.5,,22.5,,0,,,M,,M,,M,,,23,E,39,E
2003/1/8,2003,1,8,,6.5,,1.3,,3.9,,14.1,,0,,,M,,M,,M,,,30,E,74,E
2003/1/9,2003,1,9,,6.5,,-3.3,,1.6,,16.4,,0,,,M,,M,,M,,,29,E,46,E
2003/1/10,2003,1,10,,-2.3,,-7.2,,-4.8,,22.8,,0,,,M,,M,,M,,,31,E,46,E
2003/1/11,2003,1,11,,-4.1,,-6.8,,-5.5,,23.5,,0,,,M,,M,,M,,,,,<31,
2003/1/12,2003,1,12,,-2,,-4.9,,-3.5,,21.5,,0,,,M,,M,,M,,,23,E,44,E
2003/1/13,2003,1,13,,-1.1,,-6.8,,-4,,22,,0,,,M,,M,,M,,,30,E,44,E
2003/1/14,2003,1,14,,-4.5,,-7.4,,-6,,24,,0,,,M,,M,,M,,,,,<31,
2003/1/15,2003,1,15,,-5.4,,-9.1,,-7.3,,25.3,,0,,,M,,M,,M,,,27,E,43,E
2003/1/16,2003,1,16,,,M,-7.9,E,,M,,M,,M,,M,,M,,M,,,,M,,M
2003/1/17,2003,1,17,,,M,,M,,M,,M,,M,,M,,M,,M,,,,,<31,
2003/1/18,2003,1,18,,-5.2,,-11.7,,-8.5,,26.5,,0,,,M,,M,,M,,,23,E,43,E
2003/1/19,2003,1,19,,-5.6,,-9.3,,-7.5,,25.5,,0,,,M,,M,,M,,,23,E,52,E
2003/1/20,2003,1,20,,-6.9,,-11.2,,-9.1,,27.1,,0,,,M,,M,,M,,,30,E,39,E
2003/1/21,2003,1,21,,-8.4,,-12.4,,-10.4,,28.4,,0,,,M,,M,,M,,,31,E,32,E
2003/1/22,2003,1,22,,-9.7,,-15.9,,-12.8,,30.8,,0,,,M,,M,,M,,,30,E,37,E
2003/1/23,2003,1,23,,-11.2,,-16.4,,-13.8,,31.8,,0,,,M,,M,,M,,,,,<31,
2003/1/24,2003,1,24,,,M,-15.6,E,,M,,M,,M,,M,,M,,M,,,,M,,M
2003/1/25,2003,1,25,,,M,,M,,M,,M,,M,,M,,M,,M,,,,,<31,
2003/1/26,2003,1,26,,-3.6,,-15.8,,-9.7,,27.7,,0,,,M,,M,,M,,,,M,41,E
2003/1/27,2003,1,27,,-9.6,,-19.9,,-14.8,,32.8,,0,,,M,,M,,M,,,,,<31,
2003/1/28,2003,1,28,,-3,,-10.8,,-6.9,,24.9,,0,,,M,,M,,M,,,,,<31,
2003/1/29,2003,1,29,,-2.4,,-12.5,,-7.5,,25.5,,0,,,M,,M,,M,,,,,<31,
2003/1/30,2003,1,30,,-3,,-15.4,,-9.2,,27.2,,0,,,M,,M,,M,,,,,<31,
2003/1/31,2003,1,31,,1.7,,-11.3,,-4.8,,22.8,,0,,,M,,M,,M,,,,,<31,
2003/2/1,2003,2,1,,3.7,,0,,1.9,,16.1,,0,,,M,,M,,M,,,,,<31,
2003/2/2,2003,2,2,,3.4,,-0.5,,1.5,,16.5,,0,,,M,,M,,M,,,,,<31,
2003/2/3,2003,2,3,,1.8,,-1.9,,-0.1,,18.1,,0,,,M,,M,,M,,,,,<31,
2003/2/4,2003,2,4,,8,,-5.9,,1.1,,16.9,,0,,,M,,M,,M,,,27,E,74,E
2003/2/5,2003,2,5,,-5.5,,-6.7,,-6.1,,24.1,,0,,,M,,M,,M,,,31,E,35,E
2003/2/6,2003,2,6,,-0.5,,-6.2,,-3.4,,21.4,,0,,,M,,M,,M,,,23,E,35,E
2003/2/7,2003,2,7,,-2.2,,-8.5,,-5.4,,23.4,,0,,,M,,M,,M,,,36,E,35,E
2003/2/8,2003,2,8,,-2.5,,-8.6,,-5.6,,23.6,,0,,,M,,M,,M,,,23,E,52,E
2003/2/9,2003,2,9,,-2.2,,-6.3,,-4.3,,22.3,,0,,,M,,M,,M,,,23,E,39,E
2003/2/10,2003,2,10,,-0.5,,-14.4,,-7.5,,25.5,,0,,,M,,M,,M,,,30,E,50,E
2003/2/11,2003,2,11,,-4.7,,-17.9,,-11.3,,29.3,,0,,,M,,M,,M,,,23,E,37,E
2003/2/12,2003,2,12,,-5.3,,-12,,-8.7,,26.7,,0,,,M,,M,,M,,,31,E,50,E
2003/2/13,2003,2,13,,-9.1,,-14.3,,-11.7,,29.7,,0,,,M,,M,,M,,,26,E,35,E
2003/2/14,2003,2,14,,-4.8,,-12.2,,-8.5,,26.5,,0,,,M,,M,,M,,,,,<31,
2003/2/15,2003,2,15,,-10.2,,-14.5,,-12.4,,30.4,,0,,,M,,M,,M,,,4,E,48,E
2003/2/16,2003,2,16,,-5.9,,-14.5,,-10.2,,28.2,,0,,,M,,M,,M,,,10,E,54,E
2003/2/17,2003,2,17,,-3.6,,-9.1,,-6.4,,24.4,,0,,,M,,M,,M,,,9,E,48,E
2003/2/18,2003,2,18,,-0.4,,-5.8,,-3.1,,21.1,,0,,,M,,M,,M,,,23,E,32,E
2003/2/19,2003,2,19,,2.2,,-2.2,,0,,18,,0,,,M,,M,,M,,,23,E,43,E
2003/2/20,2003,2,20,,5.2,,-5.6,,-0.2,,18.2,,0,,,M,,M,,M,,,23,E,39,E
2003/2/21,2003,2,21,,5.1,,-1.5,,1.8,,16.2,,0,,,M,,M,,M,,,,,<31,
2003/2/22,2003,2,22,,1.5,,-2.6,,-0.6,,18.6,,0,,,M,,M,,M,,,5,E,48,E
2003/2/23,2003,2,23,,-2.6,,-9.5,,-6.1,,24.1,,0,,,M,,M,,M,,,36,E,54,E
2003/2/24,2003,2,24,,-5.7,,-11.2,,-8.5,,26.5,,0,,,M,,M,,M,,,,,<31,
2003/2/25,2003,2,25,,-7,,-14.8,,-10.9,,28.9,,0,,,M,,M,,M,,,,,<31,
2003/2/26,2003,2,26,,-5.6,,-15.9,,-10.8,,28.8,,0,,,M,,M,,M,,,,,<31,
2003/2/27,2003,2,27,,-2.4,,-12.5,,-7.5,,25.5,,0,,,M,,M,,M,,,,,<31,
2003/2/28,2003,2,28,,0.2,,-6.1,,-3,,21,,0,,,M,,M,,M,,,,,<31,
2003/3/1,2003,3,1,,0.3,,-6.7,,-3.2,,21.2,,0,,,M,,M,,M,,,,,<31,
2003/3/2,2003,3,2,,1.8,,-16.9,,-7.6,,25.6,,0,,,M,,M,,M,,,30,E,41,E
2003/3/3,2003,3,3,,-12.3,,-21.2,,-16.8,,34.8,,0,,,M,,M,,M,,,,,<31,
2003/3/4,2003,3,4,,3.2,,-12.4,,-4.6,,22.6,,0,,,M,,M,,M,,,,,<31,
2003/3/5,2003,3,5,,0,,-8.4,,-4.2,,22.2,,0,,,M,,M,,M,,,36,E,43,E
2003/3/6,2003,3,6,,-3.8,,-10.4,,-7.1,,25.1,,0,,,M,,M,,M,,,,,<31,
2003/3/7,2003,3,7,,1.3,,-12.2,,-5.5,,23.5,,0,,,M,,M,,M,,,,,<31,
2003/3/8,2003,3,8,,3.8,,-3.6,,0.1,,17.9,,0,,,M,,M,,M,,,32,E,41,E
2003/3/9,2003,3,9,,-3.6,,-11.8,,-7.7,,25.7,,0,,,M,,M,,M,,,31,E,43,E
2003/3/10,2003,3,10,,-8.8,,-12.6,,-10.7,,28.7,,0,,,M,,M,,M,,,27,E,37,E
2003/3/11,2003,3,11,,3.5,,-9.7,,-3.1,,21.1,,0,,,M,,M,,M,,,22,E,37,E
2003/3/12,2003,3,12,,3.5,,-4.9,,-0.7,,18.7,,0,,,M,,M,,M,,,26,E,37,E
2003/3/13,2003,3,13,,-2.6,,-6.4,,-4.5,,22.5,,0,,,M,,M,,M,,,5,E,33,E
2003/3/14,2003,3,14,,0.4,,-7.8,,-3.7,,21.7,,0,,,M,,M,,M,,,,,<31,
2003/3/15,2003,3,15,,1.8,,-3.1,,-0.7,,18.7,,0,,,M,,M,,M,,,,,<31,
2003/3/16,2003,3,16,,7.4,,-0.9,,3.3,,14.7,,0,,,M,,M,,M,,,,,<31,
2003/3/17,2003,3,17,,16.7,,1.1,,8.9,,9.1,,0,,,M,,M,,M,,,,,<31,
2003/3/18,2003,3,18,,6.3,,2,,4.2,,13.8,,0,,,M,,M,,M,,,,,<31,
