Station Name,BURLINGTON PIERS (AUT),,,,,,,,,,,,,,,,,,,,,,,,,
Province,ONTARIO,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,43.3,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-79.8,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation,77.4,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Identifier,6151061,,,,,,,,,,,,,,,,,,,,,,,,,
WMO Identifier,71437,,,,,,,,,,,,,,,,,,,,,,,,,
TC Identifier,WWB,,,,,,,Mean Max Temp (°C),Mean Min Temp (°C),Mean Temp (°C),Extr Max Temp (°C),Extr Min Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),,,,,,,,,,,,
,,,,,,,,2.919354839,-3.612903226,-0.34516129,12.3,-14.3,568.7,0,,,,,,,,,,,,
Legend,,,,,,,,3.403448276,-1.734482759,0.848275862,10.4,-12.4,497.4,0,,,,,,,,,,,,
A,Accumulated,,,,,,,10.20322581,1.983870968,6.112903226,19.9,-11.4,368.5,0,,,,,,,,,,,,
C,"Precipitation occurred, amount uncertain",,,,,,,11.9,3.776666667,7.86,23.8,0.7,304.2,0,,,,,,,,,,,,
E,Estimated,,,,,,,19.19032258,11.73548387,15.49032258,31.5,6,101,23.2,,,,,,,,,,,,
F,Accumulated and estimated,,,,,,,24.64,16.58,20.63333333,32.6,10.6,22.7,101.7,,,,,,,,,,,,
L,Precipitation may or may not have occurred,,,,,,,27.9516129,20.43548387,24.22580645,35.6,18,0,193,,,,,,,,,,,,
M,Missing,,,,,,,25.91290323,18.47741935,22.21935484,32.7,14.6,0,130.8,,,,,,,,,,,,
N,Temperature missing but known to be > 0,,,,,,,20.84333333,13.88666667,17.38666667,28.5,7.3,58.4,40,,,,,,,,,,,,
S,More than one occurrence,,,,,,,14.03548387,7.541935484,10.81612903,23.1,2.5,223.2,0.5,,,,,,,,,,,,
T,Trace,,,,,,,7.383333333,2.24,4.836666667,20.5,-3,394.9,0,,,,,,,,,,,,
Y,Temperature missing but known to be < 0,,,,,,,5.216666667,0.073333333,2.66,17.6,-5.2,460.2,0,,,,,,,,,,,,
[empty],No data available,,,,,,,,,,,,,,,,,,,,,,,,,
^,The value displayed is based on incomplete data,,,,,,,,,,,,,,,,,,,,,,,,,
†,Data that is not subject to review by the National Climate Archives,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2012/1/1,2012,1,1,,8.9,,1.7,,5.3,,12.7,,0,,,M,,M,,M,,,20,,63,
