Station Name,BURLINGTON PIERS (AUT),,,,,,,,,,,,,,,,,,,,,,,,,
Province,ONTARIO,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,43.3,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-79.8,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation,77.4,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Identifier,6151061,,,,,,,,,,,,,,,,,,,,,,,,,
WMO Identifier,71437,,,,,,,,,,,,,,,,,,,,,,,,,
TC Identifier,WWB,,,,,,,Mean Max Temp (°C),Mean Min Temp (°C),Mean Temp (°C),Extr Max Temp (°C),Extr Min Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),,,,,,,,,,,,
,,,,,,,,2.666666667,-4.225806452,-0.78,15.5,-17.8,563.4,0,,,,,,,,,,,,
Legend,,,,,,,,0.096428571,-5.607692308,-2.576923077,7.7,-12.8,535,0,,,,,,,,,,,,
A,Accumulated,,,,,,,4.003225806,-1.770967742,1.119354839,15.2,-6.7,523.3,0,,,,,,,,,,,,
C,"Precipitation occurred, amount uncertain",,,,,,,9.64,2.396666667,6.046666667,26.5,-3.5,358.6,0,,,,,,,,,,,,
E,Estimated,,,,,,,17.25666667,8.929032258,13.10333333,29.7,3.2,161.5,14.6,,,,,,,,,,,,
F,Accumulated and estimated,,,,,,,21.69333333,15.04666667,18.4,31,8.7,43.6,55.6,,,,,,,,,,,,
L,Precipitation may or may not have occurred,,,,,,,25.39333333,19.03548387,22.25666667,34,14.5,0.7,128.4,,,,,,,,,,,,
M,Missing,,,,,,,24.44193548,17.2516129,20.87096774,30,12.7,2.6,91.6,,,,,,,,,,,,
N,Temperature missing but known to be > 0,,,,,,,20.23,13.24,16.76666667,32.9,7.4,67,30,,,,,,,,,,,,
S,More than one occurrence,,,,,,,15.42758621,9.363333333,12.48275862,24.9,3.1,163.1,3.1,,,,,,,,,,,,
T,Trace,,,,,,,7.265517241,0.7,4,17.8,-9.6,406,0,,,,,,,,,,,,
