Station Name,BURLINGTON PIERS (AUT),,,,,,,,,,,,,,,,,,,,,,,,,
Province,ONTARIO,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,43.3,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-79.8,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation,77.4,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Identifier,6151061,,,,,,,,,,,,,,,,,,,,,,,,,
WMO Identifier,71437,,,,,,,,,,,,,,,,,,,,,,,,,
TC Identifier,WWB,,,,,,,Mean Max Temp (°C),Mean Min Temp (°C),Mean Temp (°C),Extr Max Temp (°C),Extr Min Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),,,,,,,,,,,,
,,,,,,,,1.95483871,-2.651612903,-0.341935484,12.6,-11.8,568.6,0,,,,,,,,,,,,
Legend,,,,,,,,4.273076923,-2.264285714,0.819230769,14.6,-10,446.7,0,,,,,,,,,,,,
A,Accumulated,,,,,,,3.690322581,-2.622580645,0.541935484,15.1,-11.1,541.2,0,,,,,,,,,,,,
C,"Precipitation occurred, amount uncertain",,,,,,,13.07666667,4.746666667,8.93,22,0.8,272.1,0,,,,,,,,,,,,
E,Estimated,,,,,,,15.23870968,8.283870968,11.78387097,29,3.7,200.5,7.8,,,,,,,,,,,,
F,Accumulated and estimated,,,,,,,23.55666667,15.00666667,19.30333333,30.8,10.4,29.3,68.4,,,,,,,,,,,,
L,Precipitation may or may not have occurred,,,,,,,25.27096774,17.99677419,21.66129032,30.1,14.6,0,113.5,,,,,,,,,,,,
M,Missing,,,,,,,23.90967742,17.08064516,20.52258065,30.2,12.3,7.2,85.4,,,,,,,,,,,,
N,Temperature missing but known to be > 0,,,,,,,21.83333333,15.34,18.61,32.2,7.9,41.7,60,,,,,,,,,,,,
S,More than one occurrence,,,,,,,18.3483871,10.91290323,14.65806452,26.3,5.2,113.3,9.7,,,,,,,,,,,,
T,Trace,,,,,,,8.416666667,1.68,5.07,17.5,-7.9,387.9,0,,,,,,,,,,,,
Y,Temperature missing but known to be < 0,,,,,,,0.061290323,-5.919354839,-2.941935484,12.2,-18.7,649.2,0,,,,,,,,,,,,
[empty],No data available,,,,,,,,,,,,,,,,,,,,,,,,,
^,The value displayed is based on incomplete data,,,,,,,,,,,,,,,,,,,,,,,,,
†,Data that is not subject to review by the National Climate Archives,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
