Station Name,BURLINGTON PIERS (AUT),,,,,,,,,,,,,,,,,,,,,,,,,
Province,ONTARIO,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,43.3,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-79.8,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation,77.4,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Identifier,6151061,,,,,,,,,,,,,,,,,,,,,,,,,
WMO Identifier,71437,,,,,,,,,,,,,,,,,,,,,,,,,
TC Identifier,WWB,,,,,,,Mean Max Temp (°C),Mean Min Temp (°C),Mean Temp (°C),Extr Max Temp (°C),Extr Min Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),,,,,,,,,,,,
,,,,,,,,1.703333333,-4.161290323,-1.233333333,11.7,-15.6,577,0,,,,,,,,,,,,
Legend,,,,,,,,-3.407142857,-10.08928571,-6.760714286,5.3,-18.4,693.3,0,,,,,,,,,,,,
A,Accumulated,,,,,,,4.509677419,-2.229032258,1.15483871,20.3,-19.1,522.2,0,,,,,,,,,,,,
C,"Precipitation occurred, amount uncertain",,,,,,,9.02,3.063333333,6.063333333,23.3,-5.2,358.1,0,,,,,,,,,,,,
E,Estimated,,,,,,,17.18333333,9.526666667,13.37666667,30.1,5.3,153.3,14.6,,,,,,,,,,,,
F,Accumulated and estimated,,,,,,,25.05,16.25666667,20.68333333,32.4,9,13.6,94.1,,,,,,,,,,,,
L,Precipitation may or may not have occurred,,,,,,,24.64516129,16.72903226,20.71290323,31.9,13.1,1.6,85.7,,,,,,,,,,,,
M,Missing,,,,,,,25.51612903,18.77419355,22.17741935,32.9,12.6,2.6,132.1,,,,,,,,,,,,
N,Temperature missing but known to be > 0,,,,,,,22.6,14.94,18.79666667,32.9,8.4,29.1,53,,,,,,,,,,,,
S,More than one occurrence,,,,,,,18.00322581,11.73870968,14.89032258,30.8,4.2,118.5,22.1,,,,,,,,,,,,
T,Trace,,,,,,,7.446666667,1.746666667,4.606666667,16.4,-5.4,401.8,0,,,,,,,,,,,,
Y,Temperature missing but known to be < 0,,,,,,,1.851612903,-3.067741935,-0.616129032,9.2,-10.6,577.1,0,,,,,,,,,,,,
[empty],No data available,,,,,,,,,,,,,,,,,,,,,,,,,
^,The value displayed is based on incomplete data,,,,,,,,,,,,,,,,,,,,,,,,,
†,Data that is not subject to review by the National Climate Archives,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2007/1/1,2007,1,1,,10.7,,2.7,,6.7,,11.3,,0,,,M,,M,,M,,,22,E,39,E
2007/1/2,2007,1,2,,6.8,,1.7,,4.3,,13.7,,0,,,M,,M,,M,,,,,<31,
2007/1/3,2007,1,3,,8,,3,,5.5,,12.5,,0,,,M,,M,,M,,,23,E,41,E
2007/1/4,2007,1,4,,11.1,,6.1,,8.6,,9.4,,0,,,M,,M,,M,,,22,E,39,E
2007/1/5,2007,1,5,,11.7,,5.6,,8.7,,9.3,,0,,,M,,M,,M,,,,,<31,
2007/1/6,2007,1,6,,11.1,,4.7,,7.9,,10.1,,0,,,M,,M,,M,,,30,E,41,E
2007/1/7,2007,1,7,,5.2,,2.2,,3.7,,14.3,,0,,,M,,M,,M,,,,,<31,
2007/1/8,2007,1,8,,4.1,,0.7,,2.4,,15.6,,0,,,M,,M,,M,,,27,E,52,E
2007/1/9,2007,1,9,,1.6,,-3.6,,-1,,19,,0,,,M,,M,,M,,,31,E,41,E
2007/1/10,2007,1,10,,-2.8,,-5.5,,-4.2,,22.2,,0,,,M,,M,,M,,,27,E,32,E
2007/1/11,2007,1,11,,7.7,,-5.5,,1.1,,16.9,,0,,,M,,M,,M,,,23,E,54,E
2007/1/12,2007,1,12,,9,,3.4,,6.2,,11.8,,0,,,M,,M,,M,,,23,E,35,E
2007/1/13,2007,1,13,,6.6,,-1.4,,2.6,,15.4,,0,,,M,,M,,M,,,2,E,32,E
2007/1/14,2007,1,14,,1,,-1.1,,-0.1,,18.1,,0,,,M,,M,,M,,,,,<31,
2007/1/15,2007,1,15,,1.1,,-4,,-1.5,,19.5,,0,,,M,,M,,M,,,,,<31,
2007/1/16,2007,1,16,,-3.8,,-8.9,,-6.4,,24.4,,0,,,M,,M,,M,,,31,E,37,E
2007/1/17,2007,1,17,,-1.6,,-8.5,,-5.1,,23.1,,0,,,M,,M,,M,,,22,E,32,E
2007/1/18,2007,1,18,,2.1,,-2.3,,-0.1,,18.1,,0,,,M,,M,,M,,,20,E,32,E
2007/1/19,2007,1,19,,1.8,,-5.1,,-1.7,,19.7,,0,,,M,,M,,M,,,28,E,41,E
2007/1/20,2007,1,20,,-5.1,,-9.5,,-7.3,,25.3,,0,,,M,,M,,M,,,31,E,35,E
2007/1/21,2007,1,21,,-3.4,,-10.4,,-6.9,,24.9,,0,,,M,,M,,M,,,,,<31,
2007/1/22,2007,1,22,,-3.4,,-6.2,,-4.8,,22.8,,0,,,M,,M,,M,,,,,<31,
2007/1/23,2007,1,23,,,M,-4.5,E,,M,,M,,M,,M,,M,,M,,,,,<31,
2007/1/24,2007,1,24,,-1,,-9,,-5,,23,,0,,,M,,M,,M,,,,,<31,
2007/1/25,2007,1,25,,-8.9,,-15.6,,-12.3,,30.3,,0,,,M,,M,,M,,,35,E,37,E
2007/1/26,2007,1,26,,-3.9,,-15.1,,-9.5,,27.5,,0,,,M,,M,,M,,,,,<31,
2007/1/27,2007,1,27,,0.8,,-4,,-1.6,,19.6,,0,,,M,,M,,M,,,,,<31,
2007/1/28,2007,1,28,,-1.7,,-10.5,,-6.1,,24.1,,0,,,M,,M,,M,,,36,E,37,E
