Station Name,BURLINGTON PIERS (AUT),,,,,,,,,,,,,,,,,,,,,,,,,
Province,ONTARIO,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,43.3,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-79.8,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation,77.4,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Identifier,6151061,,,,,,,,,,,,,,,,,,,,,,,,,
WMO Identifier,71437,,,,,,,,,,,,,,,,,,,,,,,,,
TC Identifier,WWB,,,,,,,Mean Max Temp (°C),Mean Min Temp (°C),Mean Temp (°C),Extr Max Temp (°C),Extr Min Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),,,,,,,,,,,,
,,,,,,,,0.296666667,-7.690322581,-3.59,12.7,-18.4,647.7,0,,,,,,,,,,,,
Legend,,,,,,,,0.976923077,-5.196296296,-2.165384615,14,-11.7,524.3,0,,,,,,,,,,,,
A,Accumulated,,,,,,,8.35483871,1.132258065,4.770967742,21.2,-4.4,410.1,0,,,,,,,,,,,,
C,"Precipitation occurred, amount uncertain",,,,,,,9.320689655,3.37,6.310344828,21.7,-2.8,339,0,,,,,,,,,,,,
E,Estimated,,,,,,,17.54,9.903225806,13.78,28.4,4.6,147.3,20.7,,,,,,,,,,,,
F,Accumulated and estimated,,,,,,,21.42068966,13.77333333,17.55517241,30.2,9.9,45.8,32.9,,,,,,,,,,,,
L,Precipitation may or may not have occurred,,,,,,,22.65806452,17.25483871,19.98709677,27.6,13.4,3.3,64.9,,,,,,,,,,,,
M,Missing,,,,,,,24.13870968,17.60322581,20.89032258,28.8,12.2,6,95.6,,,,,,,,,,,,
N,Temperature missing but known to be > 0,,,,,,,19.77407407,12.76896552,16.11481481,27,3.5,82.1,31.2,,,,,,,,,,,,
S,More than one occurrence,,,,,,,15.44,8.674193548,12.17333333,23.8,2.8,178,3.2,,,,,,,,,,,,
T,Trace,,,,,,,7.110344828,2.766666667,4.9,19,-8.8,379.9,0,,,,,,,,,,,,
Y,Temperature missing but known to be < 0,,,,,,,-1.920689655,-8.436666667,-5.193103448,5.9,-15.5,672.6,0,,,,,,,,,,,,
[empty],No data available,,,,,,,,,,,,,,,,,,,,,,,,,
^,The value displayed is based on incomplete data,,,,,,,,,,,,,,,,,,,,,,,,,
†,Data that is not subject to review by the National Climate Archives,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2000/1/1,2000,1,1,,7.9,,1.4,,4.7,,13.3,,0,,,M,,M,,M,,,,,<31,
2000/1/2,2000,1,2,,12.7,,1.9,,7.3,,10.7,,0,,,M,,M,,M,,,19,E,44,E
2000/1/3,2000,1,3,,12.3,,0,,6.2,,11.8,,0,,,M,,M,,M,,,5,E,48,E
2000/1/4,2000,1,4,,12.3,,-2.7,,4.8,,13.2,,0,,,M,,M,,M,,,19,E,50,E
2000/1/5,2000,1,5,,-1.4,,-3.6,,-2.5,,20.5,,0,,,M,,M,,M,,,,,<31,
2000/1/6,2000,1,6,,3.3,,-1.7,,0.8,,17.2,,0,,,M,,M,,M,,,18,E,43,E
2000/1/7,2000,1,7,,3.3,,-2.9,,0.2,,17.8,,0,,,M,,M,,M,,,26,E,44,E
2000/1/8,2000,1,8,,6.2,,-3.7,,1.3,,16.7,,0,,,M,,M,,M,,,18,E,52,E
2000/1/9,2000,1,9,,4.8,,2.2,,3.5,,14.5,,0,,,M,,M,,M,,,,,<31,
2000/1/10,2000,1,10,,8.9,,3.3,,6.1,,11.9,,0,,,M,,M,,M,,,18,E,48,E
2000/1/11,2000,1,11,,6.3,,1.8,,4.1,,13.9,,0,,,M,,M,,M,,,23,E,41,E
2000/1/12,2000,1,12,,2.1,,-3.2,,-0.6,,18.6,,0,,,M,,M,,M,,,23,E,33,E
2000/1/13,2000,1,13,,-3.1,,-12,,-7.6,,25.6,,0,,,M,,M,,M,,,33,E,50,E
2000/1/14,2000,1,14,,-5,,-12.4,,-8.7,,26.7,,0,,,M,,M,,M,,,,,<31,
2000/1/15,2000,1,15,,2.8,,-6.8,,-2,,20,,0,,,M,,M,,M,,,18,E,41,E
2000/1/16,2000,1,16,,3.8,,-14.9,,-5.6,,23.6,,0,,,M,,M,,M,,,29,E,56,E
2000/1/17,2000,1,17,,-12.6,,-18.4,,-15.5,,33.5,,0,,,M,,M,,M,,,32,E,43,E
2000/1/18,2000,1,18,,-7,,-14.2,,-10.6,,28.6,,0,,,M,,M,,M,,,,,<31,
2000/1/19,2000,1,19,,-0.6,,-8.2,,-4.4,,22.4,,0,,,M,,M,,M,,,,,<31,
2000/1/20,2000,1,20,,-4.6,,-15.9,,-10.3,,28.3,,0,,,M,,M,,M,,,32,E,39,E
2000/1/21,2000,1,21,,-10.8,,-17.9,,-14.4,,32.4,,0,,,M,,M,,M,,,,,<31,
2000/1/22,2000,1,22,,-6.8,,-16.7,,-11.8,,29.8,,0,,,M,,M,,M,,,,,<31,
2000/1/23,2000,1,23,,-0.4,,-8.1,,-4.3,,22.3,,0,,,M,,M,,M,,,17,E,39,E
2000/1/24,2000,1,24,,-5.8,,-11.2,,-8.5,,26.5,,0,,,M,,M,,M,,,23,E,35,E
2000/1/25,2000,1,25,,-4.5,,-11.9,,-8.2,,26.2,,0,,,M,,M,,M,,,,,<31,
2000/1/26,2000,1,26,,-4.4,,-14,,-9.2,,27.2,,0,,,M,,M,,M,,,31,E,46,E
2000/1/27,2000,1,27,,-9.5,,-16,,-12.8,,30.8,,0,,,M,,M,,M,,,31,E,39,E
2000/1/28,2000,1,28,,,M,-14.8,E,,M,,M,,M,,M,,M,,M,,,,,<31,
2000/1/29,2000,1,29,,-0.6,,-10.1,,-5.4,,23.4,,0,,,M,,M,,M,,,,,<31,
2000/1/30,2000,1,30,,-0.4,,-4.1,,-2.3,,20.3,,0,,,M,,M,,M,,,,,<31,
2000/1/31,2000,1,31,,-0.3,,-3.6,,-2,,20,,0,,,M,,M,,M,,,19,E,37,E
2000/2/1,2000,2,1,,-1.5,,-7.8,,-4.7,,22.7,,0,,,M,,M,,M,,,29,E,50,E
2000/2/2,2000,2,2,,-3.4,,-11.7,,-7.6,,25.6,,0,,,M,,M,,M,,,,,<31,
2000/2/3,2000,2,3,,-0.5,,-3.4,,-2,,20,,0,,,M,,M,,M,,,,,<31,
2000/2/4,2000,2,4,,-1.2,,-8.8,,-5,,23,,0,,,M,,M,,M,,,,,<31,
2000/2/5,2000,2,5,,-0.1,,-9.7,,-4.9,,22.9,,0,,,M,,M,,M,,,23,E,37,E
2000/2/6,2000,2,6,,-0.9,,-7.5,,-4.2,,22.2,,0,,,M,,M,,M,,,18,E,41,E
2000/2/7,2000,2,7,,0.9,,-9.6,,-4.4,,22.4,,0,,,M,,M,,M,,,32,E,41,E
2000/2/8,2000,2,8,,-2.3,,-11.2,,-6.8,,24.8,,0,,,M,,M,,M,,,,,<31,
2000/2/9,2000,2,9,,4.9,,-2.7,,1.1,,16.9,,0,,,M,,M,,M,,,19,E,35,E
2000/2/10,2000,2,10,,1.1,,-5.8,,-2.4,,20.4,,0,,,M,,M,,M,,,4,E,48,E
2000/2/11,2000,2,11,,-3,,-8.7,,-5.9,,23.9,,0,,,M,,M,,M,,,30,E,39,E
2000/2/12,2000,2,12,,-2.4,,-11.1,,-6.8,,24.8,,0,,,M,,M,,M,,,,,<31,
2000/2/13,2000,2,13,,-0.6,,-6.3,,-3.5,,21.5,,0,,,M,,M,,M,,,,M,57,E
2000/2/14,2000,2,14,,-1.9,,-6.2,,-4.1,,22.1,,0,,,M,,M,,M,,,1,E,54,E
2000/2/15,2000,2,15,,0.3,,-7.6,,-3.7,,21.7,,0,,,M,,M,,M,,,16,E,35,E
2000/2/16,2000,2,16,,2.7,,-5.8,,-1.6,,19.6,,0,,,M,,M,,M,,,27,E,50,E
