Station Name,BURLINGTON PIERS (AUT),,,,,,,,,,,,,,,,,,,,,,,,,
Province,ONTARIO,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,43.3,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-79.8,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation,77.4,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Identifier,6151061,,,,,,,,,,,,,,,,,,,,,,,,,
WMO Identifier,71437,,,,,,,,,,,,,,,,,,,,,,,,,
TC Identifier,WWB,,,,,,,Mean Max Temp (°C),Mean Min Temp (°C),Mean Temp (°C),Extr Max Temp (°C),Extr Min Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),,,,,,,,,,,,
,,,,,,,,-1.525806452,-7.729032258,-4.648387097,12,-18.2,702.1,0,,,,,,,,,,,,
Legend,,,,,,,,2.718518519,-3.475,-0.485185185,14.8,-13.9,499.1,0,,,,,,,,,,,,
A,Accumulated,,,,,,,4.290322581,-1.867741935,1.216129032,19.2,-13.1,520.3,0,,,,,,,,,,,,
C,"Precipitation occurred, amount uncertain",,,,,,,11.06153846,4.551851852,7.815384615,17.9,0.9,264.8,0,,,,,,,,,,,,
E,Estimated,,,,,,,18.10666667,10.59677419,14.42666667,30.3,6.9,122.1,14.9,,,,,,,,,,,,
F,Accumulated and estimated,,,,,,,22.44827586,16.26333333,19.27241379,30.1,10,27.9,64.8,,,,,,,,,,,,
L,Precipitation may or may not have occurred,,,,,,,28.24137931,19.77419355,24.08275862,32.9,14.2,0.1,176.5,,,,,,,,,,,,
M,Missing,,,,,,,23.17096774,17.12580645,20.17096774,31,11.7,6.1,73.4,,,,,,,,,,,,
N,Temperature missing but known to be > 0,,,,,,,22.06333333,14.9,18.51,27.5,7,34.4,49.7,,,,,,,,,,,,
S,More than one occurrence,,,,,,,14.10967742,7.093548387,10.61935484,22.9,2.5,229,0.2,,,,,,,,,,,,
T,Trace,,,,,,,10.14482759,3.506896552,6.848275862,20.7,-4.3,323.4,0,,,,,,,,,,,,
Y,Temperature missing but known to be < 0,,,,,,,3.880645161,-1.8,1.04516129,14.8,-10.1,525.6,0,,,,,,,,,,,,
[empty],No data available,,,,,,,,,,,,,,,,,,,,,,,,,
^,The value displayed is based on incomplete data,,,,,,,,,,,,,,,,,,,,,,,,,
†,Data that is not subject to review by the National Climate Archives,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
1999/1/1,1999,1,1,,-7.9,,-13.9,,-10.9,,28.9,,0,,,M,,M,,M,,,30,E,48,E
1999/1/2,1999,1,2,,-4,,-13.9,E,-9,E,27,E,0,E,,M,,M,,M,,,5,E,69,E
1999/1/3,1999,1,3,,-0.7,,-7.2,,-4,,22,,0,,,M,,M,,M,,,18,E,54,E
1999/1/4,1999,1,4,,-7,,-10.6,,-8.8,,26.8,,0,,,M,,M,,M,,,23,E,41,E
1999/1/5,1999,1,5,,-8.6,,-13.1,,-10.9,,28.9,,0,,,M,,M,,M,,,23,E,33,E
1999/1/6,1999,1,6,,-1.8,,-12.2,,-7,,25,,0,,,M,,M,,M,,,18,E,52,E
1999/1/7,1999,1,7,,-7.8,,-11.6,,-9.7,,27.7,,0,,,M,,M,,M,,,,,<31,
1999/1/8,1999,1,8,,-3.9,,-12.2,,-8.1,,26.1,,0,,,M,,M,,M,,,32,E,33,E
1999/1/9,1999,1,9,,-3.5,,-10.3,,-6.9,,24.9,,0,,,M,,M,,M,,,32,E,39,E
1999/1/10,1999,1,10,,-7.6,,-14.7,,-11.2,,29.2,,0,,,M,,M,,M,,,18,E,50,E
1999/1/11,1999,1,11,,-7.5,,-14.2,,-10.9,,28.9,,0,,,M,,M,,M,,,22,E,41,E
1999/1/12,1999,1,12,,-3.6,,-11.9,E,-7.8,E,25.8,E,0,E,,M,,M,,M,,,,,<31,
1999/1/13,1999,1,13,,-9.3,,-17.3,,-13.3,,31.3,,0,,,M,,M,,M,,,35,E,54,E
1999/1/14,1999,1,14,,-7.9,,-18.2,,-13.1,,31.1,,0,,,M,,M,,M,,,4,E,69,E
1999/1/15,1999,1,15,,-7.7,,-12.2,,-10,,28,,0,,,M,,M,,M,,,,,<31,
1999/1/16,1999,1,16,,2.7,,-12.2,E,-4.8,E,22.8,E,0,E,,M,,M,,M,,,19,E,46,E
1999/1/17,1999,1,17,,2.4,,-2.1,,0.2,,17.8,,0,,,M,,M,,M,,,,,<31,
1999/1/18,1999,1,18,,8.1,,1.2,,4.7,,13.3,,0,,,M,,M,,M,,,18,E,44,E
1999/1/19,1999,1,19,,1.4,,-0.4,,0.5,,17.5,,0,,,M,,M,,M,,,,,<31,
1999/1/20,1999,1,20,,0.9,,-3,,-1.1,,19.1,,0,,,M,,M,,M,,,,,<31,
1999/1/21,1999,1,21,,2.5,,-4.2,,-0.9,,18.9,,0,,,M,,M,,M,,,4,E,39,E
1999/1/22,1999,1,22,,3.2,,0.8,,2,,16,,0,,,M,,M,,M,,,4,E,54,E
1999/1/23,1999,1,23,,12,,2.8,,7.4,,10.6,,0,,,M,,M,,M,,,14,E,52,E
1999/1/24,1999,1,24,,6.9,,0.5,,3.7,,14.3,,0,,,M,,M,,M,,,23,E,43,E
1999/1/25,1999,1,25,,0.5,,-1.2,,-0.4,,18.4,,0,,,M,,M,,M,,,,,<31,
1999/1/26,1999,1,26,,0.4,,-3.2,,-1.4,,19.4,,0,,,M,,M,,M,,,,,<31,
1999/1/27,1999,1,27,,1.9,,-4.3,,-1.2,,19.2,,0,,,M,,M,,M,,,4,E,41,E
1999/1/28,1999,1,28,,0.3,,-6.3,,-3,,21,,0,,,M,,M,,M,,,,,<31,
1999/1/29,1999,1,29,,-1.6,,-6.5,,-4.1,,22.1,,0,,,M,,M,,M,,,,,<31,
1999/1/30,1999,1,30,,0.4,,-2.8,,-1.2,,19.2,,0,,,M,,M,,M,,,5,E,43,E
1999/1/31,1999,1,31,,-0.5,,-5.2,,-2.9,,20.9,,0,,,M,,M,,M,,,7,E,35,E
1999/2/1,1999,2,1,,1.8,,-5.9,,-2.1,,20.1,,0,,,M,,M,,M,,,,,<31,
1999/2/2,1999,2,2,,6,,1,,3.5,,14.5,,0,,,M,,M,,M,,,19,E,33,E
1999/2/3,1999,2,3,,6,,1.1,,3.6,,14.4,,0,,,M,,M,,M,,,20,E,32,E
1999/2/4,1999,2,4,,5.8,,-3.6,,1.1,,16.9,,0,,,M,,M,,M,,,,,<31,
1999/2/5,1999,2,5,,-0.5,,-5.2,,-2.9,,20.9,,0,,,M,,M,,M,,,,,<31,
1999/2/6,1999,2,6,,4.3,,-0.9,,1.7,,16.3,,0,,,M,,M,,M,,,27,E,32,E
1999/2/7,1999,2,7,,1.5,,-1.3,,0.1,,17.9,,0,,,M,,M,,M,,,1,E,50,E
1999/2/8,1999,2,8,,1.4,,-5.8,,-2.2,,20.2,,0,,,M,,M,,M,,,,,<31,
1999/2/9,1999,2,9,,8.7,,1.5,,5.1,,12.9,,0,,,M,,M,,M,,,23,E,39,E
1999/2/10,1999,2,10,,5.3,,0.2,,2.8,,15.2,,0,,,M,,M,,M,,,,,<31,
1999/2/11,1999,2,11,,4.2,,0.1,,2.2,,15.8,,0,,,M,,M,,M,,,,,<31,
1999/2/12,1999,2,12,,14.8,,-2.8,,6,,12,,0,,,M,,M,,M,,,18,E,43,E
1999/2/13,1999,2,13,,-2.7,,-6.7,,-4.7,,22.7,,0,,,M,,M,,M,,,27,E,43,E
1999/2/14,1999,2,14,,0.1,E,-8.5,E,-4.2,E,22.2,E,0,E,,M,,M,,M,,,,,<31,
1999/2/15,1999,2,15,,5.4,,-0.9,,2.3,,15.7,,0,,,M,,M,,M,,,,,<31,
1999/2/16,1999,2,16,,9.5,,0.4,,5,,13,,0,,,M,,M,,M,,,,,<31,
1999/2/17,1999,2,17,,,M,2.4,E,,M,,M,,M,,M,,M,,M,,,,,<31,
1999/2/18,1999,2,18,,1,,-4.2,,-1.6,,19.6,,0,,,M,,M,,M,,,,,<31,
1999/2/19,1999,2,19,,-1.2,,-6.3,,-3.8,,21.8,,0,,,M,,M,,M,,,,,<31,
1999/2/20,1999,2,20,,-0.5,,-6.8,,-3.7,,21.7,,0,,,M,,M,,M,,,32,E,39,E
1999/2/21,1999,2,21,,-3.6,,-11.4,,-7.5,,25.5,,0,,,M,,M,,M,,,32,E,41,E
1999/2/22,1999,2,22,,-6.1,,-13.9,,-10,,28,,0,,,M,,M,,M,,,32,E,35,E
1999/2/23,1999,2,23,,-3.8,,-10.2,,-7,,25,,0,,,M,,M,,M,,,5,E,43,E
1999/2/24,1999,2,24,,0.5,,-4.9,,-2.2,,20.2,,0,,,M,,M,,M,,,,,<31,
1999/2/25,1999,2,25,,1.5,,-1.3,,0.1,,17.9,,0,,,M,,M,,M,,,,,<31,
1999/2/26,1999,2,26,,4.7,,-2.3,E,1.2,E,16.8,E,0,E,,M,,M,,M,,,,,<31,
1999/2/27,1999,2,27,,2.2,,-2.9,,-0.4,,18.4,,0,,,M,,M,,M,,,,,<31,
1999/2/28,1999,2,28,,7.1,,1.8,E,4.5,E,13.5,E,0,E,,M,,M,,M,,,19,E,35,E
1999/3/1,1999,3,1,,3.4,,0.1,,1.8,,16.2,,0,,,M,,M,,M,,,27,E,50,E
1999/3/2,1999,3,2,,4.6,,-1.5,,1.6,,16.4,,0,,,M,,M,,M,,,27,E,39,E
1999/3/3,1999,3,3,,1.8,,-1.7,,0.1,,17.9,,0,,,M,,M,,M,,,32,E,50,E
1999/3/4,1999,3,4,,-1.5,,-4.8,,-3.2,,21.2,,0,,,M,,M,,M,,,27,E,50,E
1999/3/5,1999,3,5,,-2.3,,-6.5,,-4.4,,22.4,,0,,,M,,M,,M,,,4,E,52,E
1999/3/6,1999,3,6,,-2.3,,-10.4,,-6.4,,24.4,,0,,,M,,M,,M,,,1,E,72,E
1999/3/7,1999,3,7,,-4.4,,-13.1,,-8.8,,26.8,,0,,,M,,M,,M,,,33,E,33,E
1999/3/8,1999,3,8,,-3.3,,-10.4,,-6.9,,24.9,,0,,,M,,M,,M,,,,,<31,
1999/3/9,1999,3,9,,-1.7,,-3.8,,-2.8,,20.8,,0,,,M,,M,,M,,,,,<31,
1999/3/10,1999,3,10,,-0.8,,-6.6,,-3.7,,21.7,,0,,,M,,M,,M,,,,,<31,
1999/3/11,1999,3,11,,2.3,,-5.9,,-1.8,,19.8,,0,,,M,,M,,M,,,32,E,43,E
1999/3/12,1999,3,12,,1.4,,-3.5,,-1.1,,19.1,,0,,,M,,M,,M,,,32,E,39,E
1999/3/13,1999,3,13,,0.5,,-3.8,,-1.7,,19.7,,0,,,M,,M,,M,,,,,<31,
1999/3/14,1999,3,14,,0.5,,-2.2,,-0.9,,18.9,,0,,,M,,M,,M,,,,,<31,
1999/3/15,1999,3,15,,5,,-3,,1,,17,,0,,,M,,M,,M,,,,,<31,
1999/3/16,1999,3,16,,6.7,,-0.3,,3.2,,14.8,,0,,,M,,M,,M,,,19,E,43,E
