Station Name,BURLINGTON PIERS (AUT),,,,,,,,,,,,,,,,,,,,,,,,,
Province,ONTARIO,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,43.3,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-79.8,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation,77.4,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Identifier,6151061,,,,,,,,,,,,,,,,,,,,,,,,,
WMO Identifier,71437,,,,,,,,,,,,,,,,,,,,,,,,,
TC Identifier,WWB,,,,,,,Mean Max Temp (°C),Mean Min Temp (°C),Mean Temp (°C),Extr Max Temp (°C),Extr Min Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),,,,,,,,,,,,
,,,,,,,,2.71,-3.290322581,-0.166666667,16.3,-12.9,545,0,,,,,,,,,,,,
Legend,,,,,,,,0.075862069,-6.668965517,-3.310344828,9.2,-16,618,0,,,,,,,,,,,,
A,Accumulated,,,,,,,2.648387097,-3.216129032,-0.290322581,12.7,-8.3,567,0,,,,,,,,,,,,
C,"Precipitation occurred, amount uncertain",,,,,,,11.30344828,4.316666667,7.744827586,20.8,-2.1,297.4,0,,,,,,,,,,,,
E,Estimated,,,,,,,15.89677419,7.922580645,11.93870968,26.2,4.2,190.4,2.5,,,,,,,,,,,,
F,Accumulated and estimated,,,,,,,23.512,15.308,19.428,31.3,9.8,24.4,60.1,,,,,,,,,,,,
L,Precipitation may or may not have occurred,,,,,,,25.38666667,17.81290323,21.65333333,31.1,13.2,2.3,111.9,,,,,,,,,,,,
M,Missing,,,,,,,23.28333333,16.80645161,20.06,29,13.6,8.1,69.9,,,,,,,,,,,,
N,Temperature missing but known to be > 0,,,,,,,20.96666667,14.84333333,17.93333333,29.5,9.6,36.6,34.6,,,,,,,,,,,,
S,More than one occurrence,,,,,,,13.80967742,7.270967742,10.56774194,25.8,0.8,231.5,1.1,,,,,,,,,,,,
T,Trace,,,,,,,6.556666667,1.83,4.206666667,21.1,-6.9,413.8,0,,,,,,,,,,,,
Y,Temperature missing but known to be < 0,,,,,,,2.73,-4.97,-1.12,15.9,-14.2,573.6,0,,,,,,,,,,,,
[empty],No data available,,,,,,,,,,,,,,,,,,,,,,,,,
^,The value displayed is based on incomplete data,,,,,,,,,,,,,,,,,,,,,,,,,
†,Data that is not subject to review by the National Climate Archives,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2008/1/1,2008,1,1,,2.9,,-5.2,,-1.2,,19.2,,0,,,M,,M,,M,,,36,E,48,E
2008/1/2,2008,1,2,,-5.2,,-10.9,,-8.1,,26.1,,0,,,M,,M,,M,,,36,E,46,E
2008/1/3,2008,1,3,,-2.7,,-12.9,,-7.8,,25.8,,0,,,M,,M,,M,,,23,E,44,E
2008/1/4,2008,1,4,,0.8,,-3.4,,-1.3,,19.3,,0,,,M,,M,,M,,,23,E,46,E
2008/1/5,2008,1,5,,4.3,,-0.2,,2.1,,15.9,,0,,,M,,M,,M,,,,,<31,
2008/1/6,2008,1,6,,9.9,,3.6,,6.8,,11.2,,0,,,M,,M,,M,,,,,<31,
2008/1/7,2008,1,7,,15.8,,9.9,,12.9,,5.1,,0,,,M,,M,,M,,,22,E,33,E
2008/1/8,2008,1,8,,16.3,,11.4,,13.9,,4.1,,0,,,M,,M,,M,,,22,E,44,E
2008/1/9,2008,1,9,,13.4,,2.4,,7.9,,10.1,,0,,,M,,M,,M,,,22,E,63,E
2008/1/10,2008,1,10,,3.7,,1.1,,2.4,,15.6,,0,,,M,,M,,M,,,8,E,46,E
2008/1/11,2008,1,11,,7.6,,2.9,,5.3,,12.7,,0,,,M,,M,,M,,,23,E,54,E
2008/1/12,2008,1,12,,4.5,,2,,3.3,,14.7,,0,,,M,,M,,M,,,,,<31,
2008/1/13,2008,1,13,,3.5,,0.8,,2.2,,15.8,,0,,,M,,M,,M,,,,,<31,
2008/1/14,2008,1,14,,2.5,,0.5,,1.5,,16.5,,0,,,M,,M,,M,,,,,<31,
2008/1/15,2008,1,15,,0.9,,-1.8,,-0.5,,18.5,,0,,,M,,M,,M,,,,,<31,
2008/1/16,2008,1,16,,0.5,,-3.7,,-1.6,,19.6,,0,,,M,,M,,M,,,,,<31,
2008/1/17,2008,1,17,,3.8,,0.1,,2,,16,,0,,,M,,M,,M,,,22,E,39,E
2008/1/18,2008,1,18,,3.5,,-3.3,,0.1,,17.9,,0,,,M,,M,,M,,,22,E,54,E
2008/1/19,2008,1,19,,-1.2,,-10.9,,-6.1,,24.1,,0,,,M,,M,,M,,,27,E,39,E
2008/1/20,2008,1,20,,-8.5,,-12.3,,-10.4,,28.4,,0,,,M,,M,,M,,,27,E,44,E
2008/1/21,2008,1,21,,-5.3,,-10.9,,-8.1,,26.1,,0,,,M,,M,,M,,,26,E,33,E
2008/1/22,2008,1,22,,1.1,,-6.5,,-2.7,,20.7,,0,,,M,,M,,M,,,30,E,50,E
2008/1/23,2008,1,23,,-5.8,,-7.7,,-6.8,,24.8,,0,,,M,,M,,M,,,23,E,32,E
2008/1/24,2008,1,24,,-3.9,,-8.1,,-6,,24,,0,,,M,,M,,M,,,,,<31,
2008/1/25,2008,1,25,,,M,-10.4,E,,M,,M,,M,,M,,M,,M,,,,,<31,
2008/1/26,2008,1,26,,-2.9,,-8.2,,-5.6,,23.6,,0,,,M,,M,,M,,,,,<31,
2008/1/27,2008,1,27,,0,,-3.3,,-1.7,,19.7,,0,,,M,,M,,M,,,,,<31,
2008/1/28,2008,1,28,,3.5,,-2.6,,0.5,,17.5,,0,,,M,,M,,M,,,,,<31,
2008/1/29,2008,1,29,,7.8,,3.2,,5.5,,12.5,,0,,,M,,M,,M,,,21,E,43,E
2008/1/30,2008,1,30,,10.9,,-8.8,,1.1,,16.9,,0,,,M,,M,,M,,,23,E,63,E
2008/1/31,2008,1,31,,-0.4,,-8.8,,-4.6,,22.6,,0,,,M,,M,,M,,,6,E,46,E
2008/2/1,2008,2,1,,0.6,,-1.7,,-0.6,,18.6,,0,,,M,,M,,M,,,,,<31,
2008/2/2,2008,2,2,,1.2,,-0.4,,0.4,,17.6,,0,,,M,,M,,M,,,27,E,33,E
2008/2/3,2008,2,3,,1.5,,-0.5,,0.5,,17.5,,0,,,M,,M,,M,,,,,<31,
2008/2/4,2008,2,4,,3.1,,0,,1.6,,16.4,,0,,,M,,M,,M,,,,,<31,
2008/2/5,2008,2,5,,7.6,,0.5,,4.1,,13.9,,0,,,M,,M,,M,,,,,<31,
2008/2/6,2008,2,6,,1.4,,-4,,-1.3,,19.3,,0,,,M,,M,,M,,,8,E,67,E
2008/2/7,2008,2,7,,-1.1,,-6.2,,-3.7,,21.7,,0,,,M,,M,,M,,,36,E,44,E
2008/2/8,2008,2,8,,0.5,,-2.8,,-1.2,,19.2,,0,,,M,,M,,M,,,,,<31,
2008/2/9,2008,2,9,,3.7,,0.4,,2.1,,15.9,,0,,,M,,M,,M,,,23,E,37,E
2008/2/10,2008,2,10,,0.8,,-16,,-7.6,,25.6,,0,,,M,,M,,M,,,27,E,54,E
2008/2/11,2008,2,11,,-8.6,,-15.8,,-12.2,,30.2,,0,,,M,,M,,M,,,26,E,39,E
2008/2/12,2008,2,12,,-2.7,,-12.6,,-7.7,,25.7,,0,,,M,,M,,M,,,,,<31,
2008/2/13,2008,2,13,,-2.1,,-6.3,,-4.2,,22.2,,0,,,M,,M,,M,,,,,<31,
2008/2/14,2008,2,14,,1,,-6,,-2.5,,20.5,,0,,,M,,M,,M,,,22,E,39,E
2008/2/15,2008,2,15,,1,,-7,,-3,,21,,0,,,M,,M,,M,,,31,E,39,E
2008/2/16,2008,2,16,,-2.9,,-10.5,,-6.7,,24.7,,0,,,M,,M,,M,,,,,<31,
2008/2/17,2008,2,17,,9.2,,-6.6,,1.3,,16.7,,0,,,M,,M,,M,,,18,E,44,E
2008/2/18,2008,2,18,,8.7,,-3.7,,2.5,,15.5,,0,,,M,,M,,M,,,22,E,48,E
2008/2/19,2008,2,19,,-3.7,,-7.5,,-5.6,,23.6,,0,,,M,,M,,M,,,27,E,39,E
2008/2/20,2008,2,20,,-5.6,,-10.1,,-7.9,,25.9,,0,,,M,,M,,M,,,,,<31,
2008/2/21,2008,2,21,,-3.9,,-10.7,,-7.3,,25.3,,0,,,M,,M,,M,,,,,<31,
2008/2/22,2008,2,22,,-1.5,,-6.4,,-4,,22,,0,,,M,,M,,M,,,,,<31,
2008/2/23,2008,2,23,,-0.2,,-5.5,,-2.9,,20.9,,0,,,M,,M,,M,,,,,<31,
2008/2/24,2008,2,24,,2.5,,-6.4,,-2,,20,,0,,,M,,M,,M,,,,,<31,
2008/2/25,2008,2,25,,1,,-3.6,,-1.3,,19.3,,0,,,M,,M,,M,,,,,<31,
2008/2/26,2008,2,26,,0.9,,-5.5,,-2.3,,20.3,,0,,,M,,M,,M,,,36,E,44,E
2008/2/27,2008,2,27,,-5.5,,-13.6,,-9.6,,27.6,,0,,,M,,M,,M,,,,,<31,
2008/2/28,2008,2,28,,-6.9,,-14.2,,-10.6,,28.6,,0,,,M,,M,,M,,,,,<31,
2008/2/29,2008,2,29,,2.2,,-10.7,,-4.3,,22.3,,0,,,M,,M,,M,,,20,E,32,E
2008/3/1,2008,3,1,,1,,-5.2,,-2.1,,20.1,,0,,,M,,M,,M,,,29,E,43,E
2008/3/2,2008,3,2,,1.4,,-8.1,,-3.4,,21.4,,0,,,M,,M,,M,,,,,<31,
2008/3/3,2008,3,3,,12.7,,0.6,,6.7,,11.3,,0,,,M,,M,,M,,,22,E,33,E
2008/3/4,2008,3,4,,0.6,,-3,,-1.2,,19.2,,0,,,M,,M,,M,,,5,E,67,E
2008/3/5,2008,3,5,,0.9,,-5.5,,-2.3,,20.3,,0,,,M,,M,,M,,,,,<31,
2008/3/6,2008,3,6,,3.6,,-2,,0.8,,17.2,,0,,,M,,M,,M,,,23,E,32,E
2008/3/7,2008,3,7,,0,,-5,,-2.5,,20.5,,0,,,M,,M,,M,,,36,E,41,E
2008/3/8,2008,3,8,,-4.4,,-7.3,,-5.9,,23.9,,0,,,M,,M,,M,,,1,E,52,E
2008/3/9,2008,3,9,,-3.6,,-8.3,,-6,,24,,0,,,M,,M,,M,,,27,E,39,E
2008/3/10,2008,3,10,,0.8,,-7.8,,-3.5,,21.5,,0,,,M,,M,,M,,,,,<31,
2008/3/11,2008,3,11,,1.1,,-7.9,,-3.4,,21.4,,0,,,M,,M,,M,,,23,E,41,E
2008/3/12,2008,3,12,,1.7,,-4.8,,-1.6,,19.6,,0,,,M,,M,,M,,,,,<31,
2008/3/13,2008,3,13,,3.3,,-5,,-0.9,,18.9,,0,,,M,,M,,M,,,,,<31,
2008/3/14,2008,3,14,,7.3,,0.1,,3.7,,14.3,,0,,,M,,M,,M,,,,,<31,
2008/3/15,2008,3,15,,5.7,,0.1,,2.9,,15.1,,0,,,M,,M,,M,,,,,<31,
2008/3/16,2008,3,16,,1.5,,-3.4,,-1,,19,,0,,,M,,M,,M,,,,,<31,
2008/3/17,2008,3,17,,0.3,,-4.7,,-2.2,,20.2,,0,,,M,,M,,M,,,,,<31,
2008/3/18,2008,3,18,,3,,0.3,,1.7,,16.3,,0,,,M,,M,,M,,,,,<31,
