 SUMMARY12.MONTHLY.MASS.DAT
 DOI: 10.3334/CDIAC/ffe.MonthlyMass.2016
  All values should be zero or positive.
  Mass units are 10^6 metric tonnes C (Tg C).                                    
 year  mingrid  maxgrid  gridsum
 1950   0.0      2.7     142.17
 1951   0.0      2.9     157.94
 1952   0.0      2.7     157.48
 1953   0.0      2.9     161.65
 1954   0.0      2.8     165.70
 1955   0.0      3.1     182.25
 1956   0.0      3.2     195.15
 1957   0.0      3.1     200.18
 1958   0.0      3.1     207.23
 1959   0.0      3.2     213.31
 1960   0.0      3.2     231.40
 1961   0.0      3.3     231.21
 1962   0.0      3.4     237.60
 1963   0.0      3.5     248.56
 1964   0.0      3.7     262.48
 1965   0.0      3.8     267.85
 1966   0.0      4.1     284.08
 1967   0.0      4.1     292.35
 1968   0.0      4.3     308.85
 1969   0.0      4.4     328.33
 1970   0.0      4.8     358.80
 1971   0.0      5.0     374.60
 1972   0.0      5.3     392.47
 1973   0.0      5.6     416.17
 1974   0.0      5.0     405.51
 1975   0.0      5.1     411.32
 1976   0.0      5.1     436.56
 1977   0.0      5.2     443.17
 1978   0.0      5.5     465.51
 1979   0.0      5.5     477.15
 1980   0.0      5.5     481.26
 1981   0.0      5.0     462.07
 1982   0.0      5.0     459.49
 1983   0.0      5.1     473.16
 1984   0.0      4.8     467.29
 1985   0.0      5.2     497.51
 1986   0.0      5.0     504.56
 1987   0.0      5.3     523.79
 1988   0.0      5.5     545.78
 1989   0.0      5.9     562.65
 1990   0.0      6.4     537.41
 1991   0.0      6.5     544.91
 1992   0.0      6.6     545.57
 1993   0.0      6.8     552.51
 1994   0.0      7.1     553.93
 1995   0.0      7.1     571.89
 1996   0.0      7.2     573.88
 1997   0.0      7.2     583.02
 1998   0.0      7.2     570.69
 1999   0.0      7.7     580.30
 2000   0.0      7.4     601.56
 2001   0.0      7.0     590.84
 2002   0.0      7.6     610.17
 2003   0.0      7.3     650.35
 2004   0.0      7.5     677.98
 2005   0.0      7.5     699.49
 2006   0.0      7.4     720.18
 2007   0.0      7.4     735.47
 2008   0.0      7.2     756.56
 2009   0.0      6.9     755.52
 2010   0.0      7.3     805.26
 2011   0.0      7.9     832.89
 2012   0.0      7.9     851.66
 2013   0.0      8.4     852.88
