 SUMMARY05.MONTHLY.MASS.DAT
 DOI: 10.3334/CDIAC/ffe.MonthlyMass.2016
  All values should be zero or positive.
  Mass units are 10^6 metric tonnes C (Tg C).                                    
 year  mingrid  maxgrid  gridsum
 1950   0.0      2.4     124.80
 1951   0.0      2.4     132.22
 1952   0.0      2.4     137.26
 1953   0.0      2.5     137.98
 1954   0.0      2.4     143.21
 1955   0.0      2.6     157.53
 1956   0.0      2.7     165.54
 1957   0.0      2.7     174.55
 1958   0.0      2.6     179.10
 1959   0.0      2.7     187.96
 1960   0.0      2.7     196.00
 1961   0.0      2.7     196.94
 1962   0.0      2.8     202.85
 1963   0.0      2.9     213.16
 1964   0.0      3.0     221.98
 1965   0.0      3.2     237.48
 1966   0.0      3.3     247.88
 1967   0.0      3.4     255.42
 1968   0.0      3.6     268.86
 1969   0.0      3.8     288.06
 1970   0.0      4.1     311.60
 1971   0.0      4.1     323.92
 1972   0.0      4.4     345.84
 1973   0.0      4.5     359.23
 1974   0.0      4.4     357.47
 1975   0.0      4.3     362.03
 1976   0.0      4.4     375.34
 1977   0.0      4.6     392.07
 1978   0.0      4.6     400.73
 1979   0.0      4.5     412.94
 1980   0.0      4.4     407.40
 1981   0.0      4.3     399.46
 1982   0.0      4.0     395.15
 1983   0.0      4.0     399.90
 1984   0.0      4.2     416.92
 1985   0.0      4.2     429.12
 1986   0.0      4.3     435.89
 1987   0.0      4.4     449.56
 1988   0.0      4.5     465.40
 1989   0.0      4.7     473.76
 1990   0.0      5.2     467.26
 1991   0.0      9.7     489.85
 1992   0.0      5.2     467.29
 1993   0.0      5.3     468.77
 1994   0.0      5.6     471.85
 1995   0.0      5.7     487.39
 1996   0.0      5.8     503.01
 1997   0.0      6.0     501.56
 1998   0.0      5.6     495.10
 1999   0.0      5.8     504.43
 2000   0.0      5.9     517.32
 2001   0.0      6.2     527.55
 2002   0.0      5.9     532.28
 2003   0.0      6.4     553.30
 2004   0.0      6.5     590.20
 2005   0.0      6.2     605.48
 2006   0.0      6.1     623.13
 2007   0.0      6.7     646.82
 2008   0.0      6.4     660.43
 2009   0.0      5.6     653.35
 2010   0.0      6.0     693.48
 2011   0.0      6.3     730.05
 2012   0.0      6.5     739.09
 2013   0.0      6.9     737.44
