 SUMMARY08.MONTHLY.MASS.DAT
 DOI: 10.3334/CDIAC/ffe.MonthlyMass.2016
  All values should be zero or positive.
  Mass units are 10^6 metric tonnes C (Tg C).                                    
 year  mingrid  maxgrid  gridsum
 1950   0.0      2.7     128.72
 1951   0.0      2.7     136.51
 1952   0.0      2.7     142.05
 1953   0.0      2.6     142.01
 1954   0.0      2.5     145.51
 1955   0.0      2.8     162.71
 1956   0.0      2.9     168.07
 1957   0.0      3.0     179.22
 1958   0.0      2.7     181.73
 1959   0.0      2.8     192.47
 1960   0.0      3.0     202.01
 1961   0.0      2.9     202.00
 1962   0.0      3.0     209.73
 1963   0.0      3.1     218.44
 1964   0.0      3.3     230.17
 1965   0.0      3.5     244.82
 1966   0.0      3.7     257.02
 1967   0.0      3.7     263.08
 1968   0.0      3.9     274.58
 1969   0.0      4.0     295.45
 1970   0.0      4.4     321.72
 1971   0.0      4.3     331.43
 1972   0.0      4.7     350.89
 1973   0.0      4.7     364.16
 1974   0.0      4.8     370.07
 1975   0.0      4.6     371.07
 1976   0.0      4.8     387.23
 1977   0.0      4.8     395.74
 1978   0.0      4.8     408.99
 1979   0.0      4.9     422.56
 1980   0.0      4.8     418.24
 1981   0.0      4.7     409.78
 1982   0.0      4.3     404.81
 1983   0.0      4.7     420.54
 1984   0.0      4.6     429.14
 1985   0.0      4.5     436.85
 1986   0.0      4.5     444.92
 1987   0.0      4.8     464.03
 1988   0.0      5.1     487.92
 1989   0.0      5.0     489.72
 1990   0.0      5.9     486.90
 1991   0.0      5.6     488.54
 1992   0.0      5.6     474.12
 1993   0.0      5.6     483.00
 1994   0.0      6.3     491.05
 1995   0.0      6.3     500.98
 1996   0.0      6.1     507.33
 1997   0.0      6.3     512.24
 1998   0.0      6.3     507.07
 1999   0.0      6.7     516.95
 2000   0.0      7.0     538.06
 2001   0.0      6.5     539.97
 2002   0.0      6.7     546.74
 2003   0.0      6.4     576.90
 2004   0.0      6.7     599.30
 2005   0.0      6.4     623.83
 2006   0.0      6.4     650.72
 2007   0.0      6.9     669.29
 2008   0.0      6.4     678.66
 2009   0.0      6.1     666.70
 2010   0.0      6.6     720.26
 2011   0.0      6.7     739.55
 2012   0.0      7.1     755.07
 2013   0.0      7.1     756.35
