 SUMMARY02.MONTHLY.MASS.DAT
 DOI: 10.3334/CDIAC/ffe.MonthlyMass.2016
  All values should be zero or positive.
  Mass units are 10^6 metric tonnes C (Tg C).                                    
 year  mingrid  maxgrid  gridsum
 1950   0.0      2.6     132.88
 1951   0.0      2.8     146.57
 1952   0.0      2.7     142.63
 1953   0.0      2.7     151.30
 1954   0.0      2.5     148.24
 1955   0.0      2.7     160.66
 1956   0.0      3.0     177.97
 1957   0.0      2.8     175.74
 1958   0.0      3.0     185.78
 1959   0.0      3.1     196.48
 1960   0.0      2.9     202.58
 1961   0.0      2.9     203.64
 1962   0.0      3.1     212.89
 1963   0.0      3.3     227.21
 1964   0.0      3.5     237.64
 1965   0.0      3.4     247.75
 1966   0.0      3.7     259.84
 1967   0.0      3.9     266.49
 1968   0.0      4.0     283.37
 1969   0.0      4.3     301.46
 1970   0.0      4.4     322.49
 1971   0.0      4.8     346.98
 1972   0.0      4.7     353.47
 1973   0.0      5.1     374.66
 1974   0.0      4.7     373.11
 1975   0.0      4.5     369.56
 1976   0.0      4.8     389.17
 1977   0.0      4.9     402.70
 1978   0.0      5.2     424.90
 1979   0.0      5.0     426.91
 1980   0.0      4.9     426.03
 1981   0.0      4.5     414.78
 1982   0.0      4.6     415.61
 1983   0.0      4.3     410.72
 1984   0.0      4.6     433.70
 1985   0.0      4.9     451.74
 1986   0.0      4.7     454.53
 1987   0.0      4.7     461.85
 1988   0.0      5.3     485.90
 1989   0.0      5.2     490.26
 1990   0.0      5.9     471.87
 1991   0.0      7.3     496.48
 1992   0.0      6.2     487.49
 1993   0.0      5.9     496.42
 1994   0.0      6.2     496.91
 1995   0.0      6.5     494.09
 1996   0.0      6.7     526.84
 1997   0.0      6.5     506.38
 1998   0.0      6.6     508.62
 1999   0.0      6.4     515.91
 2000   0.0      6.9     540.22
 2001   0.0      6.7     540.42
 2002   0.0      6.7     535.74
 2003   0.0      7.1     578.54
 2004   0.0      7.2     615.42
 2005   0.0      6.9     612.60
 2006   0.0      7.0     635.27
 2007   0.0      7.0     653.34
 2008   0.0      7.1     666.60
 2009   0.0      6.1     653.30
 2010   0.0      6.6     699.62
 2011   0.0      6.6     728.27
 2012   0.0      7.1     755.86
 2013   0.0      6.7     752.77
