 SUMMARY03.MONTHLY.MASS.DAT
 DOI: 10.3334/CDIAC/ffe.MonthlyMass.2016
  All values should be zero or positive.
  Mass units are 10^6 metric tonnes C (Tg C).                                    
 year  mingrid  maxgrid  gridsum
 1950   0.0      2.6     138.44
 1951   0.0      2.7     148.10
 1952   0.0      2.6     148.79
 1953   0.0      2.7     157.98
 1954   0.0      2.6     156.00
 1955   0.0      2.8     170.40
 1956   0.0      3.0     183.26
 1957   0.0      2.9     186.19
 1958   0.0      3.0     196.84
 1959   0.0      3.0     205.42
 1960   0.0      3.0     217.85
 1961   0.0      3.0     217.59
 1962   0.0      3.3     229.67
 1963   0.0      3.4     238.10
 1964   0.0      3.4     244.46
 1965   0.0      3.6     262.97
 1966   0.0      3.8     274.77
 1967   0.0      3.9     281.93
 1968   0.0      4.1     297.67
 1969   0.0      4.3     317.95
 1970   0.0      4.6     339.62
 1971   0.0      4.7     361.83
 1972   0.0      4.7     367.14
 1973   0.0      5.2     397.27
 1974   0.0      4.8     396.31
 1975   0.0      4.5     388.94
 1976   0.0      4.8     413.25
 1977   0.0      5.1     428.54
 1978   0.0      5.3     448.15
 1979   0.0      5.2     458.18
 1980   0.0      5.0     452.31
 1981   0.0      4.8     439.12
 1982   0.0      4.6     443.80
 1983   0.0      4.5     443.43
 1984   0.0      4.8     462.35
 1985   0.0      4.7     475.88
 1986   0.0      4.8     480.03
 1987   0.0      4.9     497.19
 1988   0.0      5.2     517.17
 1989   0.0      5.3     529.92
 1990   0.0      6.3     514.84
 1991   0.0     11.0     533.53
 1992   0.0      6.4     516.75
 1993   0.0      6.6     533.85
 1994   0.0      6.7     524.29
 1995   0.0      6.8     536.46
 1996   0.0      7.0     553.29
 1997   0.0      6.8     540.49
 1998   0.0      6.8     545.10
 1999   0.0      7.0     556.97
 2000   0.0      7.1     565.38
 2001   0.0      6.9     577.92
 2002   0.0      6.8     574.37
 2003   0.0      7.6     610.00
 2004   0.0      7.5     644.13
 2005   0.0      7.8     666.55
 2006   0.0      7.4     683.09
 2007   0.0      7.4     695.73
 2008   0.0      6.8     712.57
 2009   0.0      6.4     703.67
 2010   0.0      6.8     748.60
 2011   0.0      7.6     783.81
 2012   0.0      7.4     799.06
 2013   0.0      7.7     806.63
