 SUMMARY04.MONTHLY.MASS.DAT
 DOI: 10.3334/CDIAC/ffe.MonthlyMass.2016
  All values should be zero or positive.
  Mass units are 10^6 metric tonnes C (Tg C).                                    
 year  mingrid  maxgrid  gridsum
 1950   0.0      2.4     125.46
 1951   0.0      2.5     134.41
 1952   0.0      2.4     137.65
 1953   0.0      2.5     142.64
 1954   0.0      2.4     147.47
 1955   0.0      2.6     159.16
 1956   0.0      2.7     165.05
 1957   0.0      2.7     171.30
 1958   0.0      2.6     180.37
 1959   0.0      2.7     190.34
 1960   0.0      2.7     200.30
 1961   0.0      2.7     199.30
 1962   0.0      2.9     207.29
 1963   0.0      3.0     218.59
 1964   0.0      3.1     229.35
 1965   0.0      3.2     239.88
 1966   0.0      3.4     251.63
 1967   0.0      3.5     260.72
 1968   0.0      3.6     272.69
 1969   0.0      3.9     292.63
 1970   0.0      4.1     317.30
 1971   0.0      4.1     329.94
 1972   0.0      4.3     345.86
 1973   0.0      4.6     362.27
 1974   0.0      4.4     359.52
 1975   0.0      4.2     360.22
 1976   0.0      4.4     380.33
 1977   0.0      4.6     396.09
 1978   0.0      4.7     409.16
 1979   0.0      4.7     420.43
 1980   0.0      4.5     418.68
 1981   0.0      4.3     406.81
 1982   0.0      4.1     408.68
 1983   0.0      4.1     406.70
 1984   0.0      4.3     420.56
 1985   0.0      4.3     436.78
 1986   0.0      4.2     444.12
 1987   0.0      4.5     455.12
 1988   0.0      4.6     471.80
 1989   0.0      4.7     479.99
 1990   0.0      5.1     474.33
 1991   0.0     10.3     492.41
 1992   0.0      5.5     478.90
 1993   0.0      5.6     483.10
 1994   0.0      5.6     478.31
 1995   0.0      5.8     487.01
 1996   0.0      6.0     504.72
 1997   0.0      5.9     505.01
 1998   0.0      5.9     500.28
 1999   0.0      6.0     507.07
 2000   0.0      6.1     514.39
 2001   0.0      5.8     526.69
 2002   0.0      6.1     531.23
 2003   0.0      6.6     560.19
 2004   0.0      6.7     594.20
 2005   0.0      6.3     609.36
 2006   0.0      6.4     624.16
 2007   0.0      6.5     644.36
 2008   0.0      6.9     666.31
 2009   0.0      5.5     652.32
 2010   0.0      6.0     697.46
 2011   0.0      6.6     729.24
 2012   0.0      6.5     737.42
 2013   0.0      6.8     744.24
