 SUMMARY09.MONTHLY.MASS.DAT
 DOI: 10.3334/CDIAC/ffe.MonthlyMass.2016
  All values should be zero or positive.
  Mass units are 10^6 metric tonnes C (Tg C).                                    
 year  mingrid  maxgrid  gridsum
 1950   0.0      2.4     126.22
 1951   0.0      2.5     135.30
 1952   0.0      2.4     139.16
 1953   0.0      2.5     138.74
 1954   0.0      2.4     145.80
 1955   0.0      2.6     158.75
 1956   0.0      2.6     166.50
 1957   0.0      2.8     174.65
 1958   0.0      2.5     178.34
 1959   0.0      2.6     187.44
 1960   0.0      2.8     198.37
 1961   0.0      2.8     198.98
 1962   0.0      2.8     203.82
 1963   0.0      2.9     217.51
 1964   0.0      3.1     231.00
 1965   0.0      3.3     239.54
 1966   0.0      3.3     249.25
 1967   0.0      3.5     258.89
 1968   0.0      3.7     273.27
 1969   0.0      3.7     290.35
 1970   0.0      4.1     314.90
 1971   0.0      4.0     322.01
 1972   0.0      4.3     341.31
 1973   0.0      4.4     355.44
 1974   0.0      4.3     355.27
 1975   0.0      4.2     359.42
 1976   0.0      4.3     376.69
 1977   0.0      4.3     384.28
 1978   0.0      4.5     400.42
 1979   0.0      4.7     415.15
 1980   0.0      4.5     412.62
 1981   0.0      4.3     401.91
 1982   0.0      4.0     397.37
 1983   0.0      4.2     409.45
 1984   0.0      4.1     413.84
 1985   0.0      4.2     429.40
 1986   0.0      4.2     436.40
 1987   0.0      4.4     453.53
 1988   0.0      4.5     467.58
 1989   0.0      4.7     476.97
 1990   0.0      5.5     468.69
 1991   0.0      5.1     472.19
 1992   0.0      5.6     472.00
 1993   0.0      5.3     471.10
 1994   0.0      5.7     480.07
 1995   0.0      5.9     485.23
 1996   0.0      6.0     495.40
 1997   0.0      6.2     504.07
 1998   0.0      6.1     497.55
 1999   0.0      6.3     504.91
 2000   0.0      6.6     523.48
 2001   0.0      6.1     521.08
 2002   0.0      6.5     534.29
 2003   0.0      6.2     562.03
 2004   0.0      6.4     591.20
 2005   0.0      6.4     606.47
 2006   0.0      5.9     630.92
 2007   0.0      6.8     646.83
 2008   0.0      6.2     658.56
 2009   0.0      5.7     645.57
 2010   0.0      6.3     701.59
 2011   0.0      6.6     724.35
 2012   0.0      6.8     737.95
 2013   0.0      7.1     740.94
