 SUMMARY06.MONTHLY.MASS.DAT
 DOI: 10.3334/CDIAC/ffe.MonthlyMass.2016
  All values should be zero or positive.
  Mass units are 10^6 metric tonnes C (Tg C).                                    
 year  mingrid  maxgrid  gridsum
 1950   0.0      2.6     128.23
 1951   0.0      2.4     130.27
 1952   0.0      2.5     136.73
 1953   0.0      2.5     139.00
 1954   0.0      2.4     143.64
 1955   0.0      2.6     157.54
 1956   0.0      2.6     161.20
 1957   0.0      2.8     173.33
 1958   0.0      2.5     174.35
 1959   0.0      2.6     183.85
 1960   0.0      2.8     197.63
 1961   0.0      2.7     196.49
 1962   0.0      2.8     204.23
 1963   0.0      3.0     214.20
 1964   0.0      3.1     226.08
 1965   0.0      3.3     238.24
 1966   0.0      3.4     249.40
 1967   0.0      3.5     256.12
 1968   0.0      3.6     271.01
 1969   0.0      3.8     289.99
 1970   0.0      4.2     314.50
 1971   0.0      4.1     323.12
 1972   0.0      4.4     343.79
 1973   0.0      4.5     353.42
 1974   0.0      4.4     357.36
 1975   0.0      4.3     359.82
 1976   0.0      4.3     377.20
 1977   0.0      4.5     387.09
 1978   0.0      4.4     398.62
 1979   0.0      4.7     413.63
 1980   0.0      4.5     411.77
 1981   0.0      4.4     403.86
 1982   0.0      4.0     399.68
 1983   0.0      4.1     403.60
 1984   0.0      4.3     417.22
 1985   0.0      4.1     426.52
 1986   0.0      4.3     435.70
 1987   0.0      4.6     456.87
 1988   0.0      4.7     471.89
 1989   0.0      4.7     478.02
 1990   0.0      5.1     470.46
 1991   0.0      7.9     481.53
 1992   0.0      5.5     465.60
 1993   0.0      5.4     475.41
 1994   0.0      5.6     478.41
 1995   0.0      5.7     486.84
 1996   0.0      5.7     492.96
 1997   0.0      5.8     495.00
 1998   0.0      5.8     498.24
 1999   0.0      6.2     505.04
 2000   0.0      6.2     517.98
 2001   0.0      5.9     523.44
 2002   0.0      6.0     527.75
 2003   0.0      6.4     555.69
 2004   0.0      6.4     586.85
 2005   0.0      6.3     609.92
 2006   0.0      6.2     630.56
 2007   0.0      6.5     645.03
 2008   0.0      6.4     657.82
 2009   0.0      5.7     649.02
 2010   0.0      6.1     695.95
 2011   0.0      6.3     722.62
 2012   0.0      6.5     732.63
 2013   0.0      6.8     733.97
