 SUMMARY07.MONTHLY.MASS.DAT
 DOI: 10.3334/CDIAC/ffe.MonthlyMass.2016
  All values should be zero or positive.
  Mass units are 10^6 metric tonnes C (Tg C).                                    
 year  mingrid  maxgrid  gridsum
 1950   0.0      2.7     129.78
 1951   0.0      2.7     136.62
 1952   0.0      2.7     140.19
 1953   0.0      2.7     144.47
 1954   0.0      2.5     148.35
 1955   0.0      2.8     162.06
 1956   0.0      2.9     169.87
 1957   0.0      2.9     179.41
 1958   0.0      2.7     179.93
 1959   0.0      2.8     190.76
 1960   0.0      3.0     202.21
 1961   0.0      2.9     202.24
 1962   0.0      2.9     206.14
 1963   0.0      3.1     217.70
 1964   0.0      3.3     232.81
 1965   0.0      3.5     243.21
 1966   0.0      3.6     256.09
 1967   0.0      3.7     260.66
 1968   0.0      3.8     273.67
 1969   0.0      4.0     293.80
 1970   0.0      4.4     320.57
 1971   0.0      4.2     328.55
 1972   0.0      4.5     347.62
 1973   0.0      4.7     365.47
 1974   0.0      4.6     365.79
 1975   0.0      4.4     366.28
 1976   0.0      4.6     385.33
 1977   0.0      4.6     390.62
 1978   0.0      4.8     406.25
 1979   0.0      4.9     420.66
 1980   0.0      4.7     416.01
 1981   0.0      4.7     411.41
 1982   0.0      4.3     405.51
 1983   0.0      4.4     408.92
 1984   0.0      4.4     420.21
 1985   0.0      4.5     436.34
 1986   0.0      4.6     447.63
 1987   0.0      4.9     463.51
 1988   0.0      4.9     474.94
 1989   0.0      4.9     479.12
 1990   0.0      5.5     472.64
 1991   0.0      6.7     487.00
 1992   0.0      5.7     479.15
 1993   0.0      5.6     482.99
 1994   0.0      6.0     481.99
 1995   0.0      6.0     491.93
 1996   0.0      6.5     508.79
 1997   0.0      6.3     514.30
 1998   0.0      6.4     508.95
 1999   0.0      6.3     517.16
 2000   0.0      6.5     522.82
 2001   0.0      6.6     535.42
 2002   0.0      6.6     546.82
 2003   0.0      6.4     571.12
 2004   0.0      7.1     600.34
 2005   0.0      6.5     617.43
 2006   0.0      6.5     645.48
 2007   0.0      6.9     656.21
 2008   0.0      6.3     674.98
 2009   0.0      6.0     663.80
 2010   0.0      6.3     710.41
 2011   0.0      6.7     736.73
 2012   0.0      6.9     752.14
 2013   0.0      6.9     750.64
