 SUMMARY01.MONTHLY.MASS.DAT
 DOI: 10.3334/CDIAC/ffe.MonthlyMass.2016
  All values should be zero or positive.
  Mass units are 10^6 metric tonnes C (Tg C).                                    
 year  mingrid  maxgrid  gridsum
 1950   0.0      2.9     142.54
 1951   0.0      3.1     159.34
 1952   0.0      2.8     151.59
 1953   0.0      3.0     161.50
 1954   0.0      2.8     162.74
 1955   0.0      3.0     174.89
 1956   0.0      3.4     198.91
 1957   0.0      3.1     192.32
 1958   0.0      3.3     203.99
 1959   0.0      3.4     215.41
 1960   0.0      3.2     219.07
 1961   0.0      3.2     219.82
 1962   0.0      3.5     230.74
 1963   0.0      3.7     249.93
 1964   0.0      3.8     262.16
 1965   0.0      3.8     267.96
 1966   0.0      3.9     275.70
 1967   0.0      4.3     288.32
 1968   0.0      4.5     306.65
 1969   0.0      4.7     324.51
 1970   0.0      4.8     346.60
 1971   0.0      5.1     367.47
 1972   0.0      5.0     374.90
 1973   0.0      5.3     399.23
 1974   0.0      5.3     401.90
 1975   0.0      4.8     395.40
 1976   0.0      5.2     422.69
 1977   0.0      5.7     439.13
 1978   0.0      5.9     455.02
 1979   0.0      5.5     458.82
 1980   0.0      5.3     460.86
 1981   0.0      5.1     448.39
 1982   0.0      4.9     448.85
 1983   0.0      4.8     446.62
 1984   0.0      5.4     467.60
 1985   0.0      5.2     487.53
 1986   0.0      5.3     488.31
 1987   0.0      5.3     502.24
 1988   0.0      5.6     517.27
 1989   0.0      5.4     519.58
 1990   0.0      6.2     519.04
 1991   0.0      6.1     528.98
 1992   0.0      6.4     525.21
 1993   0.0      6.3     521.85
 1994   0.0      6.3     528.30
 1995   0.0      6.6     535.40
 1996   0.0      6.9     555.03
 1997   0.0      6.7     555.96
 1998   0.0      7.1     544.15
 1999   0.0      7.0     553.71
 2000   0.0      6.6     569.39
 2001   0.0      7.2     582.52
 2002   0.0      7.0     588.37
 2003   0.0      7.4     622.03
 2004   0.0      7.8     648.83
 2005   0.0      7.1     674.31
 2006   0.0      7.3     677.50
 2007   0.0      7.4     699.76
 2008   0.0      7.2     717.65
 2009   0.0      6.4     723.91
 2010   0.0      6.7     750.66
 2011   0.0      7.0     773.67
 2012   0.0      7.3     792.93
 2013   0.0      7.5     791.45
