 SUMMARY10.MONTHLY.MASS.DAT
 DOI: 10.3334/CDIAC/ffe.MonthlyMass.2016
  All values should be zero or positive.
  Mass units are 10^6 metric tonnes C (Tg C).                                    
 year  mingrid  maxgrid  gridsum
 1950   0.0      2.5     130.00
 1951   0.0      2.5     141.32
 1952   0.0      2.5     145.01
 1953   0.0      2.6     146.30
 1954   0.0      2.5     149.66
 1955   0.0      2.7     165.25
 1956   0.0      2.8     176.74
 1957   0.0      2.8     183.72
 1958   0.0      2.6     186.02
 1959   0.0      2.7     197.81
 1960   0.0      2.9     207.83
 1961   0.0      2.9     208.14
 1962   0.0      2.8     211.85
 1963   0.0      3.1     228.71
 1964   0.0      3.1     240.30
 1965   0.0      3.3     249.83
 1966   0.0      3.5     256.91
 1967   0.0      3.6     269.48
 1968   0.0      3.7     283.61
 1969   0.0      3.9     302.01
 1970   0.0      4.3     329.86
 1971   0.0      4.2     337.16
 1972   0.0      4.4     355.40
 1973   0.0      4.6     375.83
 1974   0.0      4.5     372.90
 1975   0.0      4.3     377.21
 1976   0.0      4.5     399.01
 1977   0.0      4.6     408.21
 1978   0.0      4.7     420.83
 1979   0.0      4.8     434.19
 1980   0.0      4.6     436.42
 1981   0.0      4.5     425.17
 1982   0.0      4.2     418.92
 1983   0.0      4.2     423.10
 1984   0.0      4.3     437.15
 1985   0.0      4.4     451.51
 1986   0.0      4.3     458.42
 1987   0.0      4.7     476.36
 1988   0.0      4.7     492.92
 1989   0.0      4.8     503.28
 1990   0.0      5.4     492.84
 1991   0.0      5.5     503.29
 1992   0.0      5.6     498.30
 1993   0.0      5.5     493.82
 1994   0.0      6.2     501.90
 1995   0.0      5.9     506.73
 1996   0.0      6.2     522.90
 1997   0.0      6.3     534.97
 1998   0.0      6.1     518.06
 1999   0.0      6.3     522.71
 2000   0.0      6.5     542.69
 2001   0.0      6.3     544.09
 2002   0.0      6.6     564.21
 2003   0.0      6.8     596.93
 2004   0.0      6.5     617.84
 2005   0.0      6.3     626.71
 2006   0.0      6.3     661.30
 2007   0.0      6.9     680.61
 2008   0.0      6.8     693.66
 2009   0.0      6.2     687.68
 2010   0.0      6.8     728.42
 2011   0.0      6.6     763.49
 2012   0.0      7.3     770.73
 2013   0.0      7.1     776.34
