Station Name,CARMACKS CS,,,,,,,,,,,,,,,,,,,,,,,,,
Province,YUKON TERRITORY,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,62.12,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-136.19,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation,542.9,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Identifier,2100301,,,,,,,,,,,,,,,,,,,,,,,,,
WMO Identifier,71039,,,,,,,,,,,,,,,,,,,,,,,,,
TC Identifier,XCK,,,,,,,Mean Max Temp (°C),Mean Min Temp (°C),Mean Temp (°C),Extr Max Temp (°C),Extr Min Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),,,,,,,,,,,,
,,,,,,,,-18.03225806,-25.23548387,-21.65806452,-6.2,-38.5,1229.4,0,,,,,,,,,,,,
Legend,,,,,,,,-4.725,-18.775,-11.77142857,6.1,-27.2,833.6,0,,,,,,,,,,,,
A,Accumulated,,,,,,,2.041935484,-12.59354839,-5.293548387,8.7,-30.3,722.1,0,,,,,,,,,,,,
C,"Precipitation occurred, amount uncertain",,,,,,,10.3,-6.083333333,2.12,17.7,-15,476.4,0,,,,,,,,,,,,
E,Estimated,,,,,,,18.1,-1.367741935,8.387096774,27.4,-6.6,298,0,,,,,,,,,,,,
F,Accumulated and estimated,,,,,,,20.70333333,5.356666667,13.05666667,24.6,-1.9,148.3,0,,,,,,,,,,,,
L,Precipitation may or may not have occurred,,,,,,,22.10322581,7.361290323,14.7483871,28.4,3.7,101,0.2,,,,,,,,,,,,
M,Missing,,,,,,,21.69354839,6.096774194,13.92258065,31.7,-2.1,131.8,5.4,,,,,,,,,,,,
N,Temperature missing but known to be > 0,,,,,,,13.34666667,-1.293333333,6.04,20.5,-9.1,358.8,0,,,,,,,,,,,,
S,More than one occurrence,,,,,,,4.319354839,-5.880645161,-0.783870968,14.8,-15.6,582.3,0,,,,,,,,,,,,
T,Trace,,,,,,,-5.413333333,-13.49666667,-9.476666667,7,-27.3,824.3,0,,,,,,,,,,,,
Y,Temperature missing but known to be < 0,,,,,,,-20.98064516,-29.52258065,-25.28064516,-8.4,-40.5,1341.7,0,,,,,,,,,,,,
[empty],No data available,,,,,,,,,,,,,,,,,,,,,,,,,
^,The value displayed is based on incomplete data,,,,,,,,,,,,,,,,,,,,,,,,,
†,Data that is not subject to review by the National Climate Archives,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2010/1/1,2010,1,1,,-25.3,,-32.3,,-28.8,,46.8,,0,,,M,,M,,M,,,,,<31,
2010/1/2,2010,1,2,,-29.1,,-37,,-33.1,,51.1,,0,,,M,,M,,M,,,,,<31,
2010/1/3,2010,1,3,,-29,,-38.5,,-33.8,,51.8,,0,,,M,,M,,M,,,,,<31,
2010/1/4,2010,1,4,,-30.6,,-38.4,,-34.5,,52.5,,0,,,M,,M,,M,,,,,<31,
2010/1/5,2010,1,5,,-28,,-35.2,,-31.6,,49.6,,0,,,M,,M,,M,,,,,<31,
2010/1/6,2010,1,6,,-22.3,,-28.1,,-25.2,,43.2,,0,,,M,,M,,M,,,,,<31,
2010/1/7,2010,1,7,,-16.8,,-28.4,,-22.6,,40.6,,0,,,M,,M,,M,,,,,<31,
2010/1/8,2010,1,8,,-11.2,,-16.8,,-14,,32,,0,,,M,,M,,M,,,,,<31,
2010/1/9,2010,1,9,,-8.8,,-14,,-11.4,,29.4,,0,,,M,,M,,M,,,,,<31,
2010/1/10,2010,1,10,,-13.2,,-24.7,,-19,,37,,0,,,M,,M,,M,,,32,,39,
2010/1/11,2010,1,11,,-24.7,,-26.2,,-25.5,,43.5,,0,,,M,,M,,M,,,32,,33,
2010/1/12,2010,1,12,,-24.8,E,-26,E,-25.4,E,43.4,E,0,E,,M,,M,,M,,,,,<31,
2010/1/13,2010,1,13,,-24,,-27,,-25.5,,43.5,,0,,,M,,M,,M,,,,,<31,
2010/1/14,2010,1,14,,-21.5,,-26,,-23.8,,41.8,,0,,,M,,M,,M,,,,,<31,
2010/1/15,2010,1,15,,-18.2,,-22.1,,-20.2,,38.2,,0,,,M,,M,,M,,,,,<31,
2010/1/16,2010,1,16,,-18.8,,-27.4,,-23.1,,41.1,,0,,,M,,M,,M,,,,,<31,
2010/1/17,2010,1,17,,-16.3,,-22.1,,-19.2,,37.2,,0,,,M,,M,,M,,,,,<31,
2010/1/18,2010,1,18,,-16.9,,-21.1,,-19,,37,,0,,,M,,M,,M,,,,,<31,
2010/1/19,2010,1,19,,-15.5,,-23.8,,-19.7,,37.7,,0,,,M,,M,,M,,,,,<31,
2010/1/20,2010,1,20,,-13.7,,-20.8,,-17.3,,35.3,,0,,,M,,M,,M,,,,,<31,
2010/1/21,2010,1,21,,-9.8,,-20.4,,-15.1,,33.1,,0,,,M,,M,,M,,,,,<31,
2010/1/22,2010,1,22,,-6.2,,-9.8,,-8,,26,,0,,,M,,M,,M,,,,,<31,
2010/1/23,2010,1,23,,-7.2,,-8.3,,-7.8,,25.8,,0,,,M,,M,,M,,,34,,32,
2010/1/24,2010,1,24,,-7.7,,-21.4,,-14.6,,32.6,,0,,,M,,M,,M,,,,,<31,
2010/1/25,2010,1,25,,-20.4,,-30.5,,-25.5,,43.5,,0,,,M,,M,,M,,,,,<31,
2010/1/26,2010,1,26,,-22.5,,-33.1,,-27.8,,45.8,,0,,,M,,M,,M,,,,,<31,
2010/1/27,2010,1,27,,-21.5,,-31.4,,-26.5,,44.5,,0,,,M,,M,,M,,,,,<31,
2010/1/28,2010,1,28,,-13.9,,-24.4,,-19.2,,37.2,,0,,,M,,M,,M,,,,,<31,
2010/1/29,2010,1,29,,-18.3,,-28.4,,-23.4,,41.4,,0,,,M,,M,,M,,,,,<31,
2010/1/30,2010,1,30,,-13.4,,-23.5,,-18.5,,36.5,,0,,,M,,M,,M,,,,,<31,
2010/1/31,2010,1,31,,-9.4,,-15.2,,-12.3,,30.3,,0,,,M,,M,,M,,,,,<31,
2010/2/1,2010,2,1,,-8.6,,-14.8,,-11.7,,29.7,,0,,,M,,M,,M,,,,,<31,
2010/2/2,2010,2,2,,-8.6,,-13.4,,-11,,29,,0,,,M,,M,,M,,,,,<31,
2010/2/3,2010,2,3,,-13.1,,-16.3,,-14.7,,32.7,,0,,,M,,M,,M,,,,,<31,
2010/2/4,2010,2,4,,-16.2,,-19.5,,-17.9,,35.9,,0,,,M,,M,,M,,,,,<31,
2010/2/5,2010,2,5,,-16.1,,-19.9,,-18,,36,,0,,,M,,M,,M,,,,,<31,
2010/2/6,2010,2,6,,0.1,,-23.9,,-11.9,,29.9,,0,,,M,,M,,M,,,,,<31,
2010/2/7,2010,2,7,,4.6,,-9,,-2.2,,20.2,,0,,,M,,M,,M,,,10,E,32,E
2010/2/8,2010,2,8,,3,,-13.8,,-5.4,,23.4,,0,,,M,,M,,M,,,12,,37,
2010/2/9,2010,2,9,,-8,,-24,,-16,,34,,0,,,M,,M,,M,,,,,<31,
2010/2/10,2010,2,10,,-6.5,,-21.6,,-14.1,,32.1,,0,,,M,,M,,M,,,,,<31,
2010/2/11,2010,2,11,,-11.6,,-27.1,,-19.4,,37.4,,0,,,M,,M,,M,,,,,<31,
2010/2/12,2010,2,12,,-5.5,,-23.5,,-14.5,,32.5,,0,,,M,,M,,M,,,,,<31,
2010/2/13,2010,2,13,,-8.8,,-24.6,,-16.7,,34.7,,0,,,M,,M,,M,,,,,<31,
2010/2/14,2010,2,14,,-2.5,,-17.4,,-10,,28,,0,,,M,,M,,M,,,,,<31,
2010/2/15,2010,2,15,,1.8,,-8.5,,-3.4,,21.4,,0,,,M,,M,,M,,,11,,33,
2010/2/16,2010,2,16,,-3.3,,-15.7,,-9.5,,27.5,,0,,,M,,M,,M,,,,,<31,
2010/2/17,2010,2,17,,2,,-14.2,,-6.1,,24.1,,0,,,M,,M,,M,,,11,,35,
2010/2/18,2010,2,18,,-1.3,,-10.8,,-6.1,,24.1,,0,,,M,,M,,M,,,,,<31,
2010/2/19,2010,2,19,,2.2,,-15.3,,-6.6,,24.6,,0,,,M,,M,,M,,,,,<31,
2010/2/20,2010,2,20,,-2.4,,-20.3,,-11.4,,29.4,,0,,,M,,M,,M,,,,,<31,
2010/2/21,2010,2,21,,-6.5,,-22.6,,-14.6,,32.6,,0,,,M,,M,,M,,,,,<31,
2010/2/22,2010,2,22,,-6,,-24.5,,-15.3,,33.3,,0,,,M,,M,,M,,,,,<31,
2010/2/23,2010,2,23,,-9.1,,-27.2,,-18.2,,36.2,,0,,,M,,M,,M,,,,,<31,
2010/2/24,2010,2,24,,-5,,-14.7,,-9.9,,27.9,,0,,,M,,M,,M,,,,,<31,
2010/2/25,2010,2,25,,-4.7,,-17.9,,-11.3,,29.3,,0,,,M,,M,,M,,,,,<31,
2010/2/26,2010,2,26,,-4.7,,-24.7,,-14.7,,32.7,,0,,,M,,M,,M,,,,,<31,
2010/2/27,2010,2,27,,-3.6,,-19.2,,-11.4,,29.4,,0,,,M,,M,,M,,,,,<31,
2010/2/28,2010,2,28,,6.1,,-21.3,,-7.6,,25.6,,0,,,M,,M,,M,,,11,,41,
2010/3/1,2010,3,1,,7.8,,-9.4,,-0.8,,18.8,,0,,,M,,M,,M,,,13,,39,
2010/3/2,2010,3,2,,5.3,,-6.6,,-0.7,,18.7,,0,,,M,,M,,M,,,19,,46,
2010/3/3,2010,3,3,,1.6,,-6.5,,-2.5,,20.5,,0,,,M,,M,,M,,,14,,41,
2010/3/4,2010,3,4,,1.9,,-10.5,,-4.3,,22.3,,0,,,M,,M,,M,,,12,,33,
2010/3/5,2010,3,5,,1.4,,-13,,-5.8,,23.8,,0,,,M,,M,,M,,,12,,57,
2010/3/6,2010,3,6,,5.9,,-2.6,,1.7,,16.3,,0,,,M,,M,,M,,,12,,57,
2010/3/7,2010,3,7,,-0.4,,-9,,-4.7,,22.7,,0,,,M,,M,,M,,,17,,39,
2010/3/8,2010,3,8,,-1.4,,-20.4,,-10.9,,28.9,,0,,,M,,M,,M,,,14,,57,
2010/3/9,2010,3,9,,4.6,,-4.7,,-0.1,,18.1,,0,,,M,,M,,M,,,14,,67,
2010/3/10,2010,3,10,,-1.8,,-14,,-7.9,,25.9,,0,,,M,,M,,M,,,13,,52,
2010/3/11,2010,3,11,,1.9,,-16.5,,-7.3,,25.3,,0,,,M,,M,,M,,,12,,39,
2010/3/12,2010,3,12,,-0.5,,-12.8,,-6.7,,24.7,,0,,,M,,M,,M,,,14,,37,
2010/3/13,2010,3,13,,0.2,,-21.2,,-10.5,,28.5,,0,,,M,,M,,M,,,13,,43,
2010/3/14,2010,3,14,,6.9,,-14.9,E,-4,E,22,E,0,E,,M,,M,,M,,,11,E,33,E
2010/3/15,2010,3,15,,7,,-7.3,,-0.2,,18.2,,0,,,M,,M,,M,,,,,<31,
2010/3/16,2010,3,16,,3.1,,-15.9,,-6.4,,24.4,,0,,,M,,M,,M,,,,,<31,
2010/3/17,2010,3,17,,-1,,-5.6,,-3.3,,21.3,,0,,,M,,M,,M,,,31,,32,
2010/3/18,2010,3,18,,3.1,,-6.8,,-1.9,,19.9,,0,,,M,,M,,M,,,,,<31,
2010/3/19,2010,3,19,,-2.1,,-16.6,,-9.4,,27.4,,0,,,M,,M,,M,,,,,<31,
2010/3/20,2010,3,20,,-2,,-12.8,,-7.4,,25.4,,0,,,M,,M,,M,,,2,,33,
2010/3/21,2010,3,21,,-6,,-27.6,,-16.8,,34.8,,0,,,M,,M,,M,,,,,<31,
2010/3/22,2010,3,22,,-4.8,,-30.3,,-17.6,,35.6,,0,,,M,,M,,M,,,,,<31,
2010/3/23,2010,3,23,,-8.1,,-25.4,,-16.8,,34.8,,0,,,M,,M,,M,,,,,<31,
2010/3/24,2010,3,24,,0.2,,-10.3,,-5.1,,23.1,,0,,,M,,M,,M,,,,,<31,
2010/3/25,2010,3,25,,0.9,,-13.9,,-6.5,,24.5,,0,,,M,,M,,M,,,,,<31,
2010/3/26,2010,3,26,,2.2,,-18.7,,-8.3,,26.3,,0,,,M,,M,,M,,,,,<31,
2010/3/27,2010,3,27,,6.6,,-6.6,,0,,18,,0,,,M,,M,,M,,,14,,56,
2010/3/28,2010,3,28,,8.7,,-3.4,,2.7,,15.3,,0,,,M,,M,,M,,,13,,56,
2010/3/29,2010,3,29,,8.1,,-11.2,,-1.6,,19.6,,0,,,M,,M,,M,,,,,<31,
2010/3/30,2010,3,30,,7.3,,-8.5,,-0.6,,18.6,,0,,,M,,M,,M,,,,,<31,
2010/3/31,2010,3,31,,6.7,,-7.4,,-0.4,,18.4,,0,,,M,,M,,M,,,,,<31,
2010/4/1,2010,4,1,,5.7,,-11.6,,-3,,21,,0,,,M,,M,,M,,,11,,37,
2010/4/2,2010,4,2,,6.8,,-13.9,,-3.6,,21.6,,0,,,M,,M,,M,,,,,<31,
2010/4/3,2010,4,3,,7.4,,-11.4,,-2,,20,,0,,,M,,M,,M,,,,,<31,
2010/4/4,2010,4,4,,5.7,,-8.9,,-1.6,,19.6,,0,,,M,,M,,M,,,11,,33,
2010/4/5,2010,4,5,,6.3,,-10.7,,-2.2,,20.2,,0,,,M,,M,,M,,,12,,32,
2010/4/6,2010,4,6,,7.5,,-3.2,,2.2,,15.8,,0,,,M,,M,,M,,,11,,41,
2010/4/7,2010,4,7,,3.5,,-10.4,,-3.5,,21.5,,0,,,M,,M,,M,,,,,<31,
2010/4/8,2010,4,8,,0.9,,-5.3,,-2.2,,20.2,,0,,,M,,M,,M,,,31,,39,
2010/4/9,2010,4,9,,1.3,,-4.7,,-1.7,,19.7,,0,,,M,,M,,M,,,32,,33,
2010/4/10,2010,4,10,,4.7,,-15,,-5.2,,23.2,,0,,,M,,M,,M,,,,,<31,
2010/4/11,2010,4,11,,7.5,,-13.1,,-2.8,,20.8,,0,,,M,,M,,M,,,12,,41,
2010/4/12,2010,4,12,,8.9,,-5.1,,1.9,,16.1,,0,,,M,,M,,M,,,,,<31,
2010/4/13,2010,4,13,,9.9,,-3.7,,3.1,,14.9,,0,,,M,,M,,M,,,21,,35,
2010/4/14,2010,4,14,,12.1,,-7.1,,2.5,,15.5,,0,,,M,,M,,M,,,17,,43,
2010/4/15,2010,4,15,,13.3,,-4,,4.7,,13.3,,0,,,M,,M,,M,,,33,,46,
2010/4/16,2010,4,16,,12,,-4.1,,4,,14,,0,,,M,,M,,M,,,,,<31,
2010/4/17,2010,4,17,,13,,0,,6.5,,11.5,,0,,,M,,M,,M,,,11,E,43,E
2010/4/18,2010,4,18,,13.5,,-2.7,,5.4,,12.6,,0,,,M,,M,,M,,,13,,46,
2010/4/19,2010,4,19,,17.7,,-1.6,,8.1,,9.9,,0,,,M,,M,,M,,,13,,44,
2010/4/20,2010,4,20,,16.4,,-1.1,,7.7,,10.3,,0,,,M,,M,,M,,,12,,48,
2010/4/21,2010,4,21,,11.3,,-3.8,,3.8,,14.2,,0,,,M,,M,,M,,,19,,39,
2010/4/22,2010,4,22,,10.2,,-3.8,,3.2,,14.8,,0,,,M,,M,,M,,,14,,37,
2010/4/23,2010,4,23,,8.4,,-6.1,,1.2,,16.8,,0,,,M,,M,,M,,,,,<31,
2010/4/24,2010,4,24,,11.8,,-7.8,,2,,16,,0,,,M,,M,,M,,,,,<31,
2010/4/25,2010,4,25,,14.2,,-7,,3.6,,14.4,,0,,,M,,M,,M,,,13,E,44,E
2010/4/26,2010,4,26,,15.6,,-2.3,,6.7,,11.3,,0,,,M,,M,,M,,,14,,48,
2010/4/27,2010,4,27,,17,,-3.5,,6.8,,11.2,,0,,,M,,M,,M,,,11,,41,
2010/4/28,2010,4,28,,16.8,,-4.5,,6.2,,11.8,,0,,,M,,M,,M,,,10,,37,
2010/4/29,2010,4,29,,17.4,,-4.5,,6.5,,11.5,,0,,,M,,M,,M,,,16,,48,
2010/4/30,2010,4,30,,12.2,,-1.6,,5.3,,12.7,,0,,,M,,M,,M,,,15,,35,
2010/5/1,2010,5,1,,14.4,,-5.1,,4.7,,13.3,,0,,,M,,M,,M,,,,,<31,
2010/5/2,2010,5,2,,11.3,,-2.1,,4.6,,13.4,,0,,,M,,M,,M,,,,,<31,
2010/5/3,2010,5,3,,7.6,,4.1,,5.9,,12.1,,0,,,M,,M,,M,,,33,,43,
2010/5/4,2010,5,4,,12.7,,-2.8,,5,,13,,0,,,M,,M,,M,,,,,<31,
