Station Name,CARMACKS CS,,,,,,,,,,,,,,,,,,,,,,,,,
Province,YUKON TERRITORY,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,62.12,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-136.19,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation,542.9,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Identifier,2100301,,,,,,,,,,,,,,,,,,,,,,,,,
WMO Identifier,71039,,,,,,,,,,,,,,,,,,,,,,,,,
TC Identifier,XCK,,,,,,,Mean Max Temp (°C),Mean Min Temp (°C),Mean Temp (°C),Extr Max Temp (°C),Extr Min Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),,,,,,,,,,,,
,,,,,,,,-13.80322581,-25.95483871,-19.91290323,4,-44.5,1175.3,0,,,,,,,,,,,,
Legend,,,,,,,,-10.14642857,-25.55357143,-17.875,7.7,-38.2,1004.5,0,,,,,,,,,,,,
A,Accumulated,,,,,,,-5.993548387,-21.69032258,-13.86129032,9.1,-41,987.7,0,,,,,,,,,,,,
C,"Precipitation occurred, amount uncertain",,,,,,,10.21,-4.98,2.63,16.6,-12.4,461.1,0,,,,,,,,,,,,
E,Estimated,,,,,,,16.9516129,0.590322581,8.8,24.6,-5.4,285.2,0,,,,,,,,,,,,
F,Accumulated and estimated,,,,,,,19.94642857,6.176666667,13.11428571,31.8,-0.4,140.1,3.3,,,,,,,,,,,,
L,Precipitation may or may not have occurred,,,,,,,22.68387097,9.116129032,15.92903226,29.2,3.1,67.5,3.3,,,,,,,,,,,,
M,Missing,,,,,,,22.15806452,6.448387097,14.33225806,30.6,-1.5,114.7,1,,,,,,,,,,,,
N,Temperature missing but known to be > 0,,,,,,,15.55333333,1.463333333,8.526666667,26.3,-4.1,285,0.8,,,,,,,,,,,,
S,More than one occurrence,,,,,,,3.806666667,-5.438709677,-0.856666667,17.1,-14.9,565.7,0,,,,,,,,,,,,
T,Trace,,,,,,,-16.01,-24.76333333,-20.41333333,0,-35.2,1152.4,0,,,,,,,,,,,,
Y,Temperature missing but known to be < 0,,,,,,,-12.54666667,-21.57419355,-17.25333333,6.1,-45.5,1057.6,0,,,,,,,,,,,,
[empty],No data available,,,,,,,,,,,,,,,,,,,,,,,,,
^,The value displayed is based on incomplete data,,,,,,,,,,,,,,,,,,,,,,,,,
†,Data that is not subject to review by the National Climate Archives,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2017/1/1,2017,1,1,,-11.5,,-18.6,,-15.1,,33.1,,0,,,M,,M,0,,34,,,,<31,
2017/1/2,2017,1,2,,-18.5,,-26.6,,-22.6,,40.6,,0,,,M,,M,0.2,,33,,,,<31,
2017/1/3,2017,1,3,,-25.1,,-31,,-28.1,,46.1,,0,,,M,,M,0,,33,,,,<31,
2017/1/4,2017,1,4,,-19.9,,-31.6,,-25.8,,43.8,,0,,,M,,M,0.2,,32,,,,<31,
2017/1/5,2017,1,5,,-10.6,,-26.6,,-18.6,,36.6,,0,,,M,,M,0.5,,31,,32,,46,
2017/1/6,2017,1,6,,-10.6,,-21,,-15.8,,33.8,,0,,,M,,M,0.5,,36,,31,,52,
2017/1/7,2017,1,7,,-20.8,,-37.6,,-29.2,,47.2,,0,,,M,,M,0.4,,35,,,,<31,
2017/1/8,2017,1,8,,-29.2,,-37.8,,-33.5,,51.5,,0,,,M,,M,0,,35,,,,<31,
2017/1/9,2017,1,9,,-27.6,,-39,,-33.3,,51.3,,0,,,M,,M,0.2,,35,,,,<31,
2017/1/10,2017,1,10,,-24.1,,-32.8,,-28.5,,46.5,,0,,,M,,M,0,,34,,,,<31,
2017/1/11,2017,1,11,,-19.8,,-28.6,,-24.2,,42.2,,0,,,M,,M,0,,34,,,,<31,
2017/1/12,2017,1,12,,-19.8,,-29,,-24.4,,42.4,,0,,,M,,M,0,,34,,,,<31,
2017/1/13,2017,1,13,,-22.7,,-33.6,,-28.2,,46.2,,0,,,M,,M,0.2,,34,,,,<31,
2017/1/14,2017,1,14,,2.7,,-23.4,,-10.4,,28.4,,0,,,M,,M,0,,34,,12,,33,
2017/1/15,2017,1,15,,2.6,,-7.7,,-2.6,,20.6,,0,,,M,,M,0,,33,,12,,41,
2017/1/16,2017,1,16,,3.1,,-12.6,,-4.8,,22.8,,0,,,M,,M,0,,33,,14,,44,
2017/1/17,2017,1,17,,3.2,,-25.5,,-11.2,,29.2,,0,,,M,,M,0.6,,33,,11,,48,
2017/1/18,2017,1,18,,-19.6,,-22.5,,-21.1,,39.1,,0,,,M,,M,2.2,,33,,,,<31,
2017/1/19,2017,1,19,,-19.8,,-27.8,,-23.8,,41.8,,0,,,M,,M,2.4,,37,,,,<31,
2017/1/20,2017,1,20,,-27.1,,-40.8,,-34,,52,,0,,,M,,M,0.6,,37,,,,<31,
2017/1/21,2017,1,21,,-35.6,,-44.5,,-40.1,,58.1,,0,,,M,,M,0.2,,37,,,,<31,
2017/1/22,2017,1,22,,-28.9,,-39.8,,-34.4,,52.4,,0,,,M,,M,0,,37,,,,<31,
2017/1/23,2017,1,23,,-24.1,,-34.7,,-29.4,,47.4,,0,,,M,,M,0,,37,,,,<31,
2017/1/24,2017,1,24,,-4.9,,-28.8,,-16.9,,34.9,,0,,,M,,M,0,,37,,,,<31,
2017/1/25,2017,1,25,,4,,-11.5,,-3.8,,21.8,,0,,,M,,M,0,,36,,13,,39,
2017/1/26,2017,1,26,,3,,-5.7,,-1.4,,19.4,,0,,,M,,M,0,,36,,11,,39,
2017/1/27,2017,1,27,,3.9,,-4,,-0.1,,18.1,,0,,,M,,M,1.4,,36,,14,,50,
2017/1/28,2017,1,28,,1.9,,-6.4,,-2.3,,20.3,,0,,,M,,M,1.1,,38,,11,,33,
2017/1/29,2017,1,29,,1,,-15.6,,-7.3,,25.3,,0,,,M,,M,2.4,,41,,,,<31,
2017/1/30,2017,1,30,,-14.7,,-27.8,,-21.3,,39.3,,0,,,M,,M,0.6,,41,,,,<31,
2017/1/31,2017,1,31,,-18.4,,-31.7,,-25.1,,43.1,,0,,,M,,M,0.2,,41,,,,<31,
2017/2/1,2017,2,1,,-22,,-30.9,,-26.5,,44.5,,0,,,M,,M,0,,40,,,,<31,
2017/2/2,2017,2,2,,-22,,-35.6,,-28.8,,46.8,,0,,,M,,M,0.2,,40,,,,<31,
2017/2/3,2017,2,3,,-20.4,,-32.5,,-26.5,,44.5,,0,,,M,,M,0,,40,,,,<31,
2017/2/4,2017,2,4,,-19.5,,-34.2,,-26.9,,44.9,,0,,,M,,M,0,,40,,,,<31,
2017/2/5,2017,2,5,,-19.5,,-32.4,,-26,,44,,0,,,M,,M,0,,40,,,,<31,
2017/2/6,2017,2,6,,-20.5,,-36.4,,-28.5,,46.5,,0,,,M,,M,0,,40,,,,<31,
2017/2/7,2017,2,7,,-22,,-38.2,,-30.1,,48.1,,0,,,M,,M,0,,40,,,,<31,
2017/2/8,2017,2,8,,-20.6,,-38,,-29.3,,47.3,,0,,,M,,M,0,,39,,,,<31,
2017/2/9,2017,2,9,,-22.4,,-36.5,,-29.5,,47.5,,0,,,M,,M,0,,39,,,,<31,
2017/2/10,2017,2,10,,-14.6,,-26.9,,-20.8,,38.8,,0,,,M,,M,1.1,,39,,,,<31,
2017/2/11,2017,2,11,,-16.3,,-33.5,,-24.9,,42.9,,0,,,M,,M,0.2,,41,,,,<31,
2017/2/12,2017,2,12,,-10,,-21.7,,-15.9,,33.9,,0,,,M,,M,0,,41,,,,<31,
2017/2/13,2017,2,13,,7.4,,-21.1,,-6.9,,24.9,,0,,,M,,M,0.2,,41,,12,,43,
2017/2/14,2017,2,14,,7.7,,1,,4.4,,13.6,,0,,,M,,M,0,,39,,11,,48,
2017/2/15,2017,2,15,,7.7,,-4.7,,1.5,,16.5,,0,,,M,,M,0.2,,40,,13,,35,
2017/2/16,2017,2,16,,3.1,,-12.9,,-4.9,,22.9,,0,,,M,,M,0.2,,40,,,,<31,
2017/2/17,2017,2,17,,-4.2,,-23.3,,-13.8,,31.8,,0,,,M,,M,0.4,,40,,,,<31,
2017/2/18,2017,2,18,,-7.3,,-28,,-17.7,,35.7,,0,,,M,,M,0.2,,40,,,,<31,
2017/2/19,2017,2,19,,-9.9,,-30.7,,-20.3,,38.3,,0,,,M,,M,0.2,,40,,,,<31,
2017/2/20,2017,2,20,,-12.3,,-32.5,,-22.4,,40.4,,0,,,M,,M,0,,40,,,,<31,
2017/2/21,2017,2,21,,-11.9,,-24.5,,-18.2,,36.2,,0,,,M,,M,0,,40,,,,<31,
2017/2/22,2017,2,22,,-13.4,,-29.6,,-21.5,,39.5,,0,,,M,,M,0,,39,,,,<31,
2017/2/23,2017,2,23,,-10.8,,-28.1,,-19.5,,37.5,,0,,,M,,M,0,,39,,,,<31,
2017/2/24,2017,2,24,,-0.6,,-20.6,,-10.6,,28.6,,0,,,M,,M,0.5,,39,,,,<31,
2017/2/25,2017,2,25,,0.5,,-12.6,,-6.1,,24.1,,0,,,M,,M,0.2,,40,,31,,37,
2017/2/26,2017,2,26,,1.6,,-12.4,,-5.4,,23.4,,0,,,M,,M,0.2,,40,,28,,41,
2017/2/27,2017,2,27,,-2.4,,-14.1,,-8.3,,26.3,,0,,,M,,M,0,,41,,,,<31,
2017/2/28,2017,2,28,,-9.5,,-24.6,,-17.1,,35.1,,0,,,M,,M,0.5,,40,,32,,35,
2017/3/1,2017,3,1,,-12,,-19,,-15.5,,33.5,,0,,,M,,M,0.2,,41,,32,,35,
2017/3/2,2017,3,2,,-16.7,,-19.1,,-17.9,,35.9,,0,,,M,,M,1.7,,42,,33,,43,
2017/3/3,2017,3,3,,-13.6,,-27.9,,-20.8,,38.8,,0,,,M,,M,0.2,,45,,33,,35,
2017/3/4,2017,3,4,,-13.7,,-36.6,,-25.2,,43.2,,0,,,M,,M,0.7,,46,,,,<31,
2017/3/5,2017,3,5,,-14.8,,-29.7,,-22.3,,40.3,,0,,,M,,M,0.2,,45,,31,,37,
2017/3/6,2017,3,6,,-18,,-32.9,,-25.5,,43.5,,0,,,M,,M,0,,46,,31,,32,
2017/3/7,2017,3,7,,-15.6,,-41,,-28.3,,46.3,,0,,,M,,M,0.5,,46,,,,<31,
2017/3/8,2017,3,8,,-13.7,,-34.6,,-24.2,,42.2,,0,,,M,,M,0,,46,,33,,35,
2017/3/9,2017,3,9,,-11.5,,-35.9,,-23.7,,41.7,,0,,,M,,M,0,,46,,,,<31,
2017/3/10,2017,3,10,,-8.6,,-38,,-23.3,,41.3,,0,,,M,,M,0.2,,46,,,,<31,
2017/3/11,2017,3,11,,-8,,-38.1,,-23.1,,41.1,,0,,,M,,M,0.6,,46,,,,<31,
2017/3/12,2017,3,12,,-9.1,,-35.3,,-22.2,,40.2,,0,,,M,,M,0,,46,,,,<31,
2017/3/13,2017,3,13,,-10.9,,-16.2,,-13.6,,31.6,,0,,,M,,M,0.5,,45,,,,<31,
2017/3/14,2017,3,14,,-12,,-30.3,,-21.2,,39.2,,0,,,M,,M,0.7,,46,,31,,35,
2017/3/15,2017,3,15,,-9.4,,-23.4,,-16.4,,34.4,,0,,,M,,M,0.2,,46,,,,<31,
2017/3/16,2017,3,16,,-10.2,,-23.7,,-17,,35,,0,,,M,,M,2.3,,48,,,,<31,
2017/3/17,2017,3,17,,-10.6,,-27.4,,-19,,37,,0,,,M,,M,0.7,,52,,32,,32,
2017/3/18,2017,3,18,,-7.4,,-15.1,,-11.3,,29.3,,0,,,M,,M,0,,51,,33,,32,
2017/3/19,2017,3,19,,-1.3,,-29.4,,-15.4,,33.4,,0,,,M,,M,0.5,,50,,12,,33,
2017/3/20,2017,3,20,,5.8,,-22,,-8.1,,26.1,,0,,,M,,M,0.8,,49,,15,,44,
2017/3/21,2017,3,21,,-0.7,,-7.1,,-3.9,,21.9,,0,,,M,,M,0,,49,,,,<31,
2017/3/22,2017,3,22,,-1.5,,-6.9,,-4.2,,22.2,,0,,,M,,M,0.2,,49,,,,<31,
2017/3/23,2017,3,23,,-1.5,,-7.5,,-4.5,,22.5,,0,,,M,,M,0.9,,48,,,,<31,
2017/3/24,2017,3,24,,-2.6,,-8.1,,-5.4,,23.4,,0,,,M,,M,0,,49,,32,,37,
2017/3/25,2017,3,25,,-0.5,,-10,,-5.3,,23.3,,0,,,M,,M,0.2,,48,,,,<31,
2017/3/26,2017,3,26,,3.2,,-13.4,,-5.1,,23.1,,0,,,M,,M,0.5,,48,,,,<31,
2017/3/27,2017,3,27,,0.1,,-16.5,,-8.2,,26.2,,0,,,M,,M,1.3,,48,,,,<31,
2017/3/28,2017,3,28,,6.9,,-6.2,,0.4,,17.6,,0,,,M,,M,0,,48,,18,,35,
2017/3/29,2017,3,29,,7.4,,-11.4,,-2,,20,,0,,,M,,M,0,,47,,16,,33,
2017/3/30,2017,3,30,,5.6,,-6.5,,-0.5,,18.5,,0,,,M,,M,0,,47,,15,,56,
2017/3/31,2017,3,31,,9.1,,-3.2,,3,,15,,0,,,M,,M,0,,46,,12,,50,
2017/4/1,2017,4,1,,9.7,,-5.9,,1.9,,16.1,,0,,,M,,M,0,,46,,18,,37,
2017/4/2,2017,4,2,,3.2,,-1.1,,1.1,,16.9,,0,,,M,,M,1.4,,43,,27,,32,
2017/4/3,2017,4,3,,7.1,,-8.7,,-0.8,,18.8,,0,,,M,,M,0.8,,46,,14,,33,
2017/4/4,2017,4,4,,10.2,,-1.4,,4.4,,13.6,,0,,,M,,M,0.2,,43,,15,,50,
2017/4/5,2017,4,5,,10,,-2.8,,3.6,,14.4,,0,,,M,,M,0.7,,42,,14,,41,
2017/4/6,2017,4,6,,7.5,,0.3,,3.9,,14.1,,0,,,M,,M,0,,40,,12,,33,
2017/4/7,2017,4,7,,9.2,,-6.4,,1.4,,16.6,,0,,,M,,M,0,,40,,,,<31,
2017/4/8,2017,4,8,,10.7,,-5.4,,2.7,,15.3,,0,,,M,,M,0,,39,,,,<31,
2017/4/9,2017,4,9,,10.6,,-2,,4.3,,13.7,,0,,,M,,M,0,,38,,15,,33,
2017/4/10,2017,4,10,,12.9,,-8.2,,2.4,,15.6,,0,,,M,,M,0.2,,32,,,,<31,
2017/4/11,2017,4,11,,13,,-5.4,,3.8,,14.2,,0,,,M,,M,0.7,,29,,,,<31,
2017/4/12,2017,4,12,,11.7,,0,,5.9,,12.1,,0,,,M,,M,0,,27,,33,,33,
2017/4/13,2017,4,13,,7.6,,0.4,,4,,14,,0,,,M,,M,0,,22,,35,,32,
2017/4/14,2017,4,14,,11.1,,-6.2,,2.5,,15.5,,0,,,M,,M,0.3,,20,,,,<31,
2017/4/15,2017,4,15,,11.1,,-5.2,,3,,15,,0,,,M,,M,0,,18,,29,,33,
2017/4/16,2017,4,16,,4.4,,-2.3,,1.1,,16.9,,0,,,M,,M,0,,14,,,,<31,
2017/4/17,2017,4,17,,4.4,,-6.1,,-0.9,,18.9,,0,,,M,,M,0,,14,,34,,32,
2017/4/18,2017,4,18,,4.3,,-11.4,,-3.6,,21.6,,0,,,M,,M,0,,14,,,,<31,
2017/4/19,2017,4,19,,6.1,,-12.4,,-3.2,,21.2,,0,,,M,,M,0.2,,13,,,,<31,
2017/4/20,2017,4,20,,6.2,,-6.2,,0,,18,,0,,,M,,M,0,,10,,,,<31,
2017/4/21,2017,4,21,,9,,-9.1,,-0.1,,18.1,,0,,,M,,M,0.9,,9,,,,<31,
2017/4/22,2017,4,22,,11.6,,-10.1,,0.8,,17.2,,0,,,M,,M,0,,4,,,,<31,
2017/4/23,2017,4,23,,13.1,,-7.7,,2.7,,15.3,,0,,,M,,M,0,,0,T,,,<31,
2017/4/24,2017,4,24,,15.6,,-6.9,,4.4,,13.6,,0,,,M,,M,0.9,,0,T,,,<31,
2017/4/25,2017,4,25,,16.6,,-2.1,,7.3,,10.7,,0,,,M,,M,0.2,,0,T,18,,33,
2017/4/26,2017,4,26,,15.5,,-5.5,,5,,13,,0,,,M,,M,0.8,,0,T,,,<31,
2017/4/27,2017,4,27,,14.1,,-1.5,,6.3,,11.7,,0,,,M,,M,0.7,,0,T,,,<31,
2017/4/28,2017,4,28,,12.5,,-2.2,,5.2,,12.8,,0,,,M,,M,0.3,,0,T,,,<31,
2017/4/29,2017,4,29,,12.6,,-1.5,,5.6,,12.4,,0,,,M,,M,0.4,,0,T,,,<31,
2017/4/30,2017,4,30,,14.7,,-6.4,,4.2,,13.8,,0,,,M,,M,0,,0,T,22,,35,
2017/5/1,2017,5,1,,12.6,,-3.5,,4.6,,13.4,,0,,,M,,M,0,,,,20,,32,
2017/5/2,2017,5,2,,14.6,,-2,,6.3,,11.7,,0,,,M,,M,0,,,,10,,35,
