"Station Name","AMQUI"
"Province","QUEBEC"
"Latitude","48.47"
"Longitude","-67.43"
"Elevation","166.00"
"Climate Identifier","7050145"
"WMO Identifier","71386"
"TC Identifier","WZS"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2007-01-01","2007","01","01","","0.2","","-17.6","","-8.7","","26.7","","0.0","","","M","","M","2.0","","","","14","","41",""
"2007-01-02","2007","01","02","","0.9","","-10.6","","-4.9","","22.9","","0.0","","","M","","M","3.0","","","","34","","56",""
"2007-01-03","2007","01","03","","1.5","","-11.7","","-5.1","","23.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"2007-01-04","2007","01","04","","4.9","","-1.4","","1.8","","16.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"2007-01-05","2007","01","05","","6.8","","1.3","","4.1","","13.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"2007-01-06","2007","01","06","","5.9","","1.6","","3.8","","14.2","","0.0","","","M","","M","6.0","","","","27","","50",""
"2007-01-07","2007","01","07","","3.1","","-2.5","","0.3","","17.7","","0.0","","","M","","M","2.0","","","","32","","59",""
"2007-01-08","2007","01","08","","0.0","","-3.9","","-2.0","","20.0","","0.0","","","M","","M","14.0","","","","13","","43",""
"2007-01-09","2007","01","09","","1.3","","-2.4","","-0.6","","18.6","","0.0","","","M","","M","0.0","","","","28","","46",""
"2007-01-10","2007","01","10","","-1.3","","-10.7","","-6.0","","24.0","","0.0","","","M","","M","2.0","","","","30","","41",""
"2007-01-11","2007","01","11","","-10.3","","-12.1","","-11.2","","29.2","","0.0","","","M","","M","1.0","","","","31","","44",""
"2007-01-12","2007","01","12","","0.3","","-10.3","","-5.0","","23.0","","0.0","","","M","","M","5.0","","","","","","<31",""
"2007-01-13","2007","01","13","","-0.4","","-23.3","","-11.9","","29.9","","0.0","","","M","","M","5.0","","","","33","","43",""
"2007-01-14","2007","01","14","","-7.3","","-26.2","","-16.8","","34.8","","0.0","","","M","","M","0.0","","","","30","","33",""
"2007-01-15","2007","01","15","","-13.5","","-21.5","","-17.5","","35.5","","0.0","","","M","","M","2.0","","","","","","<31",""
"2007-01-16","2007","01","16","","-13.2","","-22.9","","-18.1","","36.1","","0.0","","","M","","M","3.0","","","","30","","46",""
"2007-01-17","2007","01","17","","-19.9","","-24.1","","-22.0","","40.0","","0.0","","","M","","M","0.0","","","","32","","50",""
"2007-01-18","2007","01","18","","-11.1","","-21.9","","-16.5","","34.5","","0.0","","","M","","M","3.0","","","","14","","32",""
"2007-01-19","2007","01","19","","-5.1","","-19.1","","-12.1","","30.1","","0.0","","","M","","M","7.0","","","","33","","56",""
"2007-01-20","2007","01","20","","-7.0","","-15.7","","-11.4","","29.4","","0.0","","","M","","M","16.0","","","","30","","76",""
"2007-01-21","2007","01","21","","-15.5","","-18.1","","-16.8","","34.8","","0.0","","","M","","M","2.0","","","","33","","67",""
"2007-01-22","2007","01","22","","-12.9","E","-19.1","E","-16.0","E","34.0","E","0.0","E","","M","","M","","M","","","31","E","35","E"
"2007-01-23","2007","01","23","","-7.8","","-25.7","","-16.8","","34.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"2007-01-24","2007","01","24","","-5.5","","-17.8","","-11.7","","29.7","","0.0","","","M","","M","1.0","","","","29","","33",""
"2007-01-25","2007","01","25","","-16.6","","-20.7","","-18.7","","36.7","","0.0","","","M","","M","0.0","","","","29","","46",""
"2007-01-26","2007","01","26","","-18.9","","-22.9","","-20.9","","38.9","","0.0","","","M","","M","0.0","","","","31","","43",""
"2007-01-27","2007","01","27","","-14.1","","-20.1","","-17.1","","35.1","","0.0","","","M","","M","0.0","","","","31","","48",""
"2007-01-28","2007","01","28","","-12.0","","-23.8","","-17.9","","35.9","","0.0","","","M","","M","0.0","","","","32","","39",""
"2007-01-29","2007","01","29","","-16.1","","-26.8","","-21.5","","39.5","","0.0","","","M","","M","0.0","","","","32","","37",""
"2007-01-30","2007","01","30","","-18.9","","-22.7","","-20.8","","38.8","","0.0","","","M","","M","0.0","","","","34","","43",""
"2007-01-31","2007","01","31","","-13.5","","-28.8","","-21.2","","39.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"2007-02-01","2007","02","01","","-11.6","","-28.4","","-20.0","","38.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"2007-02-02","2007","02","02","","-2.6","","-15.0","","-8.8","","26.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"2007-02-03","2007","02","03","","-3.0","","-13.2","","-8.1","","26.1","","0.0","","","M","","M","5.0","","","","30","","56",""
