Station Name,EASTEND CYPRESS (AUT),,,,,,,,,,,,,,,,,,,,,,,,,
Province,SASKATCHEWAN,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,49.44,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-108.99,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation,1079.6,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Identifier,4032322,,,,,,,,,,,,,,,,,,,,,,,,,
WMO Identifier,71131,,,,,,,,,,,,,,,,,,,,,,,,,
TC Identifier,WEH,,,,,,,Mean Max Temp (°C),Mean Min Temp (°C),Mean Temp (°C),Extr Max Temp (°C),Extr Min Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),,,,,,,,,,,,
,,,,,,,,-6.3,-14.45483871,-10.40322581,4.2,-31.6,880.5,0,,,,,,,,,,,,
Legend,,,,,,,,-6.735714286,-15.46071429,-11.12142857,-0.1,-25.8,815.4,0,,,,,,,,,,,,
A,Accumulated,,,,,,,4.558064516,-5.619354839,-0.535483871,16.6,-12.2,574.6,0,,,,,,,,,,,,
C,"Precipitation occurred, amount uncertain",,,,,,,10.81666667,-1.89,4.483333333,20.4,-9.2,405.5,0,,,,,,,,,,,,
E,Estimated,,,,,,,12.41935484,1.85483871,7.158064516,26.6,-3,336.2,0.1,,,,,,,,,,,,
F,Accumulated and estimated,,,,,,,19.54827586,8.286666667,13.99310345,29.5,-0.5,125,8.8,,,,,,,,,,,,
L,Precipitation may or may not have occurred,,,,,,,22.87741935,10.22258065,16.58387097,28.6,5.4,62.2,18.3,,,,,,,,,,,,
M,Missing,,,,,,,23.05806452,9.477419355,16.29677419,33.5,3.3,73.9,21.1,,,,,,,,,,,,
N,Temperature missing but known to be > 0,,,,,,,16.11,4.51,10.33666667,27.5,-4,230.1,0.2,,,,,,,,,,,,
S,More than one occurrence,,,,,,,14.84193548,0.648387097,7.764516129,26.6,-7.8,317.3,0,,,,,,,,,,,,
T,Trace,,,,,,,6.416666667,-4.584210526,0.805555556,20.2,-19.2,309.5,0,,,,,,,,,,,,
Y,Temperature missing but known to be < 0,,,,,,,-7.325806452,-16.4,-11.88709677,1,-26.8,926.5,0,,,,,,,,,,,,
[empty],No data available,,,,,,,,,,,,,,,,,,,,,,,,,
^,The value displayed is based on incomplete data,,,,,,,,,,,,,,,,,,,,,,,,,
†,Data that is not subject to review by the National Climate Archives,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2010/1/1,2010,1,1,,-16.9,,-26.8,,-21.9,,39.9,,0,,,M,,M,0.2,,15,,14,,41,
2010/1/2,2010,1,2,,-4.2,,-17,,-10.6,,28.6,,0,,,M,,M,0.2,,15,,32,,69,
2010/1/3,2010,1,3,,-11.2,,-19,,-15.1,,33.1,,0,,,M,,M,0,,13,,32,,33,
2010/1/4,2010,1,4,,-10.7,,-18.6,,-14.7,,32.7,,0,,,M,,M,0,,13,,,,<31,
2010/1/5,2010,1,5,,-15.5,,-20.9,,-18.2,,36.2,,0,,0,,,M,3.8,,15,,34,,41,
2010/1/6,2010,1,6,,-20.9,,-31.3,,-26.1,,44.1,,0,,,M,,M,0.2,,28,,34,,59,
2010/1/7,2010,1,7,,-21,,-31.6,,-26.3,,44.3,,0,,,M,,M,0,,27,,,,<31,
2010/1/8,2010,1,8,,-8.4,,-24.1,,-16.3,,34.3,,0,,,M,,M,0.2,,26,,26,,35,
2010/1/9,2010,1,9,,2.7,,-11.7,,-4.5,,22.5,,0,,,M,,M,0,,28,,28,,52,
2010/1/10,2010,1,10,,0.4,,-6.8,,-3.2,,21.2,,0,,,M,,M,0,,27,,25,,39,
2010/1/11,2010,1,11,,0.2,,-6.9,,-3.4,,21.4,,0,,,M,,M,0,,26,,26,,39,
2010/1/12,2010,1,12,,2.7,,-2.1,,0.3,,17.7,,0,,,M,,M,0,,26,,26,,48,
2010/1/13,2010,1,13,,4.2,,-6.4,,-1.1,,19.1,,0,,,M,,M,0,,26,,28,,48,
2010/1/14,2010,1,14,,-2.6,,-6.4,,-4.5,,22.5,,0,,,M,,M,0,,26,,25,,33,
2010/1/15,2010,1,15,,3,,-6.5,,-1.8,,19.8,,0,,,M,,M,0,,26,,24,,52,
2010/1/16,2010,1,16,,3.8,,-4.7,,-0.5,,18.5,,0,,,M,,M,0,,26,,29,,48,
2010/1/17,2010,1,17,,-2.9,,-9.9,,-6.4,,24.4,,0,,,M,,M,0,,25,,,,<31,
2010/1/18,2010,1,18,,-2.2,,-9.1,,-5.7,,23.7,,0,,,M,,M,0,,25,,,,<31,
2010/1/19,2010,1,19,,-1.2,,-8.5,,-4.9,,22.9,,0,,,M,,M,0,,25,,,,<31,
2010/1/20,2010,1,20,,-0.9,,-9.6,,-5.3,,23.3,,0,,,M,,M,0,,25,,,,<31,
2010/1/21,2010,1,21,,-3.1,,-12.4,,-7.8,,25.8,,0,,,M,,M,0,,24,,,,<31,
2010/1/22,2010,1,22,,-5.7,,-9,,-7.4,,25.4,,0,,0,,,M,0.3,,25,,,,<31,
2010/1/23,2010,1,23,,-6.2,,-8.4,,-7.3,,25.3,,0,,0,,,M,3.8,,30,,34,,85,
2010/1/24,2010,1,24,,-7.8,,-12.9,,-10.4,,28.4,,0,,,M,,M,1.9,,42,,36,,100,
2010/1/25,2010,1,25,,-10.2,,-17.9,,-14.1,,32.1,,0,,,M,,M,0,,43,,34,,72,
2010/1/26,2010,1,26,,-13.1,,-20.2,,-16.7,,34.7,,0,,,M,,M,0,,42,,31,,35,
2010/1/27,2010,1,27,,-12.6,,-22.7,,-17.7,,35.7,,0,,,M,,M,0,,42,,33,,67,
2010/1/28,2010,1,28,,-10.4,,-20.3,,-15.4,,33.4,,0,,,M,,M,0,,41,,,,<31,
2010/1/29,2010,1,29,,-3.7,,-16.3,,-10,,28,,0,,,M,,M,0,,41,,,,<31,
2010/1/30,2010,1,30,,-7.2,,-14.4,,-10.8,,28.8,,0,,,M,,M,0,,41,,7,,33,
2010/1/31,2010,1,31,,-13.7,,-15.7,,-14.7,,32.7,,0,,,M,,M,0,,41,,6,,32,
2010/2/1,2010,2,1,,-11.8,,-17.7,,-14.8,,32.8,,0,,0,,,M,0.3,,41,,,,<31,
2010/2/2,2010,2,2,,-6.1,,-14.2,,-10.2,,28.2,,0,,,M,,M,0,,41,,,,<31,
2010/2/3,2010,2,3,,-2.6,,-13.9,,-8.3,,26.3,,0,,,M,,M,0,,40,,,,<31,
2010/2/4,2010,2,4,,-4.5,,-13.6,,-9.1,,27.1,,0,,,M,,M,0,,40,,,,<31,
2010/2/5,2010,2,5,,-6.1,,-13.2,,-9.7,,27.7,,0,,,M,,M,0.2,,40,,,,<31,
2010/2/6,2010,2,6,,-6.1,,-8.9,,-7.5,,25.5,,0,,,M,,M,0,,40,,,,<31,
2010/2/7,2010,2,7,,-6.8,,-24,,-15.4,,33.4,,0,,,M,,M,0.4,,40,,,,<31,
2010/2/8,2010,2,8,,-18.6,,-23.8,,-21.2,,39.2,,0,,,M,,M,0,,41,,,,<31,
2010/2/9,2010,2,9,,-18.6,,-25.8,,-22.2,,40.2,,0,,,M,,M,0.2,,41,,16,,37,
2010/2/10,2010,2,10,,-6.1,,-19.7,,-12.9,,30.9,,0,,,M,,M,0,,41,,27,,32,
2010/2/11,2010,2,11,,-2.5,,-15.6,,-9.1,,27.1,,0,,,M,,M,0,,41,,,,<31,
2010/2/12,2010,2,12,,-0.7,,-13.8,,-7.3,,25.3,,0,,,M,,M,0,,41,,,,<31,
2010/2/13,2010,2,13,,-12.6,,-20.8,,-16.7,,34.7,,0,,,M,,M,0,,41,,6,,32,
2010/2/14,2010,2,14,,-13.6,,-22.9,,-18.3,,36.3,,0,,,M,,M,0,,42,,12,,33,
2010/2/15,2010,2,15,,-10.2,,-19.5,,-14.9,,32.9,,0,,,M,,M,0,,42,,15,,43,
2010/2/16,2010,2,16,,-1.9,,-11.6,,-6.8,,24.8,,0,,,M,,M,0.2,,42,,,,<31,
2010/2/17,2010,2,17,,-3,,-14.6,,-8.8,,26.8,,0,,,M,,M,0,,42,,,,<31,
2010/2/18,2010,2,18,,-3.4,,-12.6,,-8,,26,,0,,,M,,M,0.3,,43,,32,,43,
2010/2/19,2010,2,19,,-6,,-9,,-7.5,,25.5,,0,,,M,,M,0,,43,,34,,39,
2010/2/20,2010,2,20,,-7,,-14,,-10.5,,28.5,,0,,,M,,M,0.2,,44,,1,,32,
2010/2/21,2010,2,21,,-10.9,,-15.6,,-13.3,,31.3,,0,,,M,,M,0.2,,43,,24,,37,
2010/2/22,2010,2,22,,-7.9,,-16.3,,-12.1,,30.1,,0,,,M,,M,0,,44,,34,,56,
2010/2/23,2010,2,23,,-9.5,,-17.3,,-13.4,,31.4,,0,,,M,,M,0,,44,,,,<31,
2010/2/24,2010,2,24,,-6,,-17.5,,-11.8,,29.8,,0,,,M,,M,0,,44,,24,,32,
2010/2/25,2010,2,25,,-0.1,,-10.1,,-5.1,,23.1,,0,,,M,,M,0,,44,,31,,44,
2010/2/26,2010,2,26,,-1.7,,-10.3,,-6,,24,,0,,,M,,M,0,,43,,,,<31,
2010/2/27,2010,2,27,,-2.3,,-8.7,,-5.5,,23.5,,0,,,M,,M,0,,43,,14,,35,
2010/2/28,2010,2,28,,-2,,-7.9,,-5,,23,,0,,,M,,M,0,,43,,12,,32,
2010/3/1,2010,3,1,,0.3,,-10.7,,-5.2,,23.2,,0,,,M,,M,0.2,,43,,,,<31,
2010/3/2,2010,3,2,,-4.1,,-7.8,,-6,,24,,0,,,M,,M,0,,43,,,,<31,
2010/3/3,2010,3,3,,-1,,-12.2,,-6.6,,24.6,,0,,,M,,M,0.2,,43,,,,<31,
2010/3/4,2010,3,4,,8.9,,-8.4,,0.3,,17.7,,0,,,M,,M,0,,43,,,,<31,
2010/3/5,2010,3,5,,6.9,,-3.3,,1.8,,16.2,,0,,,M,,M,0.2,,42,,,,<31,
2010/3/6,2010,3,6,,3.7,,-3.3,,0.2,,17.8,,0,,,M,,M,0,,40,,,,<31,
2010/3/7,2010,3,7,,-0.9,,-5.9,,-3.4,,21.4,,0,,,M,,M,0,,40,,,,<31,
2010/3/8,2010,3,8,,2.5,,-8.2,,-2.9,,20.9,,0,,,M,,M,0,,39,,35,,44,
2010/3/9,2010,3,9,,-1.1,,-4,,-2.6,,20.6,,0,,,M,,M,0.2,,39,,35,,63,
2010/3/10,2010,3,10,,-1.8,,-9.6,,-5.7,,23.7,,0,,,M,,M,0,,39,,,,<31,
2010/3/11,2010,3,11,,-1.4,,-11.7,,-6.6,,24.6,,0,,,M,,M,0,,39,,,,<31,
2010/3/12,2010,3,12,,3.4,,-4.8,,-0.7,,18.7,,0,,,M,,M,0,,38,,16,,39,
2010/3/13,2010,3,13,,4.9,,-2.8,,1.1,,16.9,,0,,,M,,M,0,,37,,35,,65,
2010/3/14,2010,3,14,,2.3,,-6.4,,-2.1,,20.1,,0,,,M,,M,0,,35,,35,,67,
2010/3/15,2010,3,15,,2.9,,-5.6,,-1.4,,19.4,,0,,,M,,M,0,,36,,14,,32,
2010/3/16,2010,3,16,,8.3,,-3.1,,2.6,,15.4,,0,,,M,,M,0,,36,,,,<31,
2010/3/17,2010,3,17,,8.2,,-0.7,,3.8,,14.2,,0,,,M,,M,0,,34,,26,,61,
2010/3/18,2010,3,18,,0.9,,-4.8,,-2,,20,,0,,,M,,M,0,,30,,32,,50,
2010/3/19,2010,3,19,,-3.4,,-8.9,,-6.2,,24.2,,0,,,M,,M,0.5,,30,,31,,37,
2010/3/20,2010,3,20,,4.9,,-9.6,,-2.4,,20.4,,0,,,M,,M,0,,30,,25,,33,
2010/3/21,2010,3,21,,11.4,,-0.5,,5.5,,12.5,,0,,,M,,M,0,,29,,27,,41,
2010/3/22,2010,3,22,,7.4,,-1.2,,3.1,,14.9,,0,,0,,,M,0.5,,26,,2,,33,
2010/3/23,2010,3,23,,2.9,,-8.9,,-3,,21,,0,,,M,,M,1.5,,27,,23,,35,
2010/3/24,2010,3,24,,6.6,,-8,,-0.7,,18.7,,0,,,M,,M,0.2,,24,,7,,46,
2010/3/25,2010,3,25,,-2,,-7.9,,-5,,23,,0,,,M,,M,0,,24,,13,,33,
2010/3/26,2010,3,26,,6.2,,-3.7,,1.3,,16.7,,0,,,M,,M,0,,24,,33,,44,
2010/3/27,2010,3,27,,11.5,,-4.5,,3.5,,14.5,,0,,,M,,M,0,,21,,27,,44,
2010/3/28,2010,3,28,,15.3,,-1.8,,6.8,,11.2,,0,,,M,,M,0.2,,16,,27,,54,
2010/3/29,2010,3,29,,16.6,,0.8,,8.7,,9.3,,0,,,M,,M,0.5,,11,,22,,70,
2010/3/30,2010,3,30,,10.9,,-2,,4.5,,13.5,,0,,,M,,M,0,,,,26,,61,
2010/3/31,2010,3,31,,10.1,,-4.7,,2.7,,15.3,,0,,,M,,M,0,,,,26,,48,
2010/4/1,2010,4,1,,9.8,,-7.1,,1.4,,16.6,,0,,,M,,M,0,,,,35,,32,
2010/4/2,2010,4,2,,8.6,,-3.9,,2.4,,15.6,,0,,,M,,M,0,,1,,23,,46,
2010/4/3,2010,4,3,,10,,-3.7,,3.2,,14.8,,0,,,M,,M,0.6,,1,,27,,56,
2010/4/4,2010,4,4,,9.4,,-5.2,,2.1,,15.9,,0,,,M,,M,0,,1,,28,,59,
2010/4/5,2010,4,5,,11.5,,-5.1,,3.2,,14.8,,0,,,M,,M,0,,1,,14,,32,
2010/4/6,2010,4,6,,11.6,,-1.3,,5.2,,12.8,,0,,,M,,M,0,,1,,24,,46,
2010/4/7,2010,4,7,,12.1,,-4.6,,3.8,,14.2,,0,,,M,,M,0,,1,,24,,54,
2010/4/8,2010,4,8,,16.5,,-2.4,,7.1,,10.9,,0,,,M,,M,,M,1,,,,<31,
2010/4/9,2010,4,9,,5.8,,-6.2,,-0.2,,18.2,,0,,,M,,M,1.2,,1,,27,,78,
2010/4/10,2010,4,10,,5.6,,-9.2,,-1.8,,19.8,,0,,,M,,M,0,,1,,29,,65,
2010/4/11,2010,4,11,,6,,-7.6,,-0.8,,18.8,,0,,,M,,M,0.3,,1,,10,,41,
2010/4/12,2010,4,12,,0.8,,-3.1,,-1.2,,19.2,,0,,,M,,M,1.9,,2,,8,,44,
2010/4/13,2010,4,13,,0.4,,-1.5,,-0.6,,18.6,,0,,0,,,M,14,,,,3,,63,
2010/4/14,2010,4,14,,1.1,,-1.9,,-0.4,,18.4,,0,,,M,,M,3,,8,,30,,69,
2010/4/15,2010,4,15,,7.7,,-2.5,,2.6,,15.4,,0,,,M,,M,0,,1,,36,,50,
2010/4/16,2010,4,16,,14.8,,-0.3,,7.3,,10.7,,0,,,M,,M,0,,1,,16,,54,
2010/4/17,2010,4,17,,18.5,,0.9,,9.7,,8.3,,0,,,M,,M,0,,1,,11,,37,
2010/4/18,2010,4,18,,19.6,,4.2,,11.9,,6.1,,0,,,M,,M,0,,1,,18,,35,
2010/4/19,2010,4,19,,20.4,,4.4,,12.4,,5.6,,0,,,M,,M,0,,1,,14,,35,
2010/4/20,2010,4,20,,18.5,,3.7,,11.1,,6.9,,0,,,M,,M,0,,1,,15,,59,
2010/4/21,2010,4,21,,19.2,,3.2,,11.2,,6.8,,0,,,M,,M,0,,1,,15,,59,
2010/4/22,2010,4,22,,19.9,,4.1,,12,,6,,0,,,M,,M,0,,1,,16,,44,
2010/4/23,2010,4,23,,11.5,,-1.6,,5,,13,,0,,,M,,M,2.6,,1,,33,,59,
2010/4/24,2010,4,24,,14.9,,-0.6,,7.2,,10.8,,0,,,M,,M,0.4,,1,,23,,63,
