Station Name,EASTEND CYPRESS (AUT),,,,,,,,,,,,,,,,,,,,,,,,,
Province,SASKATCHEWAN,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,49.44,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-108.99,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation,1079.6,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Identifier,4032322,,,,,,,,,,,,,,,,,,,,,,,,,
WMO Identifier,71131,,,,,,,,,,,,,,,,,,,,,,,,,
TC Identifier,WEH,,,,,,,Mean Max Temp (°C),Mean Min Temp (°C),Mean Temp (°C),Extr Max Temp (°C),Extr Min Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),,,,,,,,,,,,
,,,,,,,,-3.125806452,-12.73548387,-7.961290323,5.1,-26.3,804.8,0,,,,,,,,,,,,
Legend,,,,,,,,2.903448276,-6.865517241,-1.989655172,11.5,-13.4,579.7,0,,,,,,,,,,,,
A,Accumulated,,,,,,,8.238709677,-4.583870968,1.838709677,17.8,-14.6,501,0,,,,,,,,,,,,
C,"Precipitation occurred, amount uncertain",,,,,,,12.86785714,-0.676666667,6.210714286,21,-9.3,330.1,0,,,,,,,,,,,,
E,Estimated,,,,,,,17.00967742,4.441935484,10.75483871,27.4,-3.4,224.6,0,,,,,,,,,,,,
F,Accumulated and estimated,,,,,,,22.63103448,8.16,15.5137931,30,2.2,78,5.9,,,,,,,,,,,,
L,Precipitation may or may not have occurred,,,,,,,23.37419355,11.13870968,17.28709677,29.7,7,43.2,21.1,,,,,,,,,,,,
M,Missing,,,,,,,23.93666667,9.783870968,16.88333333,30.6,5.3,60.4,26.9,,,,,,,,,,,,
N,Temperature missing but known to be > 0,,,,,,,18.48333333,4.883333333,11.71666667,30.7,-2.3,194.4,5.9,,,,,,,,,,,,
S,More than one occurrence,,,,,,,8.473333333,-1.203225806,3.763333333,25.5,-12.9,427.1,0,,,,,,,,,,,,
T,Trace,,,,,,,7.953333333,-2.51,2.74,19.3,-10.7,457.8,0,,,,,,,,,,,,
Y,Temperature missing but known to be < 0,,,,,,,-9.22,-17.81666667,-13.54666667,2,-31.8,946.4,0,,,,,,,,,,,,
[empty],No data available,,,,,,,,,,,,,,,,,,,,,,,,,
^,The value displayed is based on incomplete data,,,,,,,,,,,,,,,,,,,,,,,,,
†,Data that is not subject to review by the National Climate Archives,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2016/1/1,2016,1,1,,0.6,,-16.1,,-7.8,,25.8,,0,,,M,,M,0,,12,,31,,50,
2016/1/2,2016,1,2,,1.2,,-15.1,,-7,,25,,0,,,M,,M,0,,11,,,,<31,
2016/1/3,2016,1,3,,-1.7,,-11.8,,-6.8,,24.8,,0,,,M,,M,0,,11,,,,<31,
2016/1/4,2016,1,4,,0,,-10.2,,-5.1,,23.1,,0,,,M,,M,0,,11,,26,,33,
2016/1/5,2016,1,5,,-2.4,,-10.3,,-6.4,,24.4,,0,,,M,,M,0,,11,,,,<31,
2016/1/6,2016,1,6,,-4,,-9.5,,-6.8,,24.8,,0,,,M,,M,0,,11,,,,<31,
2016/1/7,2016,1,7,,-6.2,,-14,,-10.1,,28.1,,0,,,M,,M,0.6,,10,,34,,43,
2016/1/8,2016,1,8,,-14,,-23.7,,-18.9,,36.9,,0,,,M,,M,0.3,,12,,,,<31,
2016/1/9,2016,1,9,,-20,,-22.9,,-21.5,,39.5,,0,,,M,,M,0.4,,11,,,,<31,
2016/1/10,2016,1,10,,-4.5,,-22.4,,-13.5,,31.5,,0,,,M,,M,0,,11,,29,,57,
2016/1/11,2016,1,11,,-3.3,,-10.8,,-7.1,,25.1,,0,,,M,,M,0,,11,,34,,48,
